n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,3,39.3569,19.6798,19.6771,12344.1988,13799.4481,13651.2303,59.022,59.0185,0.00690246,6215.6483,6023.1483,8845.3217
0.02,3,37.7608,18.8818,18.879,12405.8957,13799.4481,13661.6517,56.6275,56.624,0.00690245,6266.8725,6099.2969,8811.147
0.03,3,36.2882,18.1456,18.1426,12462.6296,13799.4481,13670.9319,54.4184,54.415,0.00690244,6316.0092,6169.8687,8779.4986
0.04,3,34.9254,17.4643,17.4612,12514.9703,13799.4481,13679.2344,52.3741,52.3707,0.00690243,6363.0427,6235.433,8750.1097
0.05,3,33.6608,16.832,16.8288,12563.4046,13799.4481,13686.6942,50.477,50.4736,0.00690242,6407.9999,6296.4881,8722.7494
0.06,3,32.484,16.2437,16.2404,12608.3504,13799.4481,13693.4238,48.7117,48.7084,0.00690241,6450.9358,6353.4709,8697.217
0.07,3,31.3864,15.6949,15.6915,12650.1685,13799.4481,13699.5174,47.0651,47.0618,0.0069024,6491.9224,6406.7656,8673.3368
0.08,3,30.3602,15.1819,15.1783,12689.172,13799.4481,13705.0542,45.5257,45.5224,0.00690239,6531.0418,6456.7112,8650.955
0.09,3,29.3987,14.7012,14.6976,12725.6339,13799.4481,13710.1017,44.0833,44.08,0.00690238,6568.3816,6503.6075,8629.9361
0.1,3,28.496,14.2499,14.2462,12759.7931,13799.4481,13714.717,42.7292,42.7259,0.00690237,6604.0307,6547.7203,8610.1602
0.11,3,27.6469,13.8253,13.8216,12791.8599,13799.4481,13718.9494,41.4554,41.4521,0.00690236,6638.0776,6589.2862,8591.521
0.12,3,26.8467,13.4253,13.4215,12822.0195,13799.4481,13722.841,40.2551,40.2518,0.00690235,6670.6089,6628.5163,8573.9239
0.13,3,26.0915,13.0477,13.0438,12850.4363,13799.4481,13726.4285,39.1221,39.1188,0.00690234,6701.7079,6665.5994,8557.2845
0.14,3,25.3774,12.6907,12.6867,12877.2564,13799.4481,13729.7435,38.0509,38.0477,0.00690233,6731.4543,6700.7046,8541.5271
0.15,3,24.7013,12.3527,12.3486,12902.61,13799.4481,13732.8136,37.0366,37.0334,0.00690232,6759.9242,6733.9842,8526.5839
0.16,3,24.0602,12.0322,12.028,12926.6137,13799.4481,13735.6631,36.0748,36.0716,0.00690231,6787.189,6765.5755,8512.3936
0.17,3,23.4514,11.7278,11.7236,12949.3718,13799.4481,13738.3133,35.1616,35.1584,0.0069023,6813.3165,6795.6023,8498.901
0.18,3,22.8726,11.4384,11.4342,12970.9786,13799.4481,13740.7828,34.2934,34.2902,0.00690229,6838.3702,6824.1771,8486.0562
0.19,3,22.3217,11.163,11.1587,12991.5189,13799.4481,13743.0881,33.4669,33.4637,0.00690228,6862.4099,6851.4016,8473.8138
0.2,3,21.7966,10.9005,10.8961,13011.0695,13799.4481,13745.2441,32.6792,32.676,0.00690227,6885.4915,6877.3685,8462.1326
0.21,3,21.2956,10.65,10.6456,13029.6999,13799.4481,13747.2636,31.9276,31.9244,0.00690226,6907.6675,6902.1623,8450.9751
0.22,3,20.817,10.4107,10.4063,13047.4734,13799.4481,13749.1584,31.2097,31.2066,0.00690225,6928.9869,6925.8601,8440.3069
0.23,3,20.3595,10.182,10.1775,13064.4476,13799.4481,13750.9388,30.5234,30.5203,0.00690224,6949.4957,6948.5326,8430.0966
0.24,3,19.9216,9.96309,9.95857,13080.675,13799.4481,13752.6143,29.8665,29.8634,0.00690223,6969.2369,6970.2443,8420.3156
0.25,3,19.5022,9.75338,9.74881,13096.2037,13799.4481,13754.1931,29.2373,29.2342,0.00690222,6988.2508,6991.0548,8410.9373
0.26,3,19.1,9.5523,9.5477,13111.0778,13799.4481,13755.6828,28.6339,28.6308,0.00690221,7006.5751,7011.0186,8401.9375
0.27,3,18.714,9.35935,9.35471,13125.3376,13799.4481,13757.0902,28.055,28.0519,0.0069022,7024.2451,7030.1861,8393.2939
0.28,3,18.3433,9.17402,9.16935,13139.0204,13799.4481,13758.4215,27.4989,27.4958,0.00690219,7041.2939,7048.6037,8384.9857
0.29,3,17.9871,8.99589,8.99118,13152.1604,13799.4481,13759.6824,26.9644,26.9613,0.00690218,7057.7524,7066.3143,8376.9938
0.3,3,17.6443,8.82454,8.8198,13164.7891,13799.4481,13760.8778,26.4503,26.4472,0.00690217,7073.6499,7083.3578,8369.3006
0.31,3,17.3144,8.6596,8.65482,13176.9358,13799.4481,13762.0124,25.9553,25.9523,0.00690216,7089.0135,7099.7709,8361.8897
0.32,3,16.9966,8.5007,8.49589,13188.6275,13799.4481,13763.0905,25.4785,25.4755,0.00690215,7103.869,7115.5877,8354.7458
0.33,3,16.6902,8.34753,8.34269,13199.8892,13799.4481,13764.1158,25.0189,25.0159,0.00690214,7118.2405,7130.8402,8347.8549
0.34,3,16.3947,8.19977,8.19491,13210.7442,13799.4481,13765.0919,24.5756,24.5726,0.00690213,7132.1505,7145.5577,8341.2037
0.35,3,16.1094,8.05716,8.05227,13221.214,13799.4481,13766.022,24.1477,24.1447,0.00690212,7145.6204,7159.7679,8334.78
0.36,3,15.8339,7.91942,7.91451,13231.3188,13799.4481,13766.9091,23.7344,23.7314,0.00690211,7158.6702,7173.4964,8328.5723
0.37,3,15.5677,7.78631,7.78137,13241.0772,13799.4481,13767.7559,23.335,23.332,0.0069021,7171.3189,7186.7673,8322.57
0.38,3,15.3102,7.65761,7.65264,13250.5068,13799.4481,13768.5649,22.9488,22.9458,0.00690209,7183.5842,7199.6029,8316.763
0.39,3,15.0611,7.53308,7.52809,13259.6239,13799.4481,13769.3384,22.5752,22.5722,0.00690208,7195.483,7212.0243,8311.142
0.4,3,14.8201,7.41255,7.40753,13268.4437,13799.4481,13770.0786,22.2135,22.2105,0.00690207,7207.0312,7224.0511,8305.6982
0.41,3,14.5866,7.29581,7.29077,13276.9805,13799.4481,13770.7874,21.8632,21.8602,0.00690206,7218.2436,7235.7018,8300.4234
0.42,3,14.3603,7.18269,7.17763,13285.2477,13799.4481,13771.4667,21.5238,21.5208,0.00690205,7229.1346,7246.9937,8295.3098
0.43,3,14.1409,7.07303,7.06795,13293.2578,13799.4481,13772.1182,21.1948,21.1918,0.00690204,7239.7174,7257.943,8290.3502
0.44,3,13.9282,6.96666,6.96156,13301.0227,13799.4481,13772.7434,20.8756,20.8726,0.00690203,7250.0048,7268.5651,8285.5377
0.45,3,13.7218,6.86345,6.85833,13308.5533,13799.4481,13773.3437,20.5659,20.5629,0.00690202,7260.0087,7278.8744,8280.8659
0.46,3,13.5213,6.76325,6.75812,13315.8602,13799.4481,13773.9207,20.2653,20.2623,0.00690201,7269.7406,7288.8845,8276.3287
0.47,3,13.3267,6.66594,6.66079,13322.9531,13799.4481,13774.4754,19.9733,19.9703,0.006902,7279.2112,7298.6081,8271.9204
0.48,3,13.1376,6.57139,6.56622,13329.8413,13799.4481,13775.0091,19.6896,19.6866,0.00690199,7288.4308,7308.0574,8267.6356
0.49,3,12.9538,6.47949,6.4743,13336.5335,13799.4481,13775.5229,19.4138,19.4108,0.00690198,7297.4091,7317.2437,8263.4691
0.5,3,12.775,6.39012,6.38491,13343.038,13799.4481,13776.0178,19.1457,19.1427,0.00690197,7306.1553,7326.178,8259.4162
0.51,3,12.6011,6.30319,6.29796,13349.3625,13799.4481,13776.4948,18.8848,18.8818,0.00690196,7314.6781,7334.8703,8255.4723
0.52,3,12.4319,6.21859,6.21335,13355.5144,13799.4481,13776.9548,18.631,18.628,0.00690195,7322.986,7343.3305,8251.633
0.53,3,12.2672,6.13623,6.13098,13361.5006,13799.4481,13777.3986,18.3839,18.3809,0.00690194,7331.0868,7351.5675,8247.8943
0.54,3,12.1068,6.05603,6.05076,13367.3278,13799.4481,13777.827,18.1432,18.1403,0.00690193,7338.9882,7359.5902,8244.2522
