n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,2,44.9464,20.6742,29.9706,12315.9426,13596.8069,13172.7958,73.5343,63.2032,25.1046,5750.9538,6030.044,8156.3738
0.02,2,42.9043,19.9998,28.8438,12396.062,13594.7722,13199.5481,70.3096,60.3929,24.9448,5835.2587,6120.5055,8110.9429
0.03,2,41.0362,19.3928,27.8125,12468.8049,13592.8154,13223.1722,67.3566,57.8305,24.7864,5914.4411,6203.2552,8069.0101
0.04,2,39.3212,18.8442,26.865,12535.0942,13590.9342,13244.1682,64.6429,55.4855,24.6294,5988.7686,6279.122,8030.237
0.05,2,37.7415,18.3462,25.9916,12595.7104,13589.1265,13262.9402,62.1408,53.3326,24.4738,6058.54,6348.8365,7994.3237
0.06,2,36.2821,17.8924,25.1838,12651.317,13587.3904,13279.8178,59.8267,51.3498,24.3195,6124.0629,6413.0411,7961.0047
0.07,2,34.9298,17.4774,24.4346,12702.4809,13585.7238,13295.0716,57.6803,49.5184,24.1667,6185.64,6472.3004,7930.0439
0.08,2,33.6735,17.0963,23.7377,12749.6892,13584.1247,13308.9255,55.684,47.8223,24.0153,6243.5613,6527.1111,7901.2319
0.09,2,32.5034,16.7453,23.0878,12793.362,13582.5913,13321.5661,53.8228,46.2475,23.8652,6298.0999,6577.9105,7874.3821
0.1,2,31.411,16.4209,22.4802,12833.8636,13581.1217,13333.1496,52.0833,44.7817,23.7165,6349.5104,6625.0844,7849.328
0.11,2,30.3889,16.12,21.9108,12871.511,13579.714,13343.8078,50.4541,43.4144,23.5691,6398.0282,6668.9739,7825.9208
0.12,2,29.4306,15.8402,21.376,12906.5816,13578.3666,13353.6523,48.9249,42.1363,23.4231,6443.8698,6709.8813,7804.0272
0.13,2,28.5304,15.5791,20.8727,12939.3185,13577.0776,13362.7783,47.4869,40.9391,23.2785,6487.2343,6748.075,7783.5272
0.14,2,27.6832,15.3347,20.3981,12969.9362,13575.8454,13371.2671,46.132,39.8155,23.1351,6528.3037,6783.7939,7764.3131
0.15,2,26.8845,15.1055,19.9498,12998.624,13574.6684,13379.1889,44.8534,38.7592,22.9932,6567.2446,6817.2514,7746.2875
0.16,2,26.1302,14.8898,19.5254,13025.5501,13573.545,13386.6041,43.6446,37.7644,22.8525,6604.2094,6848.6381,7729.3625
0.17,2,25.4168,14.6864,19.1232,13050.864,13572.4735,13393.5651,42.5001,36.826,22.7131,6639.3374,6878.1252,7713.4582
0.18,2,24.7411,14.4941,18.7413,13074.699,13571.4525,13400.1177,41.4148,35.9393,22.5751,6672.7563,6905.8662,7698.5021
0.19,2,24.1002,14.3118,18.3781,13097.1748,13570.4805,13406.3017,40.3843,35.1004,22.4383,6704.5826,6931.9997,7684.4284
0.2,2,23.4914,14.1387,18.0323,13118.3985,13569.5561,13412.1522,39.4045,34.3055,22.3028,6734.9234,6956.6505,7671.1768
0.21,2,22.9125,13.9739,17.7025,13138.4666,13568.6778,13417.7,38.4718,33.5513,22.1686,6763.8767,6979.9317,7658.6923
0.22,2,22.3613,13.8167,17.3876,13157.4662,13567.8443,13422.9722,37.5827,32.8347,22.0356,6791.5325,7001.9457,7646.9247
0.23,2,21.8359,13.6665,17.0865,13175.4761,13567.0543,13427.993,36.7343,32.1531,21.9039,6817.9735,7022.7854,7635.8278
0.24,2,21.3345,13.5227,16.7984,13192.5675,13566.3065,13432.7836,35.9238,31.504,21.7735,6843.2759,7042.5356,7625.3591
0.25,2,20.8555,13.3848,16.5223,13208.8055,13565.5995,13437.3632,35.1487,30.885,21.6442,6867.5098,7061.2731,7615.4795
0.26,2,20.3974,13.2523,16.2574,13224.249,13564.9323,13441.7487,34.4067,30.2942,21.5162,6890.7398,7079.0686,7606.1531
0.27,2,19.959,13.1248,16.003,13238.9518,13564.3036,13445.9554,33.6957,29.7297,21.3894,6913.0256,7095.9863,7597.3465
0.28,2,19.5389,13.0019,15.7585,13252.9632,13563.7122,13449.9969,33.0139,29.1897,21.2638,6934.4225,7112.0853,7589.0291
0.29,2,19.1361,12.8834,15.5233,13266.3282,13563.1571,13453.8854,32.3594,28.6727,21.1394,6954.9815,7127.4196,7581.1724
0.3,2,18.7495,12.7688,15.2967,13279.0882,13562.637,13457.6321,31.7305,28.1772,21.0161,6974.75,7142.039,7573.7498
0.31,2,18.3782,12.6579,15.0783,13291.2812,13562.1511,13461.247,31.1259,27.702,20.8941,6993.772,7155.9892,7566.737
0.32,2,18.0212,12.5505,14.8676,13302.942,13561.6982,13464.739,30.5442,27.2457,20.7731,7012.0881,7169.3123,7560.1109
0.33,2,17.6779,12.4463,14.6642,13314.1029,13561.2772,13468.1165,29.9839,26.8072,20.6533,7029.7363,7182.0474,7553.8504
0.34,2,17.3473,12.3451,14.4677,13324.7936,13560.8874,13471.3868,29.444,26.3855,20.5347,7046.7521,7194.2302,7547.9357
0.35,2,17.0288,12.2468,14.2776,13335.0417,13560.5276,13474.5569,28.9234,25.9797,20.4172,7063.1682,7205.8941,7542.3481
0.36,2,16.7218,12.1511,14.0937,13344.8726,13560.1971,13477.6329,28.421,25.5888,20.3007,7079.0154,7217.0699,7537.0705
0.37,2,16.4256,12.0579,13.9156,13354.3098,13559.8948,13480.6204,27.9358,25.212,20.1854,7094.3224,7227.786,7532.0867
0.38,2,16.1398,11.967,13.743,13363.3753,13559.6199,13483.5248,27.4671,24.8485,20.0712,7109.116,7238.0691,7527.3814
0.39,2,15.8636,11.8784,13.5757,13372.0895,13559.3715,13486.3507,27.0139,24.4976,19.958,7123.4213,7247.9437,7522.9404
0.4,2,15.5968,11.7919,13.4133,13380.4712,13559.149,13489.1025,26.5755,24.1587,19.8459,7137.2618,7257.4328,7518.7505
0.41,2,15.3388,11.7073,13.2557,13388.5382,13558.9513,13491.7843,26.1512,23.8311,19.7349,7150.6595,7266.5577,7514.7991
0.42,2,15.0891,11.6247,13.1026,13396.3068,13558.7778,13494.3998,25.7403,23.5143,19.6249,7163.6352,7275.3383,7511.0744
0.43,2,14.8474,11.5438,12.9538,13403.7925,13558.6278,13496.9524,25.3422,23.2076,19.5159,7176.2083,7283.7932,7507.5652
0.44,2,14.6134,11.4646,12.8091,13411.0097,13558.5004,13499.4453,24.9563,22.9107,19.408,7188.397,7291.9397,7504.2613
0.45,2,14.3866,11.387,12.6683,13417.9716,13558.3949,13501.8815,24.5819,22.6229,19.301,7200.2185,7299.794,7501.1527
0.46,2,14.1667,11.3109,12.5313,13424.691,13558.3108,13504.2636,24.2187,22.344,19.1951,7211.6891,7307.3714,7498.2301
0.47,2,13.9534,11.2364,12.3978,13431.1796,13558.2472,13506.5942,23.8661,22.0734,19.0902,7222.824,7314.6859,7495.4847
0.48,2,13.7465,11.1632,12.2678,13437.4486,13558.2036,13508.8756,23.5236,21.8108,18.9862,7233.6375,7321.751,7492.9083
0.49,2,13.5456,11.0913,12.141,13443.5082,13558.1793,13511.1101,23.1908,21.5558,18.8832,7244.1434,7328.579,7490.493
0.5,2,13.3504,11.0207,12.0174,13449.3684,13558.1738,13513.2997,22.8674,21.308,18.7812,7254.3545,7335.1818,7488.2315
0.51,2,13.1608,10.9514,11.8968,13455.0382,13558.1863,13515.4463,22.5528,21.0672,18.6801,7264.2828,7341.5703,7486.1166
0.52,2,12.9766,10.8832,11.7791,13460.5263,13558.2163,13517.5516,22.2468,20.833,18.5799,7273.94,7347.7549,7484.1418
0.53,2,12.7974,10.8162,11.6641,13465.841,13558.2634,13519.6174,21.9489,20.6051,18.4807,7283.3368,7353.7454,7482.3007
0.54,2,12.623,10.7502,11.5518,13470.9898,13558.3268,13521.6452,21.659,20.3833,18.3823,7292.4837,7359.5508,7480.5873
0.55,2,12.4534,10.6853,11.4421,13475.9801,13558.4061,13523.6364,21.3766,20.1673,18.2849,7301.3903,7365.1798,7478.996
0.56,2,12.2882,10.6214,11.3348,13480.8188,13558.5008,13525.5926,21.1014,19.9569,18.1884,7310.066,7370.6406,7477.5213
0.57,2,12.1274,10.5585,11.23,13485.5122,13558.6104,13527.5148,20.8333,19.7518,18.0928,7318.5195,7375.9408,7476.1582
0.58,2,11.9707,10.4965,11.1273,13490.0666,13558.7343,13529.4044,20.5719,19.5519,17.998,7326.7593,7381.0877,7474.9018
0.59,2,11.8181,10.4354,11.0269,13494.4877,13558.8722,13531.2626,20.3169,19.3569,17.9041,7334.7933,7386.0881,7473.7474
0.6,2,11.6692,10.3752,10.9287,13498.781,13559.0235,13533.0903,20.0681,19.1666,17.8111,7342.6291,7390.9485,7472.6906
0.61,2,11.5241,10.3158,10.8324,13502.9518,13559.1878,13534.8887,19.8254,18.9808,17.7189,7350.2739,7395.6751,7471.7272
0.62,2,11.3825,10.2573,10.7382,13507.005,13559.3647,13536.6586,19.5884,18.7994,17.6276,7357.7345,7400.2735,7470.8532
0.63,2,11.2444,10.1996,10.6459,13510.9453,13559.5538,13538.401,19.357,18.6222,17.537,7365.0175,7404.7494,7470.0649
0.64,2,11.1096,10.1426,10.5554,13514.7771,13559.7546,13540.1168,19.131,18.4491,17.4473,7372.1292,7409.1077,7469.3585
0.65,2,10.9779,10.0864,10.4666,13518.5047,13559.9668,13541.8069,18.9102,18.2798,17.3584,7379.0754,7413.3536,7468.7306
0.66,2,10.8494,10.0309,10.3797,13522.132,13560.1899,13543.4718,18.6944,18.1143,17.2703,7385.8619,7417.4916,7468.1779
0.67,2,10.7238,9.97612,10.2943,13525.663,13560.4236,13545.1125,18.4835,17.9524,17.183,7392.494,7421.5262,7467.6972
0.68,2,10.6011,9.92203,10.2106,13529.1012,13560.6676,13546.7296,18.2772,17.794,17.0965,7398.9771,7425.4615,7467.2855
0.69,2,10.4812,9.86861,10.1285,13532.4501,13560.9215,13548.3238,18.0755,17.639,17.0107,7405.3159,7429.3016,7466.9399
0.7,2,10.364,9.81585,10.0479,13535.7131,13561.1849,13549.8957,17.8781,17.4872,16.9258,7411.5153,7433.0501,7466.6577
0.71,2,10.2493,9.76372,9.9687,13538.8932,13561.4576,13551.446,17.685,17.3386,16.8415,7417.5798,7436.7108,7466.4362
0.72,2,10.1372,9.71221,9.89097,13541.9935,13561.7391,13552.9751,17.496,17.193,16.758,7423.5137,7440.2871,7466.273
0.73,2,10.0275,9.66131,9.81461,13545.0168,13562.0292,13554.4838,17.311,17.0503,16.6753,7429.3211,7443.7821,7466.1655
0.74,2,9.9201,9.611,9.7396,13547.9658,13562.3276,13555.9724,17.1298,16.9105,16.5933,7435.0062,7447.199,7466.1115
0.75,2,9.815,9.5613,9.6659,13550.8432,13562.634,13557.4415,16.9523,16.7734,16.512,7440.5726,7450.5408,7466.1088
0.76,2,9.7122,9.5121,9.5934,13553.6515,13562.9481,13558.8917,16.7784,16.6389,16.4314,7446.024,7453.8102,7466.1553
0.77,2,9.6114,9.4635,9.5222,13556.393,13563.2696,13560.3233,16.6081,16.507,16.3515,7451.3641,7457.0099,7466.2489
0.78,2,9.5127,9.4154,9.4522,13559.07,13563.5982,13561.7367,16.4411,16.3777,16.2723,7456.596,7460.1425,7466.3878
0.79,2,9.4161,9.3679,9.3833,13561.6848,13563.9338,13563.1326,16.2774,16.2507,16.1939,7461.7231,7463.2104,7466.5699
0.8,2,9.3213,9.3208,9.3156,13564.2393,13564.276,13564.5111,16.117,16.126,16.116,7466.7484,7466.216,7466.7936
0.81,2,9.2285,9.2743,9.2489,13566.7356,13564.6246,13565.8728,15.9596,16.0037,16.0389,7471.6751,7469.1613,7467.0572
0.82,2,9.1375,9.2282,9.1834,13569.1756,13564.9794,13567.218,15.8053,15.8835,15.9624,7476.5058,7472.0487,7467.3589
0.83,2,9.0483,9.1827,9.1188,13571.5612,13565.34,13568.547,15.6538,15.7654,15.8866,7481.2435,7474.88,7467.6973
0.84,2,8.9608,9.1376,9.0553,13573.894,13565.7064,13569.8603,15.5053,15.6494,15.8115,7485.8907,7477.6572,7468.0708
0.85,2,8.875,9.093,8.9928,13576.1758,13566.0783,13571.1582,15.3595,15.5355,15.737,7490.45,7480.3821,7468.478
0.86,2,8.7908,9.0489,8.9312,13578.4081,13566.4554,13572.4409,15.2164,15.4235,15.6631,7494.9239,7483.0566,7468.9175
0.87,2,8.7082,9.0052,8.8705,13580.5927,13566.8376,13573.7089,15.0759,15.3133,15.5898,7499.3147,7485.6822,7469.3879
0.88,2,8.6271,8.9619,8.8108,13582.7308,13567.2247,13574.9623,14.9379,15.2051,15.5172,7503.6248,7488.2607,7469.8879
0.89,2,8.5475,8.9191,8.752,13584.824,13567.6165,13576.2016,14.8024,15.0986,15.4452,7507.8563,7490.7936,7470.4164
0.9,2,8.4694,8.8766,8.694,13586.8737,13568.0127,13577.4269,14.6694,14.9938,15.3738,7512.0114,7493.2823,7470.9721
0.91,2,8.3927,8.8346,8.6369,13588.8811,13568.4132,13578.6386,14.5386,14.8908,15.303,7516.092,7495.7282,7471.554
0.92,2,8.3174,8.7931,8.5806,13590.8475,13568.8179,13579.8369,14.4102,14.7894,15.2328,7520.1003,7498.1327,7472.1608
0.93,2,8.2434,8.7519,8.5251,13592.7742,13569.2265,13581.0221,14.284,14.6896,15.1632,7524.038,7500.4972,7472.7916
0.94,2,8.1707,8.7111,8.4704,13594.6623,13569.6389,13582.1944,14.1599,14.5914,15.0942,7527.907,7502.8229,7473.4453
0.95,2,8.0993,8.6707,8.4164,13596.513,13570.0549,13583.3541,14.038,14.4946,15.0257,7531.7092,7505.1109,7474.121
0.96,2,8.0291,8.6307,8.3632,13598.3273,13570.4743,13584.5013,13.9181,14.3994,14.9578,7535.4461,7507.3624,7474.8177
0.97,2,7.9602,8.591,8.3108,13600.1062,13570.8971,13585.6364,13.8002,14.3056,14.8905,7539.1196,7509.5785,7475.5345
0.98,2,7.8924,8.5518,8.259,13601.8509,13571.3231,13586.7596,13.6843,14.2133,14.8237,7542.7311,7511.7603,7476.2706
0.99,2,7.8257,8.5128,8.208,13603.5622,13571.7521,13587.8709,13.5703,14.1223,14.7575,7546.2823,7513.9088,7477.0252
