n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,5,21.7986,41.2874,19.5304,13709.6129,12305.3397,13878.2729,2.95143,63.062,60.7847,9078.3084,6272.5613,6050.4849
0.02,5,21.3633,40.4154,19.0936,13714.7899,12339.1422,13877.9368,2.93852,61.7547,59.4758,9058.2904,6297.3137,6091.7011
0.03,5,20.946,39.5793,18.6748,13719.6478,12371.4964,13877.6169,2.92626,60.5012,58.2207,9039.0528,6321.6632,6131.3377
0.04,5,20.5454,38.7768,18.2728,13724.2123,12402.4925,13877.312,2.9146,59.2982,57.0162,9020.5522,6345.5904,6169.4793
0.05,5,20.1607,38.0061,17.8867,13728.507,12432.2136,13877.0212,2.9035,58.1427,55.8592,9002.748,6369.0814,6206.205
0.06,5,19.7908,37.2652,17.5156,13732.553,12460.7359,13876.7437,2.89293,57.032,54.7471,8985.6026,6392.1269,6241.5889
0.07,5,19.4351,36.5525,17.1586,13736.3695,12488.13,13876.4786,2.88284,55.9635,53.6772,8969.081,6414.7212,6275.7002
0.08,5,19.0927,35.8664,16.8149,13739.9737,12514.4611,13876.2251,2.87322,54.935,52.6473,8953.1506,6436.8619,6308.6039
0.09,5,18.7628,35.2055,16.4838,13743.3815,12539.7894,13875.9826,2.86403,53.9442,51.6552,8937.7808,6458.549,6340.3607
0.1,5,18.4448,34.5683,16.1646,13746.6073,12564.1707,13875.7505,2.85525,52.989,50.6988,8922.9434,6479.7844,6371.0277
0.11,5,18.138,33.9538,15.8567,13749.6639,12587.6569,13875.528,2.84686,52.0677,49.7763,8908.6119,6500.572,6400.6584
0.12,5,17.842,33.3606,15.5596,13752.5635,12610.2961,13875.3148,2.83882,51.1785,48.8858,8894.7613,6520.9168,6429.3029
0.13,5,17.5561,32.7877,15.2726,13755.3169,12632.1331,13875.1102,2.83113,50.3196,48.0258,8881.3684,6540.825,6457.0083
0.14,5,17.2798,32.234,14.9952,13757.934,12653.2096,13874.9139,2.82376,49.4897,47.1947,8868.4114,6560.3037,6483.819
0.15,5,17.0126,31.6987,14.727,13760.4241,12673.5645,13874.7253,2.81669,48.6872,46.3911,8855.87,6579.3607,6509.7765
0.16,5,16.7542,31.1808,14.4676,13762.7955,12693.2341,13874.5441,2.80992,47.9109,45.6136,8843.7248,6598.0041,6534.9201
0.17,5,16.5041,30.6795,14.2164,13765.056,12712.2523,13874.3698,2.80341,47.1595,44.8611,8831.9578,6616.2427,6559.2867
0.18,5,16.2618,30.194,13.9732,13767.2126,12730.6509,13874.2022,2.79717,46.4317,44.1322,8820.5521,6634.0853,6582.911
0.19,5,16.0271,29.7236,13.7375,13769.272,12748.4595,13874.0409,2.79117,45.7266,43.4261,8809.4917,6651.5411,6605.8258
0.2,5,15.7996,29.2676,13.509,13771.2402,12765.7062,13873.8856,2.7854,45.0431,42.7415,8798.7614,6668.6191,6628.062
0.21,5,15.579,28.8253,13.2874,13773.1228,12782.4169,13873.7359,2.77986,44.3801,42.0775,8788.3471,6685.3288,6649.6489
0.22,5,15.3649,28.3962,13.0724,13774.925,12798.6163,13873.5917,2.77452,43.7369,41.4332,8778.2353,6701.6793,6670.614
0.23,5,15.1571,27.9796,12.8636,13776.6515,12814.3275,13873.4527,2.76939,43.1125,40.8078,8768.4135,6717.6797,6690.9834
0.24,5,14.9552,27.575,12.6609,13778.3068,12829.5723,13873.3186,2.76445,42.506,40.2004,8758.8695,6733.3392,6710.7819
0.25,5,14.7592,27.182,12.4639,13779.8951,12844.371,13873.1892,2.75969,41.9169,39.6102,8749.5921,6748.6667,6730.0327
0.26,5,14.5686,26.7999,12.2725,13781.4202,12858.743,13873.0643,2.7551,41.3443,39.0366,8740.5705,6763.6711,6748.758
0.27,5,14.3833,26.4284,12.0863,13782.8856,12872.7065,13872.9437,2.75068,40.7875,38.4789,8731.7946,6778.361,6766.9788
0.28,5,14.2031,26.0671,11.9052,13784.2947,12886.2788,13872.8273,2.74641,40.2459,37.9363,8723.2547,6792.7449,6784.715
0.29,5,14.0278,25.7154,11.729,13785.6506,12899.476,13872.7147,2.7423,39.7189,37.4083,8714.9417,6806.8311,6801.9854
0.3,5,13.8571,25.3731,11.5575,13786.9561,12912.3134,13872.6059,2.73833,39.2059,36.8944,8706.8469,6820.6277,6818.808
0.31,5,13.6909,25.0398,11.3904,13788.214,12924.8058,13872.5008,2.7345,38.7064,36.3939,8698.962,6834.1426,6835.1998
0.32,5,13.529,24.7151,11.2276,13789.4268,12936.9667,13872.3991,2.73081,38.2198,35.9064,8691.2792,6847.3835,6851.1771
0.33,5,13.3713,24.3987,11.0691,13790.5968,12948.8094,13872.3007,2.72724,37.7456,35.4313,8683.7911,6860.358,6866.7551
0.34,5,13.2175,24.0903,10.9145,13791.7263,12960.3461,13872.2055,2.72379,37.2835,34.9682,8676.4905,6873.0733,6881.9486
0.35,5,13.0676,23.7895,10.7637,13792.8173,12971.5886,13872.1134,2.72045,36.8328,34.5166,8669.3708,6885.5366,6896.7716
0.36,5,12.9214,23.4962,10.6166,13793.8718,12982.5481,13872.0242,2.71723,36.3932,34.0761,8662.4254,6897.7546,6911.2373
0.37,5,12.7787,23.21,10.4731,13794.8916,12993.2351,13871.9378,2.71412,35.9644,33.6463,8655.6482,6909.7342,6925.3585
0.38,5,12.6395,22.9307,10.3331,13795.8784,13003.6598,13871.8542,2.71111,35.5458,33.2268,8649.0333,6921.4818,6939.1471
0.39,5,12.5036,22.658,10.1964,13796.8338,13013.8317,13871.7732,2.7082,35.1372,32.8173,8642.5753,6933.0037,6952.6149
0.4,5,12.3709,22.3916,10.0628,13797.7593,13023.76,13871.6947,2.70538,34.7382,32.4173,8636.2687,6944.306,6965.7727
0.41,5,12.2413,22.1315,9.93239,13798.6564,13033.4534,13871.6187,2.70266,34.3484,32.0266,8630.1085,6955.3946,6978.6311
0.42,5,12.1147,21.8773,9.80493,13799.5263,13042.9201,13871.545,2.70002,33.9676,31.6449,8624.0897,6966.2753,6991.2002
0.43,5,11.9909,21.6289,9.68035,13800.3705,13052.1681,13871.4735,2.69747,33.5954,31.2718,8618.2077,6976.9537,7003.4896
0.44,5,11.87,21.3861,9.55855,13801.1899,13061.2049,13871.4043,2.695,33.2316,30.9071,8612.4581,6987.4351,7015.5085
0.45,5,11.7517,21.1486,9.43945,13801.9858,13070.0378,13871.3371,2.69261,32.8758,30.5504,8606.8366,6997.7247,7027.2657
0.46,5,11.636,20.9163,9.32295,13802.7593,13078.6735,13871.272,2.69029,32.5278,30.2015,8601.3392,7007.8277,7038.7696
0.47,5,11.5228,20.6891,9.20896,13803.5113,13087.1188,13871.2088,2.68805,32.1875,29.8602,8595.9618,7017.7489,7050.0284
0.48,5,11.4121,20.4667,9.09741,13804.2428,13095.3798,13871.1475,2.68588,31.8544,29.5262,8590.7007,7027.4931,7061.0497
0.49,5,11.3038,20.2491,8.98823,13804.9547,13103.4626,13871.0881,2.68378,31.5283,29.1993,8585.5524,7037.0648,7071.8409
0.5,5,11.1977,20.036,8.88132,13805.6478,13111.3729,13871.0305,2.68174,31.2092,28.8792,8580.5134,7046.4686,7082.4093
0.51,5,11.0938,19.8274,8.77663,13806.323,13119.1163,13870.9745,2.67977,30.8967,28.5658,8575.5804,7055.7087,7092.7616
0.52,5,10.9921,19.623,8.67409,13806.981,13126.698,13870.9203,2.67786,30.5906,28.2588,8570.7502,7064.7894,7102.9043
0.53,5,10.8925,19.4228,8.57363,13807.6225,13134.1231,13870.8676,2.67601,30.2908,27.9581,8566.0197,7073.7146,7112.8438
0.54,5,10.7949,19.2267,8.47518,13808.2482,13141.3964,13870.8165,2.67422,29.997,27.6634,8561.3861,7082.4884,7122.5862
0.55,5,10.6992,19.0344,8.37869,13808.8588,13148.5227,13870.7669,2.67248,29.7091,27.3745,8556.8464,7091.1145,7132.1371
0.56,5,10.6054,18.846,8.28409,13809.4548,13155.5063,13870.7188,2.67079,29.4268,27.0914,8552.3981,7099.5966,7141.5023
0.57,5,10.5135,18.6612,8.19134,13810.037,13162.3516,13870.6721,2.66916,29.1502,26.8138,8548.0383,7107.9382,7150.6871
0.58,5,10.4234,18.48,8.10038,13810.6058,13169.0626,13870.6267,2.66758,28.8788,26.5415,8543.7648,7116.143,7159.6966
0.59,5,10.335,18.3023,8.01115,13811.1617,13175.6434,13870.5827,2.66605,28.6127,26.2745,8539.575,7124.2141,7168.5358
0.6,5,10.2483,18.128,7.92361,13811.7054,13182.0977,13870.5401,2.66457,28.3517,26.0125,8535.4666,7132.1549,7177.2095
0.61,5,10.1633,17.9569,7.83772,13812.2372,13188.4292,13870.4986,2.66313,28.0956,25.7555,8531.4374,7139.9685,7185.7224
0.62,5,10.0798,17.7891,7.75341,13812.7576,13194.6414,13870.4584,2.66174,27.8442,25.5032,8527.4852,7147.658,7194.0789
0.63,5,9.99789,17.6243,7.67066,13813.267,13200.7377,13870.4194,2.66039,27.5976,25.2556,8523.608,7155.2263,7202.2832
