n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,77.3289,77.3615,77.21,10226.6813,10231.7814,10233.8478,133.7733,134.0356,133.8299,336.1226,320.8817,333.1638
0.02,1,75.5977,75.67,75.3775,10315.8334,10324.7471,10329.7447,130.6341,131.1404,130.7597,657.1696,627.7413,650.5076
0.03,1,73.8579,73.975,73.5527,10409.2098,10420.7727,10429.3044,127.496,128.2269,127.6994,963.0395,920.5403,952.1344
0.04,1,72.1215,72.2866,71.7457,10505.2617,10518.4514,10530.8952,124.3785,125.3145,124.6657,1253.833,1199.4033,1238.3221
0.05,1,70.3983,70.6132,69.9652,10602.6712,10616.6136,10633.1622,121.2981,122.4195,121.6723,1529.8155,1464.5888,1509.4859
0.06,1,68.6967,68.9619,68.2177,10700.3406,10714.3072,10735.0054,118.2679,119.5558,118.7302,1791.3796,1716.4593,1766.1425
0.07,1,67.0232,67.3385,66.5085,10797.3746,10810.7728,10835.552,115.2985,116.7348,115.8484,2039.0138,1955.4554,2008.8804
0.08,1,65.3833,65.7474,64.8417,10893.0585,10905.4191,10934.1267,112.398,113.9654,113.0334,2273.2739,2182.0742,2238.3338
0.09,1,63.781,64.1922,63.2201,10986.8354,10997.7974,11030.222,109.5723,111.255,110.2905,2494.7602,2396.8493,2455.163
0.1,1,62.2194,62.6756,61.6456,11078.2835,11087.5791,11123.4707,106.8259,108.609,107.6229,2704.0982,2600.3365,2660.0376
0.11,1,60.7007,61.1994,60.1194,11167.0943,11174.5346,11213.6206,104.1613,106.0313,105.0331,2901.9235,2793.1005,2853.6242
0.12,1,59.2263,59.7649,58.642,11253.0536,11258.515,11300.5128,101.5802,103.5248,102.5223,3088.8697,2975.705,3036.5765
0.13,1,57.7969,58.3727,57.2135,11336.0243,11339.4366,11384.0626,99.0831,101.091,100.0908,3265.5597,3148.7054,3209.5289
0.14,1,56.4128,57.0232,55.8336,11415.9311,11417.2669,11464.2436,96.6698,98.7309,97.7383,3432.5986,3312.6429,3373.0909
0.15,1,55.0739,55.7162,54.5013,11492.7482,11492.0142,11541.0747,94.3392,96.4446,95.4639,3590.569,3468.0404,3527.8448
0.16,1,53.7798,54.4513,53.2159,11566.4886,11563.7177,11614.6089,92.0902,94.2315,93.2664,3740.028,3615.3993,3674.3428
0.17,1,52.5297,53.2278,51.9762,11637.1951,11632.44,11684.9248,89.9207,92.0909,91.144,3881.5054,3755.1981,3813.1069
0.18,1,51.3226,52.045,50.7808,11704.9329,11698.2611,11752.1192,87.8288,90.0213,89.0949,4015.502,3887.891,3944.6284
0.19,1,50.1576,50.9019,49.6284,11769.7838,11761.2733,11816.3014,85.8121,88.0213,87.117,4142.4902,4013.9078,4069.3683
0.2,1,49.0333,49.7975,48.5176,11831.8414,11821.5771,11877.589,83.8682,86.0891,85.2081,4262.9135,4133.6537,4187.7582
0.21,1,47.9486,48.7305,47.4468,11891.2071,11879.2783,11936.1042,81.9946,84.2227,83.3659,4377.188,4247.5099,4300.2016
0.22,1,46.9021,47.6998,46.4145,11947.9873,11934.4853,11991.9711,80.1887,82.42,81.588,4485.7026,4355.8342,4407.0747
0.23,1,45.8924,46.7042,45.4194,12002.2907,11987.3071,12045.3137,78.448,80.6791,79.8722,4588.8207,4458.9622,4508.7284
0.24,1,44.9182,45.7424,44.4598,12054.2266,12037.8523,12096.2541,76.7698,78.9978,78.216,4686.8812,4557.2079,4605.4894
0.25,1,43.9782,44.8133,43.5343,12103.9035,12086.2274,12144.9118,75.1516,77.3738,76.6171,4780.2,4650.8647,4697.6617
0.26,1,43.071,43.9156,42.6415,12151.4279,12132.5364,12191.4025,73.591,75.8052,75.0734,4869.0714,4740.2071,4785.5283
0.27,1,42.1953,43.0481,41.7801,12196.9037,12176.8799,12235.8379,72.0856,74.2897,73.5824,4953.7693,4825.4915,4869.3522
0.28,1,41.3499,42.2096,40.9487,12240.4312,12219.355,12278.3247,70.633,72.8253,72.1422,5034.5486,4906.9569,4949.3783
0.29,1,40.5334,41.399,40.146,12282.1074,12260.0548,12318.9652,69.2309,71.41,70.7506,5111.6466,4984.8267,5025.8342
0.3,1,39.7447,40.6151,39.3708,12322.0252,12299.0684,12357.8566,67.8772,70.0418,69.4056,5185.2841,5059.3093,5098.9318
0.31,1,38.9826,39.857,38.6219,12360.2733,12336.4809,12395.0914,66.5698,68.7189,68.1052,5255.6665,5130.5993,5168.868
0.32,1,38.246,39.1235,37.8981,12396.9365,12372.3731,12430.7569,65.3067,67.4393,66.8477,5322.9851,5198.8783,5235.8265
0.33,1,37.5338,38.4136,37.1984,12432.0952,12406.8217,12464.9362,64.086,66.2013,65.6311,5387.418,5264.3157,5299.978
0.34,1,36.845,37.7265,36.5217,12465.8261,12439.8998,12497.7074,62.9058,65.0033,64.4538,5449.1312,5327.07,5361.4819
0.35,1,36.1786,37.0611,35.8671,12498.2017,12471.6763,12529.1444,61.7643,63.8435,63.3141,5508.2793,5387.2891,5420.4865
0.36,1,35.5337,36.4165,35.2336,12529.2906,12502.2166,12559.3171,60.66,62.7204,62.2105,5565.0065,5445.1113,5477.1302
0.37,1,34.9093,35.792,34.6203,12559.1579,12531.5824,12588.291,59.5911,61.6325,61.1415,5619.4472,5500.6657,5531.5423
0.38,1,34.3047,35.1867,34.0263,12587.8651,12559.8323,12616.1281,58.5563,60.5784,60.1056,5671.727,5554.0735,5583.8433
0.39,1,33.7188,34.5998,33.4508,12615.4703,12587.0213,12642.8867,57.554,59.5566,59.1015,5721.963,5605.4476,5634.1459
0.4,1,33.1511,34.0306,32.8931,12642.0282,12613.2015,12668.6217,56.5829,58.5659,58.1278,5770.2648,5654.8943,5682.5556
0.41,1,32.6007,33.4784,32.3523,12667.5908,12638.4223,12693.385,55.6416,57.605,57.1833,5816.7349,5702.5126,5729.1709
0.42,1,32.067,32.9425,31.8279,12692.2069,12662.73,12717.225,54.729,56.6726,56.2669,5861.4689,5748.3958,5774.0841
0.43,1,31.5491,32.4222,31.319,12715.9227,12686.1686,12740.1879,53.8438,55.7678,55.3774,5904.5566,5792.6311,5817.3816
0.44,1,31.0466,31.9169,30.8252,12738.7817,12708.7795,12762.3166,52.9849,54.8893,54.5137,5946.082,5835.3005,5859.1446
0.45,1,30.5588,31.4261,30.3457,12760.8252,12730.6018,12783.652,52.1512,54.0361,53.6749,5986.1239,5876.481,5899.449
0.46,1,30.085,30.9492,29.8801,12782.0918,12751.6725,12804.2324,51.3417,53.2073,52.8598,6024.7561,5916.2448,5938.3663
0.47,1,29.6248,30.4856,29.4277,12802.6184,12772.0264,12824.094,50.5554,52.4018,52.0676,6062.0479,5954.66,5975.9634
0.48,1,29.1775,30.0349,28.988,12822.4395,12791.6966,12843.2707,49.7915,51.6188,51.2975,6098.0646,5991.7905,6012.3033
0.49,1,28.7428,29.5964,28.5605,12841.5879,12810.7143,12861.7949,49.0489,50.8575,50.5485,6132.8672,6027.6965,6047.4454
0.5,1,28.3201,29.1699,28.1448,12860.0944,12829.1088,12879.6968,48.327,50.1169,49.8198,6166.5133,6062.4348,6081.4454
0.51,1,27.9089,28.7548,27.7404,12877.9883,12846.9082,12897.005,47.6248,49.3963,49.1107,6199.0572,6096.0588,6114.3559
0.52,1,27.5088,28.3506,27.3469,12895.2971,12864.1387,12913.7466,46.9417,48.6949,48.4205,6230.5498,6128.6189,6146.2263
0.53,1,27.1194,27.9571,26.9638,12912.0471,12880.8254,12929.9472,46.2769,48.0121,47.7484,6261.0392,6160.1627,6177.1034
0.54,1,26.7403,27.5738,26.5908,12928.2629,12896.9918,12945.6309,45.6296,47.3471,47.0937,6290.5707,6190.7351,6207.0312
0.55,1,26.3711,27.2003,26.2274,12943.9679,12912.6604,12960.8204,44.9994,46.6993,46.4559,6319.187,6220.3786,6236.0513
0.56,1,26.0114,26.8362,25.8734,12959.1843,12927.8524,12975.5375,44.3854,46.0681,45.8344,6346.9286,6249.1332,6264.2031
0.57,1,25.6609,26.4814,25.5284,12973.9331,12942.5878,12989.8025,43.7872,45.4528,45.2284,6373.8335,6277.037,6291.5237
0.58,1,25.3193,26.1353,25.1921,12988.2341,12956.8858,13003.6347,43.2042,44.853,44.6376,6399.9378,6304.1258,6318.0483
0.59,1,24.9862,25.7978,24.8641,13002.1062,12970.7644,13017.0526,42.6357,44.268,44.0613,6425.2757,6330.4336,6343.8101
0.6,1,24.6613,25.4684,24.5442,13015.5673,12984.2408,13030.0735,42.0813,43.6973,43.499,6449.8792,6355.9927,6368.8406
0.61,1,24.3444,25.147,24.2321,13028.6344,12997.3313,13042.7138,41.5405,43.1405,42.9503,6473.7791,6380.8336,6393.1699
0.62,1,24.0352,24.8333,23.9275,13041.3234,13010.0513,13054.9892,41.0129,42.5971,42.4147,6497.0042,6404.9853,6416.8261
0.63,1,23.7334,24.5269,23.6301,13053.6498,13022.4157,13066.9145,40.4978,42.0665,41.8917,6519.5821,6428.4753,6439.8361
0.64,1,23.4387,24.2277,23.3398,13065.6281,13034.4383,13078.5038,39.9951,41.5484,41.3809,6541.5386,6451.3297,6462.2255
0.65,1,23.1509,23.9355,23.0562,13077.2721,13046.1326,13089.7705,39.5041,41.0424,40.882,6562.8986,6473.5733,6484.0184
0.66,1,22.8698,23.6498,22.7791,13088.5948,13057.5111,13100.7272,39.0245,40.548,40.3945,6583.6854,6495.2297,6505.238
0.67,1,22.5952,23.3707,22.5084,13099.6088,13068.5859,13111.3861,38.5559,40.0649,39.918,6603.9214,6516.3212,6525.9061
0.68,1,22.3268,23.0978,22.2438,13110.3261,13079.3685,13121.7587,38.098,39.5927,39.4522,6623.6278,6536.8694,6546.0435
0.69,1,22.0645,22.831,21.9851,13120.7578,13089.8698,13131.8558,37.6504,39.131,38.9967,6642.8247,6556.8944,6565.6701
0.7,1,21.808,22.5701,21.7322,13130.9148,13100.1003,13141.688,37.2128,38.6796,38.5513,6661.5312,6576.4156,6584.8047
0.71,1,21.5571,22.3148,21.4847,13140.8073,13110.0699,13151.2651,36.7848,38.238,38.1155,6679.7657,6595.4515,6603.4653
0.72,1,21.3117,22.065,21.2427,13150.4452,13119.7881,13160.5965,36.3662,37.806,37.6891,6697.5456,6614.0196,6621.6692
0.73,1,21.0716,21.8205,21.0058,13159.8377,13129.2639,13169.6914,35.9566,37.3833,37.2719,6714.8873,6632.1368,6639.4325
0.74,1,20.8367,21.5812,20.774,13168.9938,13138.506,13178.5583,35.5558,36.9695,36.8634,6731.8067,6649.8189,6656.771
0.75,1,20.6067,21.347,20.5471,13177.922,13147.5226,13187.2054,35.1635,36.5645,36.4635,6748.3189,6667.0813,6673.6996
0.76,1,20.3816,21.1175,20.3248,13186.6305,13156.3217,13195.6406,34.7794,36.1679,36.0719,6764.4383,6683.9386,6690.2324
0.77,1,20.1611,20.8928,20.1072,13195.1269,13164.9107,13203.8713,34.4033,35.7795,35.6883,6780.1786,6700.4047,6706.383
0.78,1,19.9452,20.6727,19.8941,13203.4187,13173.2969,13211.9046,34.035,35.3991,35.3125,6795.5529,6716.493,6722.1645
0.79,1,19.7336,20.457,19.6852,13211.5129,13181.4872,13219.7475,33.6741,35.0263,34.9443,6810.5737,6732.2162,6737.5893
0.8,1,19.5264,20.2456,19.4806,13219.4164,13189.4881,13227.4064,33.3206,34.6611,34.5835,6825.2531,6747.5864,6752.6693
0.81,1,19.3233,20.0383,19.28,13227.1356,13197.306,13234.8875,32.9741,34.3031,34.2297,6839.6026,6762.6154,6767.4158
0.82,1,19.1242,19.8352,19.0833,13234.6767,13204.947,13242.197,32.6345,33.9522,33.8829,6853.633,6777.3144,6781.8397
0.83,1,18.929,19.636,18.8905,13242.0457,13212.4168,13249.3404,32.3015,33.6081,33.5429,6867.3549,6791.694,6795.9516
0.84,1,18.7376,19.4406,18.7015,13249.2483,13219.721,13256.3233,31.975,33.2707,33.2094,6880.7784,6805.7645,6809.7613
0.85,1,18.5499,19.2489,18.516,13256.2899,13226.865,13263.1509,31.6548,32.9397,32.8822,6893.9131,6819.5358,6823.2785
0.86,1,18.3658,19.0609,18.3341,13263.1758,13233.8537,13269.8283,31.3407,32.6151,32.5612,6906.7683,6833.0173,6836.5123
0.87,1,18.1852,18.8764,18.1556,13269.9109,13240.6923,13276.3602,31.0326,32.2965,32.2463,6919.3527,6846.218,6849.4717
0.88,1,18.008,18.6953,17.9804,13276.5,13247.3853,13282.7514,30.7302,31.9839,31.9372,6931.675,6859.1467,6862.165
0.89,1,17.834,18.5176,17.8085,13282.9479,13253.9372,13289.0062,30.4335,31.6771,31.6337,6943.7432,6871.8116,6874.6005
0.9,1,17.6633,18.3431,17.6397,13289.2588,13260.3525,13295.1289,30.1422,31.3759,31.3358,6955.5651,6884.2209,6886.7858
0.91,1,17.4957,18.1718,17.4739,13295.4372,13266.6352,13301.1236,29.8562,31.0803,31.0433,6967.1484,6896.3821,6898.7286
0.92,1,17.3311,18.0035,17.3112,13301.4869,13272.7895,13306.9942,29.5754,30.7899,30.7561,6978.5002,6908.3027,6910.436
0.93,1,17.1695,17.8383,17.1514,13307.412,13278.819,13312.7446,29.2997,30.5047,30.4739,6989.6275,6919.9899,6921.9149
