n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,5,31.8548,62.9107,31.0664,12740.8615,11289.2082,13837.1606,1.41358,94.7482,93.9626,8580.5951,3888.4916,5577.1805
0.02,5,31.4124,62.0185,30.6166,12772.951,11325.0363,13837.0592,1.40976,93.4135,92.6203,8589.4096,3956.5407,5587.0567
0.03,5,30.9802,61.1471,30.1773,12803.7624,11360.2321,13836.9607,1.40606,92.11,91.3094,8597.4404,4022.9245,5597.9343
0.04,5,30.5581,60.296,29.7483,12833.3551,11394.7897,13836.8651,1.40246,90.8367,90.0291,8604.7405,4087.6658,5609.7077
0.05,5,30.1457,59.4646,29.3293,12861.7857,11428.7059,13836.7724,1.39898,89.5929,88.7785,8611.3595,4150.7919,5622.2799
0.06,5,29.7428,58.6525,28.9201,12889.1079,11461.98,13836.6824,1.3956,88.3779,87.5569,8617.3433,4212.3335,5635.5615
0.07,5,29.3492,57.8591,28.5203,12915.373,11494.6134,13836.595,1.39232,87.1909,86.3636,8622.7348,4272.3239,5649.4703
0.08,5,28.9646,57.084,28.1297,12940.6297,11526.6094,13836.5102,1.38914,86.0312,85.1977,8627.574,4330.7982,5663.9309
0.09,5,28.5888,56.3266,27.7481,12964.9243,11557.9727,13836.4279,1.38606,84.898,84.0585,8631.8982,4387.7929,5678.8742
0.1,5,28.2216,55.5865,27.3753,12988.3009,11588.7094,13836.348,1.38307,83.7907,82.9454,8635.7421,4443.3455,5694.2371
0.11,5,27.8626,54.8632,27.0109,13010.8012,11618.8268,13836.2705,1.38017,82.7084,81.8575,8639.1381,4497.4936,5709.9615
0.12,5,27.5117,54.1563,26.6548,13032.4651,11648.3329,13836.1952,1.37736,81.6505,80.7943,8642.1164,4550.2755,5725.9946
0.13,5,27.1687,53.4652,26.3067,13053.3304,11677.2368,13836.1221,1.37463,80.6164,79.7549,8644.705,4601.729,5742.2883
0.14,5,26.8334,52.7895,25.9664,13073.4328,11705.5479,13836.0512,1.37199,79.6054,78.7388,8646.9303,4651.8919,5758.7984
0.15,5,26.5054,52.1289,25.6337,13092.8065,11733.2765,13835.9823,1.36942,78.6168,77.7453,8648.8168,4700.8014,5775.485
0.16,5,26.1847,51.4828,25.3083,13111.4839,11760.4329,13835.9155,1.36693,77.65,76.7737,8650.3873,4748.4943,5792.3116
0.17,5,25.871,50.851,24.9901,13129.4958,11787.0281,13835.8505,1.36451,76.7044,75.8235,8651.6631,4795.0066,5809.245
0.18,5,25.5641,50.2329,24.6789,13146.8713,11813.073,13835.7875,1.36216,75.7794,74.894,8652.6641,4840.3737,5826.2553
0.19,5,25.2639,49.6282,24.3745,13163.6383,11838.579,13835.7262,1.35989,74.8745,73.9847,8653.409,4884.6299,5843.3151
0.2,5,24.9701,49.0365,24.0766,13179.8231,11863.5574,13835.6668,1.35768,73.9891,73.0951,8653.9152,4927.809,5860.3998
0.21,5,24.6826,48.4575,23.7851,13195.4509,11888.0195,13835.609,1.35553,73.1225,72.2244,8654.1988,4969.9438,5877.4871
0.22,5,24.4012,47.8908,23.4998,13210.5455,11911.9768,13835.5528,1.35344,72.2744,71.3723,8654.275,5011.0661,5894.5568
0.23,5,24.1257,47.3361,23.2205,13225.1296,11935.4406,13835.4983,1.35142,71.4442,70.5382,8654.1579,5051.2068,5911.5908
0.24,5,23.856,46.793,22.9472,13239.2247,11958.4222,13835.4453,1.34945,70.6314,69.7216,8653.8609,5090.3961,5928.5727
0.25,5,23.5918,46.2612,22.6795,13252.8514,11980.9328,13835.3938,1.34755,69.8354,68.922,8653.3964,5128.663,5945.4879
0.26,5,23.3332,45.7404,22.4173,13266.0292,12002.9835,13835.3437,1.34569,69.056,68.1389,8652.7758,5166.0357,5962.3232
0.27,5,23.0798,45.2303,22.1606,13278.7766,12024.5851,13835.295,1.34389,68.2925,67.372,8652.0101,5202.5417,5979.0669
0.28,5,22.8316,44.7306,21.9091,13291.1114,12045.7486,13835.2477,1.34214,67.5445,66.6206,8651.1094,5238.2072,5995.7084
0.29,5,22.5884,44.241,21.6627,13303.0504,12066.4844,13835.2017,1.34044,66.8117,65.8845,8650.0832,5273.0579,6012.2385
0.3,5,22.35,43.7613,21.4213,13314.6096,12086.803,13835.157,1.33878,66.0936,65.1632,8648.9404,5307.1185,6028.6489
0.31,5,22.1164,43.2911,21.1847,13325.8043,12106.7145,13835.1135,1.33718,65.3898,64.4563,8647.6892,5340.413,6044.9323
0.32,5,21.8875,42.8302,20.9527,13336.649,12126.2291,13835.0712,1.33561,64.7,63.7634,8646.3376,5372.9643,6061.0823
0.33,5,21.663,42.3783,20.7254,13347.1576,12145.3564,13835.0301,1.3341,64.0237,63.0841,8644.8927,5404.7948,6077.0933
0.34,5,21.4429,41.9353,20.5025,13357.3434,12164.106,13834.9901,1.33262,63.3606,62.4181,8643.3615,5435.9261,6092.9605
0.35,5,21.227,41.5009,20.2839,13367.2189,12182.4874,13834.9511,1.33118,62.7103,61.765,8641.7503,5466.379,6108.6796
0.36,5,21.0153,41.0748,20.0695,13376.7962,12200.5097,13834.9133,1.32979,62.0725,61.1244,8640.0652,5496.1736,6124.2471
0.37,5,20.8077,40.6569,19.8592,13386.0868,12218.1817,13834.8764,1.32843,61.4469,60.4961,8638.3118,5525.3293,6139.66
0.38,5,20.6039,40.2469,19.653,13395.1016,12235.5123,13834.8405,1.32711,60.8331,59.8797,8636.4952,5553.8648,6154.9157
0.39,5,20.404,39.8445,19.4506,13403.8511,12252.5099,13834.8056,1.32582,60.2309,59.2749,8634.6206,5581.7982,6170.0122
0.4,5,20.2078,39.4497,19.2519,13412.3452,12269.1828,13834.7717,1.32457,59.6399,58.6813,8632.6926,5609.147,6184.9479
0.41,5,20.0153,39.0622,19.057,13420.5935,12285.539,13834.7386,1.32336,59.0598,58.0988,8630.7154,5635.9282,6199.7215
0.42,5,19.8262,38.6819,18.8657,13428.6052,12301.5865,13834.7064,1.32217,58.4904,57.527,8628.6932,5662.1579,6214.332
0.43,5,19.6407,38.3084,18.6778,13436.3889,12317.3329,13834.6751,1.32102,57.9314,56.9657,8626.6297,5687.8518,6228.779
0.44,5,19.4584,37.9418,18.4934,13443.953,12332.7855,13834.6446,1.3199,57.3825,56.4145,8624.5287,5713.0254,6243.0619
0.45,5,19.2795,37.5817,18.3123,13451.3054,12347.9518,13834.6149,1.31881,56.8435,55.8732,8622.3934,5737.693,6257.1809
0.46,5,19.1037,37.2281,18.1344,13458.4538,12362.8386,13834.586,1.31775,56.3141,55.3417,8620.227,5761.8691,6271.136
0.47,5,18.9311,36.8807,17.9597,13465.4055,12377.453,13834.5578,1.31671,55.7941,54.8195,8618.0325,5785.5672,6284.9277
