n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,5,21.4479,42.8944,21.4465,13582.2439,12189.5675,13799.5079,0.00885808,64.3301,64.3234,8873.0639,5999.1577,5870.9135
0.02,5,21.2945,42.5876,21.2931,13581.6607,12200.4694,13799.507,0.00882858,63.8698,63.8632,8863.5498,6001.0607,5886.2337
0.03,5,21.1433,42.2852,21.1419,13581.1164,12211.2284,13799.5062,0.00879955,63.4161,63.4094,8854.2072,6003.1432,5901.3331
0.04,5,20.9942,41.9869,20.9928,13580.6095,12221.8471,13799.5053,0.00877097,62.9686,62.9621,8845.0319,6005.3969,5916.2164
0.05,5,20.8471,41.6928,20.8457,13580.1387,12232.3283,13799.5045,0.00874283,62.5274,62.5209,8836.0197,6007.8137,5930.8883
0.06,5,20.7021,41.4028,20.7007,13579.7025,12242.6744,13799.5037,0.00871514,62.0924,62.0859,8827.1667,6010.386,5945.3531
0.07,5,20.5591,41.1168,20.5577,13579.2996,12252.8881,13799.5029,0.00868787,61.6633,61.6568,8818.469,6013.1064,5959.6151
0.08,5,20.418,40.8347,20.4167,13578.9289,12262.9717,13799.5021,0.00866101,61.24,61.2336,8809.9228,6015.9677,5973.6787
0.09,5,20.2788,40.5563,20.2775,13578.5892,12272.9277,13799.5013,0.00863457,60.8225,60.8161,8801.5246,6018.9634,5987.5478
0.1,5,20.1415,40.2818,20.1403,13578.2792,12282.7583,13799.5005,0.00860852,60.4106,60.4042,8793.2707,6022.0869,6001.2264
0.11,5,20.0061,40.0109,20.0048,13577.9979,12292.466,13799.4998,0.00858286,60.0042,59.9979,8785.1579,6025.3319,6014.7184
0.12,5,19.8725,39.7436,19.8712,13577.7442,12302.0528,13799.499,0.00855759,59.6032,59.5969,8777.1827,6028.6925,6028.0276
0.13,5,19.7406,39.4799,19.7393,13577.5172,12311.5211,13799.4983,0.00853269,59.2076,59.2013,8769.3419,6032.1631,6041.1577
0.14,5,19.6104,39.2196,19.6092,13577.3157,12320.8729,13799.4975,0.00850816,58.8171,58.8108,8761.6324,6035.738,6054.1122
0.15,5,19.482,38.9627,19.4807,13577.1389,12330.1102,13799.4968,0.00848399,58.4317,58.4254,8754.0513,6039.4121,6066.8946
0.16,5,19.3552,38.7091,19.354,13576.9859,12339.2352,13799.4961,0.00846017,58.0513,58.0451,8746.5954,6043.1803,6079.5082
0.17,5,19.23,38.4588,19.2288,13576.8558,12348.2498,13799.4954,0.0084367,57.6757,57.6696,8739.2621,6047.0378,6091.9564
0.18,5,19.1064,38.2117,19.1053,13576.7478,12357.156,13799.4947,0.00841356,57.305,57.2989,8732.0484,6050.98,6104.2425
0.19,5,18.9845,37.9677,18.9833,13576.661,12365.9557,13799.494,0.00839075,56.939,56.9329,8724.9518,6055.0023,6116.3694
0.2,5,18.864,37.7268,18.8629,13576.5946,12374.6506,13799.4934,0.00836827,56.5776,56.5716,8717.9695,6059.1006,6128.3403
0.21,5,18.7451,37.489,18.7439,13576.548,12383.2427,13799.4927,0.00834611,56.2208,56.2148,8711.0991,6063.2708,6140.1582
0.22,5,18.6276,37.2541,18.6265,13576.5204,12391.7337,13799.4921,0.00832426,55.8684,55.8624,8704.338,6067.5089,6151.8259
0.23,5,18.5116,37.0221,18.5105,13576.511,12400.1254,13799.4914,0.00830271,55.5204,55.5144,8697.6839,6071.8112,6163.3463
0.24,5,18.3971,36.793,18.396,13576.5193,12408.4193,13799.4908,0.00828147,55.1767,55.1707,8691.1344,6076.1741,6174.7222
0.25,5,18.2839,36.5667,18.2828,13576.5446,12416.6173,13799.4901,0.00826051,54.8371,54.8312,8684.6872,6080.5942,6185.9562
0.26,5,18.1721,36.3431,18.171,13576.5862,12424.7209,13799.4895,0.00823985,54.5018,54.4959,8678.3402,6085.068,6197.0509
0.27,5,18.0617,36.1223,18.0606,13576.6436,12432.7316,13799.4889,0.00821947,54.1704,54.1646,8672.0911,6089.5925,6208.0089
0.28,5,17.9526,35.9041,17.9515,13576.7161,12440.6512,13799.4883,0.00819936,53.8431,53.8372,8665.9379,6094.1646,6218.8327
0.29,5,17.8448,35.6885,17.8437,13576.8032,12448.481,13799.4877,0.00817953,53.5197,53.5138,8659.8786,6098.7813,6229.5248
0.3,5,17.7382,35.4755,17.7372,13576.9045,12456.2225,13799.4871,0.00815996,53.2001,53.1943,8653.911,6103.4399,6240.0875
0.31,5,17.633,35.2649,17.632,13577.0193,12463.8773,13799.4866,0.00814066,52.8843,52.8785,8648.0335,6108.1377,6250.5232
0.32,5,17.529,35.0569,17.528,13577.1471,12471.4467,13799.486,0.00812161,52.5722,52.5664,8642.2439,6112.8721,6260.8341
0.33,5,17.4262,34.8513,17.4252,13577.2875,12478.9321,13799.4854,0.00810281,52.2637,52.258,8636.5406,6117.6406,6271.0224
0.34,5,17.3245,34.6481,17.3236,13577.4401,12486.335,13799.4849,0.00808426,51.9589,51.9532,8630.9217,6122.4408,6281.0902
0.35,5,17.2241,34.4472,17.2231,13577.6043,12493.6565,13799.4843,0.00806595,51.6575,51.6519,8625.3855,6127.2706,6291.0398
0.36,5,17.1248,34.2487,17.1239,13577.7797,12500.8981,13799.4838,0.00804789,51.3597,51.354,8619.9303,6132.1276,6300.8732
0.37,5,17.0267,34.0524,17.0257,13577.9659,12508.061,13799.4832,0.00803005,51.0652,51.0596,8614.5545,6137.0099,6310.5923
0.38,5,16.9296,33.8583,16.9287,13578.1626,12515.1464,13799.4827,0.00801245,50.7741,50.7684,8609.2565,6141.9154,6320.1992
0.39,5,16.8337,33.6665,16.8328,13578.3692,12522.1557,13799.4822,0.00799507,50.4862,50.4806,8604.0346,6146.8421,6329.6958
0.4,5,16.7388,33.4767,16.7379,13578.5855,12529.09,13799.4817,0.00797791,50.2016,50.196,8598.8874,6151.7884,6339.0839
0.41,5,16.645,33.2891,16.6441,13578.8111,12535.9504,13799.4811,0.00796097,49.9202,49.9146,8593.8134,6156.7523,6348.3654
0.42,5,16.5523,33.1036,16.5514,13579.0456,12542.7381,13799.4806,0.00794424,49.6419,49.6363,8588.8112,6161.7321,6357.5421
0.43,5,16.4605,32.9202,16.4596,13579.2887,12549.4543,13799.4801,0.00792772,49.3666,49.3611,8583.8792,6166.7264,6366.6158
0.44,5,16.3698,32.7387,16.3689,13579.54,12556.1001,13799.4796,0.00791141,49.0944,49.0889,8579.0163,6171.7335,6375.5881
0.45,5,16.2801,32.5593,16.2792,13579.7993,12562.6765,13799.4792,0.0078953,48.8252,48.8197,8574.2209,6176.7519,6384.4608
0.46,5,16.1913,32.3817,16.1905,13580.0663,12569.1847,13799.4787,0.00787939,48.5589,48.5534,8569.4918,6181.7802,6393.2355
0.47,5,16.1035,32.2062,16.1027,13580.3405,12575.6255,13799.4782,0.00786367,48.2955,48.29,8564.8278,6186.817,6401.9138
0.48,5,16.0166,32.0324,16.0158,13580.6219,12582.0002,13799.4777,0.00784815,48.0349,48.0295,8560.2276,6191.861,6410.4973
0.49,5,15.9307,31.8606,15.9299,13580.91,12588.3096,13799.4773,0.00783282,47.7771,47.7717,8555.6899,6196.9111,6418.9874
0.5,5,15.8457,31.6906,15.8449,13581.2046,12594.5548,13799.4768,0.00781767,47.522,47.5166,8551.2136,6201.9658,6427.3858
0.51,5,15.7616,31.5224,15.7608,13581.5055,12600.7367,13799.4764,0.0078027,47.2696,47.2643,8546.7975,6207.0242,6435.6939
0.52,5,15.6784,31.3559,15.6776,13581.8125,12606.8563,13799.4759,0.00778791,47.0199,47.0146,8542.4405,6212.0851,6443.9132
0.53,5,15.596,31.1912,15.5952,13582.1251,12612.9145,13799.4755,0.0077733,46.7728,46.7675,8538.1415,6217.1474,6452.0449
0.54,5,15.5145,31.0282,15.5137,13582.4434,12618.9121,13799.475,0.00775887,46.5283,46.523,8533.8994,6222.2102,6460.0907
0.55,5,15.4339,30.8669,15.4331,13582.7669,12624.8502,13799.4746,0.0077446,46.2863,46.2811,8529.7132,6227.2724,6468.0517
0.56,5,15.354,30.7073,15.3533,13583.0956,12630.7295,13799.4742,0.0077305,46.0468,46.0416,8525.5818,6232.3332,6475.9293
0.57,5,15.275,30.5493,15.2743,13583.4291,12636.5509,13799.4737,0.00771656,45.8098,45.8046,8521.5042,6237.3916,6483.7248
0.58,5,15.1968,30.3929,15.1961,13583.7674,12642.3152,13799.4733,0.00770279,45.5752,45.57,8517.4795,6242.4468,6491.4396
0.59,5,15.1194,30.2381,15.1187,13584.1101,12648.0233,13799.4729,0.00768918,45.343,45.3378,8513.5067,6247.4981,6499.0747
0.6,5,15.0428,30.0849,15.0421,13584.4571,12653.6761,13799.4725,0.00767572,45.1131,45.1079,8509.5848,6252.5445,6506.6315
0.61,5,14.967,29.9332,14.9662,13584.8083,12659.2741,13799.4721,0.00766242,44.8855,44.8804,8505.713,6257.5855,6514.1112
0.62,5,14.8919,29.783,14.8912,13585.1634,12664.8184,13799.4717,0.00764927,44.6602,44.6551,8501.8903,6262.6202,6521.5149
0.63,5,14.8175,29.6343,14.8168,13585.5222,12670.3095,13799.4713,0.00763627,44.4372,44.4321,8498.1159,6267.648,6528.8437
0.64,5,14.7439,29.4871,14.7432,13585.8847,12675.7484,13799.4709,0.00762342,44.2164,44.2113,8494.389,6272.6682,6536.0989
0.65,5,14.671,29.3414,14.6704,13586.2506,12681.1356,13799.4705,0.00761071,43.9977,43.9926,8490.7086,6277.6803,6543.2814
0.66,5,14.5989,29.1971,14.5982,13586.6198,12686.472,13799.4701,0.00759814,43.7812,43.7761,8487.074,6282.6836,6550.3924
0.67,5,14.5274,29.0541,14.5267,13586.9922,12691.7581,13799.4697,0.00758571,43.5668,43.5618,8483.4844,6287.6775,6557.4329
0.68,5,14.4567,28.9126,14.456,13587.3675,12696.9949,13799.4693,0.00757342,43.3545,43.3495,8479.939,6292.6616,6564.404
0.69,5,14.3866,28.7725,14.3859,13587.7457,12702.1828,13799.469,0.00756127,43.1442,43.1392,8476.4371,6297.6354,6571.3067
0.7,5,14.3172,28.6337,14.3165,13588.1267,12707.3226,13799.4686,0.00754925,42.936,42.931,8472.9778,6302.5982,6578.142
0.71,5,14.2484,28.4962,14.2478,13588.5102,12712.415,13799.4682,0.00753736,42.7297,42.7248,8469.5605,6307.5497,6584.9109
0.72,5,14.1803,28.36,14.1797,13588.8961,12717.4605,13799.4679,0.0075256,42.5255,42.5205,8466.1844,6312.4895,6591.6143
0.73,5,14.1129,28.2252,14.1123,13589.2845,12722.4599,13799.4675,0.00751397,42.3231,42.3182,8462.8489,6317.417,6598.2532
0.74,5,14.0461,28.0916,14.0455,13589.675,12727.4137,13799.4672,0.00750247,42.1227,42.1178,8459.5533,6322.332,6604.8284
0.75,5,13.9799,27.9592,13.9793,13590.0676,12732.3226,13799.4668,0.00749108,41.9242,41.9193,8456.2969,6327.234,6611.341
0.76,5,13.9144,27.8281,13.9138,13590.4622,12737.1871,13799.4665,0.00747982,41.7275,41.7226,8453.079,6332.1226,6617.7918
0.77,5,13.8494,27.6982,13.8488,13590.8588,12742.0079,13799.4661,0.00746868,41.5326,41.5278,8449.899,6336.9975,6624.1816
0.78,5,13.7851,27.5696,13.7845,13591.257,12746.7855,13799.4658,0.00745766,41.3396,41.3347,8446.7563,6341.8584,6630.5114
0.79,5,13.7213,27.4421,13.7207,13591.657,12751.5206,13799.4654,0.00744676,41.1483,41.1435,8443.6503,6346.705,6636.7819
0.8,5,13.6582,27.3157,13.6576,13592.0586,12756.2136,13799.4651,0.00743596,40.9588,40.954,8440.5803,6351.5369,6642.994
0.81,5,13.5956,27.1906,13.595,13592.4616,12760.8651,13799.4648,0.00742529,40.771,40.7662,8437.5458,6356.3539,6649.1485
0.82,5,13.5336,27.0666,13.533,13592.8661,12765.4757,13799.4644,0.00741472,40.585,40.5802,8434.5462,6361.1557,6655.2462
0.83,5,13.4721,26.9437,13.4716,13593.2718,12770.0459,13799.4641,0.00740426,40.4006,40.3958,8431.581,6365.9422,6661.2879
0.84,5,13.4112,26.8219,13.4107,13593.6788,12774.5763,13799.4638,0.00739391,40.2179,40.2131,8428.6495,6370.7129,6667.2743
0.85,5,13.3509,26.7012,13.3503,13594.0869,12779.0672,13799.4635,0.00738367,40.0368,40.0321,8425.7513,6375.4678,6673.2062
0.86,5,13.291,26.5815,13.2905,13594.496,12783.5193,13799.4632,0.00737353,39.8574,39.8526,8422.8858,6380.2066,6679.0844
0.87,5,13.2318,26.463,13.2312,13594.9062,12787.933,13799.4628,0.00736349,39.6795,39.6748,8420.0525,6384.929,6684.9095
0.88,5,13.173,26.3455,13.1725,13595.3172,12792.3089,13799.4625,0.00735356,39.5032,39.4985,8417.2509,6389.635,6690.6823
0.89,5,13.1148,26.229,13.1143,13595.7291,12796.6474,13799.4622,0.00734373,39.3285,39.3238,8414.4804,6394.3244,6696.4035
0.9,5,13.0571,26.1136,13.0565,13596.1418,12800.9489,13799.4619,0.00733399,39.1553,39.1506,8411.7407,6398.9969,6702.0737
