n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,76.4435,22.0272,64.0324,11435.9298,13082.6131,10638.9233,139.2808,92.50004,57.66346,491.37664,5780.1706,6037.6506
0.02,1,73.8267,22.6752,61.5619,11451.2742,13097.528,10838.3305,134.0265,90.20962,56.1758,949.47065,5692.3661,6159.1632
0.03,1,71.2254,23.1655,59.1667,11483.5074,13111.9302,11026.555,128.8705,87.84689,54.76927,1374.5258,5633.2416,6266.2866
0.04,1,68.6692,23.5195,56.8615,11528.5524,13125.8588,11202.5075,123.8586,85.45311,53.43634,1767.5488,5598.8118,6360.6108
0.05,1,66.1798,23.7571,54.6562,11582.8927,13139.3435,11365.8131,119.0231,83.06111,52.17043,2130.0652,5585.0294,6443.6791
0.06,1,63.7728,23.8963,52.556,11643.6057,13152.4072,11516.6013,114.3851,80.69623,50.96585,2463.9192,5588.0546,6516.9323
0.07,1,61.4581,23.953,50.5629,11708.334,13165.0685,11655.3359,109.9567,78.37742,49.81761,2771.1181,5604.4218,6581.6784
0.08,1,59.2416,23.9412,48.6763,11775.2256,13177.3427,11782.6861,105.743,76.11833,48.72134,3053.7186,5631.118,6639.0812
0.09,1,57.126,23.8728,46.8938,11842.8591,13189.2433,11899.4315,101.7439,73.92837,47.6732,3313.7476,5665.5994,6690.1614
0.1,1,55.1116,23.758,45.2117,11910.1696,13200.7827,12006.3967,97.9557,71.8135,46.6698,3553.1499,5705.7679,6735.8045
0.11,1,53.1969,23.6055,43.6257,11976.3791,13211.9727,12104.4062,94.3718,69.7773,45.7081,3773.7569,5749.9255,6776.7728
0.12,1,51.3792,23.4225,42.1307,12040.9358,13222.8245,12194.2567,90.9841,67.8209,44.7853,3977.2696,5796.7196,6813.719
0.13,1,49.6549,23.2153,40.7215,12103.4645,13233.3493,12276.6998,87.7833,65.9445,43.8991,4165.2521,5845.0878,6847.1999
0.14,1,48.02,22.9889,39.393,12163.7244,13243.5579,12352.4334,84.7595,64.1468,43.0472,4339.1324,5894.2067,6877.6892
0.15,1,46.47,22.7476,38.14,12221.5764,13253.4611,12422.0976,81.9028,62.4259,42.2275,4500.2069,5943.4461,6905.5898
0.16,1,45.0006,22.495,36.9575,12276.9575,13263.0695,12486.275,79.2031,60.7794,41.4383,4649.6487,5992.331,6931.2437
0.17,1,43.6072,22.234,35.8408,12329.8598,13272.3936,12545.4928,76.6507,59.2044,40.6778,4788.5158,6040.5087,6954.9419
0.18,1,42.2854,21.9671,34.7853,12380.3156,13281.4435,12600.2259,74.2364,57.6981,39.9445,4917.7615,6087.7235,6976.9318
0.19,1,41.0309,21.6963,33.7869,12428.3849,13290.2294,12650.9009,71.9511,56.2572,39.2369,5038.2434,6133.7948,6997.4242
0.2,1,39.8397,21.4233,32.8417,12474.1471,13298.7609,12697.9004,69.7865,54.8786,38.5537,5150.7328,6178.6003,7016.5988
0.21,1,38.7078,21.1495,31.9459,12517.6934,13307.0476,12741.5669,67.7347,53.5594,37.8936,5255.9236,6222.0629,7034.6095
0.22,1,37.6317,20.876,31.0962,12559.1223,13315.0988,12782.2074,65.7882,52.2963,37.2555,5354.4399,6264.1398,7051.588
0.23,1,36.6077,20.6037,30.2894,12598.5359,13322.9232,12820.0966,63.9402,51.0866,36.6383,5446.8438,6304.8145,7067.6475
0.24,1,35.6328,20.3334,29.5225,12636.0369,13330.5296,12855.4805,62.1841,49.9274,36.041,5533.6415,6344.0898,7082.8855
0.25,1,34.7038,20.0658,28.793,12671.7269,13337.9261,12888.5797,60.5141,48.816,35.4627,5615.2898,6381.9833,7097.3862
0.26,1,33.8179,19.8012,28.0982,12705.7049,13345.1208,12919.5919,58.9244,47.7499,34.9024,5692.201,6418.5229,7111.2223
0.27,1,32.9724,19.54,27.436,12738.0667,13352.1214,12948.6948,57.4101,46.7266,34.3593,5764.7479,6453.7441,7124.4574
0.28,1,32.165,19.2827,26.8042,12768.9039,13358.9352,12976.0482,55.9663,45.7439,33.8327,5833.2679,6487.6877,7137.1465
0.29,1,31.3933,19.0293,26.2008,12798.3037,13365.5692,13001.7957,54.5886,44.7996,33.3218,5898.0671,6520.3977,7149.3378
0.3,1,30.6551,18.7802,25.6241,12826.3489,13372.0302,13026.067,53.2728,43.8916,32.826,5959.4229,6551.9199,7161.0736
0.31,1,29.9486,18.5354,25.0723,12853.1177,13378.3248,13048.979,52.0152,43.0181,32.3445,6017.588,6582.3012,7172.3911
0.32,1,29.2718,18.2949,24.544,12878.6839,13384.459,13070.6376,50.8123,42.1773,31.8768,6072.7919,6611.5885,7183.3229
0.33,1,28.623,18.0589,24.0378,12903.1167,13390.4389,13091.1385,49.6607,41.3674,31.4223,6125.2441,6639.8283,7193.8982
0.34,1,28.0006,17.8274,23.5522,12926.4811,13396.2701,13110.5684,48.5575,40.587,30.9804,6175.1358,6667.0662,7204.1426
0.35,1,27.4031,17.6004,23.0862,12948.8383,13401.958,13129.0063,47.4999,39.8344,30.5506,6222.6419,6693.3463,7214.0791
0.36,1,26.8292,17.3778,22.6384,12970.2453,13407.5078,13146.5238,46.4851,39.1082,30.1325,6267.9223,6718.7116,7223.7281
0.37,1,26.2776,17.1597,22.2081,12990.7557,13412.9246,13163.1863,45.5108,38.4073,29.7255,6311.1238,6743.2034,7233.1081
0.38,1,25.747,16.9459,21.794,13010.4197,13418.213,13179.0533,44.5747,37.7302,29.3293,6352.381,6766.8614,7242.2355
0.39,1,25.2363,16.7365,21.3954,13029.284,13423.3775,13194.1792,43.6748,37.076,28.9434,6391.8176,6789.7233,7251.1252
0.4,1,24.7444,16.5313,21.0114,13047.3927,13428.4227,13208.6139,42.809,36.4433,28.5674,6429.5478,6811.8255,7259.7907
0.41,1,24.2705,16.3303,20.6412,13064.7867,13433.3525,13222.4029,41.9755,35.8314,28.2009,6465.6764,6833.2025,7268.2442
0.42,1,23.8135,16.1335,20.2841,13081.5045,13438.171,13235.5881,41.1726,35.2391,27.8436,6500.3004,6853.8872,7276.4969
0.43,1,23.3726,15.9406,19.9394,13097.5821,13442.882,13248.208,40.3987,34.6655,27.4952,6533.5094,6873.9108,7284.5588
0.44,1,22.947,15.7517,19.6065,13113.0533,13447.4891,13260.2979,39.6523,34.1099,27.1552,6565.3862,6893.303,7292.4392
0.45,1,22.5359,15.5667,19.2848,13127.9496,13451.9959,13271.8903,38.932,33.5713,26.8235,6596.0075,6912.0919,7300.1468
0.46,1,22.1386,15.3855,18.9737,13142.3006,13456.4056,13283.0155,38.2366,33.0491,26.4997,6625.4446,6930.3044,7307.6893
0.47,1,21.7546,15.208,18.6727,13156.134,13460.7215,13293.701,37.5648,32.5425,26.1836,6653.7635,6947.9658,7315.074
0.48,1,21.383,15.034,18.3813,13169.476,13464.9466,13303.9726,36.9154,32.0508,25.8748,6681.0255,6965.1001,7322.3076
0.49,1,21.0234,14.8636,18.099,13182.351,13469.0839,13313.8541,36.2873,31.5734,25.5731,6707.288,6981.7302,7329.3963
0.5,1,20.6752,14.6966,17.8256,13194.7819,13473.1362,13323.3674,35.6796,31.1097,25.2783,6732.6039,6997.8777,7336.3459
0.51,1,20.3379,14.533,17.5604,13206.7903,13477.1061,13332.5331,35.0914,30.6591,24.9901,6757.0231,7013.5631,7343.1618
0.52,1,20.0109,14.3727,17.3032,13218.3965,13480.9964,13341.37,34.5216,30.221,24.7084,6780.5917,7028.8059,7349.849
0.53,1,19.6939,14.2155,17.0536,13229.6196,13484.8095,13349.896,33.9695,29.795,24.4329,6803.3531,7043.6246,7356.4123
0.54,1,19.3864,14.0615,16.8112,13240.4775,13488.5477,13358.1274,33.4343,29.3806,24.1634,6825.3478,7058.0366,7362.856
0.55,1,19.0879,13.9105,16.5758,13250.9873,13492.2134,13366.0796,32.9152,28.9772,23.8996,6846.6136,7072.0587,7369.1844
0.56,1,18.7982,13.7624,16.3471,13261.1647,13495.8087,13373.7668,32.4115,28.5846,23.6416,6867.186,7085.7065,7375.4013
0.57,1,18.5167,13.6172,16.1247,13271.025,13499.3359,13381.2026,31.9226,28.2021,23.3889,6887.0984,7098.9952,7381.5103
0.58,1,18.2433,13.4748,15.9084,13280.5822,13502.7969,13388.3992,31.4479,27.8296,23.1416,6906.3819,7111.9388,7387.5151
0.59,1,17.9775,13.3352,15.698,13289.8498,13506.1936,13395.3686,30.9866,27.4664,22.8993,6925.066,7124.551,7393.419
0.6,1,17.719,13.1982,15.4932,13298.8405,13509.528,13402.1216,30.5384,27.1125,22.662,6943.1782,7136.8447,7399.2249
0.61,1,17.4675,13.0638,15.2937,13307.5662,13512.8019,13408.6684,30.1025,26.7673,22.4296,6960.7444,7148.832,7404.936
0.62,1,17.2229,12.9319,15.0995,13316.0381,13516.017,13415.0188,29.6787,26.4305,22.2018,6977.7893,7160.5246,7410.555
0.63,1,16.9847,12.8025,14.9102,13324.2672,13519.175,13421.1819,29.2662,26.1019,21.9785,6994.3358,7171.9336,7416.0846
0.64,1,16.7528,12.6755,14.7257,13332.2634,13522.2775,13427.166,28.8648,25.7812,21.7596,7010.4056,7183.0695,7421.5274
0.65,1,16.5268,12.5508,14.5458,13340.0364,13525.3261,13432.9793,28.474,25.4681,21.5449,7026.0194,7193.9424,7426.8858
0.66,1,16.3067,12.4284,14.3703,13347.5953,13528.3222,13438.6293,28.0933,25.1623,21.3344,7041.1964,7204.5619,7432.1623
0.67,1,16.0921,12.3083,14.1991,13354.9488,13531.2673,13444.1231,27.7224,24.8635,21.128,7055.9551,7214.9372,7437.3589
0.68,1,15.8829,12.1903,14.032,13362.105,13534.1629,13449.4674,27.3609,24.5715,20.9254,7070.3128,7225.0768,7442.4779
0.69,1,15.6788,12.0744,13.8688,13369.0717,13537.0101,13454.6686,27.0085,24.2862,20.7266,7084.2858,7234.9892,7447.5213
0.7,1,15.4797,11.9606,13.7095,13375.8564,13539.8104,13459.7327,26.6648,24.0072,20.5315,7097.8897,7244.6822,7452.4911
0.71,1,15.2854,11.8487,13.5539,13382.4661,13542.565,13464.6653,26.3296,23.7344,20.3401,7111.1394,7254.1635,7457.3891
0.72,1,15.0957,11.7389,13.4018,13388.9074,13545.2751,13469.4717,26.0024,23.4675,20.1521,7124.0486,7263.4403,7462.2173
0.73,1,14.9105,11.6309,13.2531,13395.1867,13547.9419,13474.1571,25.6831,23.2064,19.9675,7136.6309,7272.5196,7466.9773
0.74,1,14.7296,11.5248,13.1078,13401.3101,13550.5664,13478.7262,25.3712,22.9509,19.7862,7148.8986,7281.4078,7471.6708
0.75,1,14.5528,11.4206,12.9656,13407.2833,13553.1498,13483.1836,25.0667,22.7007,19.6081,7160.8638,7290.1115,7476.2994
0.76,1,14.3801,11.3181,12.8266,13413.1119,13555.6931,13487.5336,24.7692,22.4558,19.4332,7172.538,7298.6365,7480.8647
0.77,1,14.2113,11.2173,12.6905,13418.801,13558.1974,13491.7803,24.4785,22.216,19.2613,7183.9318,7306.9888,7485.3683
0.78,1,14.0462,11.1182,12.5574,13424.3558,13560.6635,13495.9277,24.1944,21.9811,19.0924,7195.0557,7315.1739,7489.8115
0.79,1,13.8847,11.0208,12.427,13429.7809,13563.0926,13499.9793,23.9166,21.7509,18.9264,7205.9194,7323.197,7494.1958
0.8,1,13.7268,10.925,12.2994,13435.0809,13565.4854,13503.9388,23.645,21.5253,18.7632,7216.5324,7331.0634,7498.5225
0.81,1,13.5723,10.8308,12.1744,13440.2602,13567.8429,13507.8095,23.3792,21.3043,18.6028,7226.9034,7338.778,7502.793
0.82,1,13.4211,10.7381,12.0519,13445.3228,13570.1659,13511.5946,23.1193,21.0876,18.4451,7237.0411,7346.3453,7507.0084
0.83,1,13.273,10.6469,11.9319,13450.2729,13572.4553,13515.2971,22.8649,20.8751,18.2899,7246.9536,7353.7699,7511.1701
0.84,1,13.1281,10.5571,11.8143,13455.1142,13574.7118,13518.9199,22.6158,20.6667,18.1374,7256.6486,7361.0561,7515.2793
0.85,1,12.9861,10.4688,11.699,13459.8503,13576.9363,13522.4658,22.372,20.4623,17.9873,7266.1335,7368.2082,7519.337
0.86,1,12.8471,10.3819,11.586,13464.4847,13579.1295,13525.9374,22.1332,20.2617,17.8397,7275.4154,7375.23,7523.3444
0.87,1,12.7109,10.2964,11.4752,13469.0207,13581.2922,13529.3373,21.8994,20.0649,17.6944,7284.5011,7382.1255,7527.3025
0.88,1,12.5774,10.2122,11.3665,13473.4616,13583.425,13532.6678,21.6703,19.8718,17.5515,7293.3971,7388.8982,7531.2125
0.89,1,12.4465,10.1293,11.2598,13477.8104,13585.5286,13535.9313,21.4458,19.6822,17.4108,7302.1095,7395.5518,7535.0754
0.9,1,12.3183,10.0477,11.1551,13482.07,13587.6037,13539.1299,21.2257,19.4961,17.2723,7310.6444,7402.0896,7538.8921
0.91,1,12.1925,9.96736,11.0524,13486.2433,13589.6509,13542.2657,21.01,19.3133,17.136,7319.0073,7408.515,7542.6635
0.92,1,12.0692,9.88823,10.9516,13490.3329,13591.671,13545.3408,20.7985,19.1338,17.0018,7327.2037,7414.8311,7546.3907
0.93,1,11.9482,9.81029,10.8526,13494.3414,13593.6644,13548.3571,20.5911,18.9575,16.8697,7335.239,7421.041,7550.0746
0.94,1,11.8295,9.73353,10.7555,13498.2714,13595.6318,13551.3165,20.3877,18.7843,16.7395,7343.118,7427.1475,7553.7159
0.95,1,11.713,9.65791,10.66,13502.1252,13597.5737,13554.2206,20.1881,18.6141,16.6114,7350.8456,7433.1535,7557.3156
0.96,1,11.5987,9.58342,10.5663,13505.9051,13599.4907,13557.0713,19.9923,18.4469,16.4852,7358.4264,7439.0618,7560.8745
0.97,1,11.4865,9.51002,10.4741,13509.6133,13601.3834,13559.8701,19.8002,18.2825,16.3608,7365.8649,7444.8749,7564.3933
0.98,1,11.3764,9.43769,10.3836,13513.2519,13603.2523,13562.6186,19.6115,18.1209,16.2384,7373.1653,7450.5955,7567.873
0.99,1,11.2683,9.36642,10.2947,13516.8231,13605.0978,13565.3183,19.4264,17.9621,16.1177,7380.3317,7456.2258,7571.3142
