n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,4,14.8895,7649.4345,25.7859,2651.0277
0.02,4,14.5975,7656.1477,25.2801,2671.3143
0.03,4,14.3167,7662.587,24.7937,2691.8878
0.04,4,14.0464,7668.7685,24.3255,2712.6494
0.05,4,13.7861,7674.7074,23.8746,2733.5152
0.06,4,13.5352,7680.4174,23.44,2754.4137
0.07,4,13.2932,7685.9114,23.0208,2775.2843
0.08,4,13.0597,7691.2013,22.6163,2796.0758
0.09,4,12.8342,7696.2981,22.2258,2816.7452
0.1,4,12.6163,7701.2122,21.8484,2837.2562
0.11,4,12.4057,7705.9531,21.4835,2857.5788
0.12,4,12.2019,7710.5297,21.1306,2877.688
0.13,4,12.0048,7714.9503,20.789,2897.5633
0.14,4,11.8138,7719.2228,20.4583,2917.1882
0.15,4,11.6288,7723.3543,20.1378,2936.5492
0.16,4,11.4495,7727.3517,19.8272,2955.636
0.17,4,11.2756,7731.2214,19.526,2974.4404
0.18,4,11.1069,7734.9693,19.2338,2992.9565
0.19,4,10.9432,7738.601,18.9502,3011.1801
0.2,4,10.7842,7742.1219,18.6748,3029.1086
0.21,4,10.6297,7745.5368,18.4073,3046.7407
0.22,4,10.4796,7748.8506,18.1472,3064.0761
0.23,4,10.3337,7752.0675,17.8944,3081.1157
0.24,4,10.1917,7755.1917,17.6486,3097.8609
0.25,4,10.0536,7758.2272,17.4093,3114.314
0.26,4,9.9192,7761.1776,17.1765,3130.4777
0.27,4,9.7883,7764.0465,16.9498,3146.3554
0.28,4,9.6608,7766.8372,16.7289,3161.9507
0.29,4,9.5366,7769.5528,16.5138,3177.2675
0.3,4,9.4155,7772.1962,16.3041,3192.31
0.31,4,9.2975,7774.7704,16.0996,3207.0828
0.32,4,9.1824,7777.278,15.9002,3221.5904
0.33,4,9.07,7779.7214,15.7056,3235.8375
0.34,4,8.9604,7782.1032,15.5158,3249.829
0.35,4,8.8534,7784.4257,15.3304,3263.5697
0.36,4,8.749,7786.6909,15.1495,3277.0645
0.37,4,8.6469,7788.901,14.9727,3290.3183
0.38,4,8.5472,7791.058,14.8,3303.3361
0.39,4,8.4498,7793.1637,14.6313,3316.1227
0.4,4,8.3546,7795.22,14.4663,3328.6831
0.41,4,8.2614,7797.2285,14.305,3341.0219
0.42,4,8.1704,7799.1909,14.1473,3353.1439
0.43,4,8.0813,7801.1088,13.993,3365.0539
0.44,4,7.9941,7802.9836,13.842,3376.7565
0.45,4,7.9088,7804.8168,13.6942,3388.2562
0.46,4,7.8253,7806.6097,13.5496,3399.5575
0.47,4,7.7436,7808.3637,13.4079,3410.6648
0.48,4,7.6635,7810.08,13.2692,3421.5823
0.49,4,7.585,7811.7598,13.1334,3432.3143
0.5,4,7.5082,7813.4042,13.0002,3442.865
0.51,4,7.4329,7815.0144,12.8698,3453.2383
0.52,4,7.359,7816.5914,12.7419,3463.4382
0.53,4,7.2867,7818.1362,12.6166,3473.4686
0.54,4,7.2157,7819.6497,12.4936,3483.3333
0.55,4,7.1461,7821.133,12.3731,3493.0359
0.56,4,7.0779,7822.5869,12.2548,3502.5801
0.57,4,7.0109,7824.0123,12.1388,3511.9693
0.58,4,6.9452,7825.41,12.025,3521.207
0.59,4,6.8807,7826.7808,11.9133,3530.2965
0.6,4,6.8173,7828.1255,11.8036,3539.2411
0.61,4,6.7552,7829.4447,11.6959,3548.044
0.62,4,6.6941,7830.7393,11.5902,3556.7082
0.63,4,6.6342,7832.0099,11.4863,3565.2368
0.64,4,6.5753,7833.2572,11.3843,3573.6328
0.65,4,6.5175,7834.4817,11.2841,3581.899
0.66,4,6.4606,7835.6842,11.1857,3590.0382
0.67,4,6.4048,7836.8651,11.0889,3598.0531
0.68,4,6.3499,7838.0251,10.9938,3605.9465
0.69,4,6.2959,7839.1648,10.9003,3613.7208
0.7,4,6.2428,7840.2846,10.8084,3621.3787
0.71,4,6.1906,7841.385,10.7181,3628.9225
0.72,4,6.1393,7842.4666,10.6292,3636.3547
0.73,4,6.0889,7843.5299,10.5418,3643.6776
0.74,4,6.0392,7844.5752,10.4558,3650.8936
0.75,4,5.9904,7845.6031,10.3712,3658.0047
0.76,4,5.9423,7846.614,10.2879,3665.0132
0.77,4,5.895,7847.6083,10.206,3671.9212
0.78,4,5.8485,7848.5864,10.1254,3678.7307
0.79,4,5.8027,7849.5486,10.046,3685.4438
0.8,4,5.7576,7850.4955,9.9679,3692.0623
0.81,4,5.7131,7851.4273,9.8909,3698.5883
0.82,4,5.6694,7852.3443,9.8152,3705.0235
0.83,4,5.6263,7853.247,9.7406,3711.3698
0.84,4,5.5839,7854.1357,9.6671,3717.6289
0.85,4,5.5421,7855.0107,9.5947,3723.8025
0.86,4,5.501,7855.8723,9.5234,3729.8924
0.87,4,5.4604,7856.7208,9.4532,3735.9002
0.88,4,5.4205,7857.5566,9.384,3741.8274
0.89,4,5.3811,7858.3798,9.3158,3747.6756
0.9,4,5.3423,7859.1908,9.2485,3753.4464
0.91,4,5.304,7859.9898,9.1822,3759.1411
0.92,4,5.2663,7860.7772,9.1169,3764.7614
0.93,4,5.2291,7861.5531,9.0525,3770.3085
0.94,4,5.1924,7862.3178,8.989,3775.7839
0.95,4,5.1563,7863.0716,8.9264,3781.1889
0.96,4,5.1206,7863.8147,8.8646,3786.5248
0.97,4,5.0855,7864.5472,8.8037,3791.7929
0.98,4,5.0508,7865.2695,8.7437,3796.9945
0.99,4,5.0166,7865.9817,8.6844,3802.1307
