n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,4,28.6409,28.6441,57.285,13799.4133,13024.8258,11517.9424,85.9127,0.00551568,85.9155,5504.8405,8681.4588,4576.4318
0.02,4,28.3682,28.3714,56.7396,13799.414,13033.0836,11539.9632,85.0946,0.00554192,85.0974,5524.2664,8673.4654,4592.8976
0.03,4,28.1006,28.1039,56.2045,13799.4147,13041.1701,11561.5686,84.2918,0.00556786,84.2946,5543.4388,8665.6412,4609.5227
0.04,4,27.838,27.8413,55.6793,13799.4153,13049.0907,11582.7699,83.5039,0.0055935,83.5067,5562.3605,8657.981,4626.2844
0.05,4,27.5802,27.5835,55.1637,13799.416,13056.8501,11603.5784,82.7304,0.00561883,82.7333,5581.0341,8650.4799,4643.1619
0.06,4,27.3271,27.3304,54.6575,13799.4167,13064.4534,11624.0047,81.9711,0.00564386,81.974,5599.4626,8643.1332,4660.1357
0.07,4,27.0786,27.0819,54.1605,13799.4173,13071.905,11644.059,81.2255,0.00566859,81.2285,5617.6491,8635.9363,4677.188
0.08,4,26.8345,26.8379,53.6724,13799.4179,13079.2094,11663.7514,80.4932,0.00569302,80.4962,5635.5965,8628.8847,4694.3019
0.09,4,26.5948,26.5982,53.193,13799.4185,13086.3709,11683.0913,79.774,0.00571716,79.777,5653.3081,8621.9744,4711.4621
0.1,4,26.3593,26.3627,52.7219,13799.4192,13093.3935,11702.0881,79.0674,0.005741,79.0705,5670.7869,8615.2011,4728.6543
0.11,4,26.1279,26.1313,52.2592,13799.4198,13100.2812,11720.7507,78.3731,0.00576455,78.3762,5688.0361,8608.5609,4745.8652
0.12,4,25.9005,25.9039,51.8044,13799.4204,13107.0378,11739.0877,77.6908,0.00578781,77.694,5705.059,8602.0502,4763.0826
0.13,4,25.677,25.6804,51.3574,13799.4209,13113.6669,11757.1075,77.0203,0.00581078,77.0235,5721.8587,8595.6652,4780.2951
0.14,4,25.4573,25.4607,50.918,13799.4215,13120.1722,11774.8181,76.3611,0.00583347,76.3643,5738.4386,8589.4025,4797.4923
0.15,4,25.2413,25.2447,50.486,13799.4221,13126.5569,11792.2274,75.7131,0.00585588,75.7163,5754.8019,8583.2586,4814.6647
0.16,4,25.0289,25.0324,50.0613,13799.4226,13132.8244,11809.3429,75.0759,0.00587801,75.0792,5770.9517,8577.2303,4831.8032
0.17,4,24.8201,24.8235,49.6436,13799.4232,13138.9779,11826.1719,74.4493,0.00589987,74.4526,5786.8913,8571.3145,4848.8996
0.18,4,24.6147,24.6181,49.2328,13799.4237,13145.0203,11842.7214,73.833,0.00592146,73.8363,5802.624,8565.5082,4865.9466
0.19,4,24.4126,24.4161,48.8287,13799.4243,13150.9546,11858.9983,73.2267,0.00594278,73.2301,5818.1529,8559.8083,4882.9371
0.2,4,24.2138,24.2173,48.4311,13799.4248,13156.7837,11875.0092,72.6303,0.00596384,72.6338,5833.4812,8554.2122,4899.8647
0.21,4,24.0182,24.0217,48.0399,13799.4253,13162.5103,11890.7605,72.0435,0.00598464,72.047,5848.612,8548.717,4916.7237
0.22,4,23.8258,23.8292,47.655,13799.4258,13168.137,11906.2584,71.466,0.00600518,71.4695,5863.5484,8543.3201,4933.5087
0.23,4,23.6363,23.6398,47.2762,13799.4264,13173.6664,11921.5088,70.8977,0.00602547,70.9012,5878.2936,8538.019,4950.2148
0.24,4,23.4499,23.4534,46.9033,13799.4269,13179.1011,11936.5177,70.3383,0.00604551,70.3418,5892.8505,8532.8111,4966.8376
0.25,4,23.2663,23.2698,46.5362,13799.4274,13184.4433,11951.2907,69.7876,0.0060653,69.7912,5907.2222,8527.6943,4983.373
0.26,4,23.0856,23.0891,46.1748,13799.4278,13189.6954,11965.8332,69.2454,0.00608485,69.249,5921.4116,8522.666,4999.8174
0.27,4,22.9077,22.9112,45.8189,13799.4283,13194.8596,11980.1505,68.7115,0.00610416,68.7152,5935.4218,8517.7241,5016.1673
0.28,4,22.7325,22.736,45.4684,13799.4288,13199.9381,11994.2479,68.1858,0.00612324,68.1895,5949.2555,8512.8665,5032.4199
0.29,4,22.5599,22.5634,45.1233,13799.4293,13204.933,12008.1302,67.668,0.00614208,67.6717,5962.9156,8508.0911,5048.5722
0.3,4,22.3899,22.3934,44.7833,13799.4297,13209.8463,12021.8023,67.158,0.00616069,67.1617,5976.4051,8503.3958,5064.622
0.31,4,22.2224,22.226,44.4484,13799.4302,13214.6799,12035.2689,66.6556,0.00617908,66.6593,5989.7265,8498.7787,5080.5671
0.32,4,22.0574,22.061,44.1184,13799.4306,13219.4359,12048.5346,66.1606,0.00619724,66.1643,6002.8828,8494.2379,5096.4054
0.33,4,21.8949,21.8985,43.7933,13799.4311,13224.116,12061.6038,65.6729,0.00621519,65.6766,6015.8765,8489.7716,5112.1353
0.34,4,21.7347,21.7383,43.473,13799.4315,13228.7219,12074.4808,65.1922,0.00623292,65.196,6028.7103,8485.378,5127.7553
0.35,4,21.5768,21.5804,43.1572,13799.432,13233.2555,12087.1698,64.7186,0.00625044,64.7224,6041.3868,8481.0554,5143.264
0.36,4,21.4212,21.4248,42.846,13799.4324,13237.7184,12099.6748,64.2517,0.00626774,64.2556,6053.9086,8476.802,5158.6604
0.37,4,21.2678,21.2714,42.5392,13799.4328,13242.1123,12111.9998,63.7915,0.00628485,63.7954,6066.2783,8472.6164,5173.9434
0.38,4,21.1166,21.1202,42.2368,13799.4332,13246.4386,12124.1486,63.3378,0.00630174,63.3417,6078.4982,8468.4969,5189.1123
0.39,4,20.9675,20.9711,41.9386,13799.4336,13250.699,12136.1249,62.8905,0.00631844,62.8944,6090.5708,8464.442,5204.1664
0.4,4,20.8205,20.8241,41.6446,13799.434,13254.8949,12147.9323,62.4494,0.00633494,62.4534,6102.4985,8460.4502,5219.1051
0.41,4,20.6756,20.6792,41.3547,13799.4345,13259.0277,12159.5745,62.0145,0.00635125,62.0185,6114.2837,8456.5202,5233.928
0.42,4,20.5326,20.5362,41.0688,13799.4348,13263.0989,12171.0547,61.5856,0.00636737,61.5896,6125.9287,8452.6504,5248.6348
0.43,4,20.3916,20.3952,40.7868,13799.4352,13267.1099,12182.3764,61.1625,0.0063833,61.1665,6137.4358,8448.8396,5263.2255
0.44,4,20.2525,20.2561,40.5086,13799.4356,13271.0618,12193.5427,60.7452,0.00639904,60.7492,6148.8071,8445.0865,5277.6998
0.45,4,20.1153,20.1189,40.2342,13799.436,13274.9561,12204.5568,60.3335,0.0064146,60.3375,6160.0449,8441.3898,5292.0577
0.46,4,19.9799,19.9835,39.9634,13799.4364,13278.7939,12215.4219,59.9273,0.00642999,59.9314,6171.1513,8437.7482,5306.2994
0.47,4,19.8463,19.85,39.6963,13799.4368,13282.5765,12226.1408,59.5265,0.00644519,59.5306,6182.1285,8434.1605,5320.425
0.48,4,19.7145,19.7182,39.4327,13799.4371,13286.305,12236.7165,59.1311,0.00646022,59.1352,6192.9784,8430.6257,5334.4348
0.49,4,19.5844,19.5881,39.1725,13799.4375,13289.9806,12247.1518,58.7409,0.00647508,58.745,6203.7032,8427.1425,5348.3291
0.5,4,19.4561,19.4597,38.9158,13799.4379,13293.6044,12257.4495,58.3557,0.00648978,58.3599,6214.3049,8423.7098,5362.1082
0.51,4,19.3294,19.3331,38.6624,13799.4382,13297.1774,12267.6123,57.9756,0.0065043,57.9797,6224.7853,8420.3267,5375.7725
0.52,4,19.2043,19.208,38.4123,13799.4386,13300.7008,12277.6428,57.6003,0.00651866,57.6045,6235.1465,8416.992,5389.3226
0.53,4,19.0808,19.0845,38.1653,13799.4389,13304.1755,12287.5435,57.2299,0.00653286,57.2341,6245.3903,8413.7047,5402.7589
0.54,4,18.9589,18.9626,37.9216,13799.4393,13307.6026,12297.3169,56.8642,0.00654691,56.8684,6255.5186,8410.4638,5416.082
0.55,4,18.8386,18.8423,37.6809,13799.4396,13310.9829,12306.9655,56.5031,0.00656079,56.5073,6265.5331,8407.2684,5429.2926
0.56,4,18.7197,18.7235,37.4432,13799.4399,13314.3175,12316.4916,56.1465,0.00657453,56.1508,6275.4358,8404.1176,5442.3912
0.57,4,18.6024,18.6061,37.2085,13799.4403,13317.6072,12325.8975,55.7944,0.00658811,55.7987,6285.2283,8401.0104,5455.3786
0.58,4,18.4865,18.4902,36.9767,13799.4406,13320.853,12335.1855,55.4467,0.00660154,55.451,6294.9123,8397.946,5468.2554
0.59,4,18.372,18.3758,36.7478,13799.4409,13324.0557,12344.3578,55.1033,0.00661483,55.1076,6304.4896,8394.9235,5481.0224
0.6,4,18.259,18.2627,36.5217,13799.4413,13327.2161,12353.4164,54.7641,0.00662797,54.7684,6313.9618,8391.942,5493.6804
0.61,4,18.1473,18.151,36.2983,13799.4416,13330.3352,12362.3636,54.429,0.00664096,54.4334,6323.3305,8389.0008,5506.2301
0.62,4,18.037,18.0407,36.0777,13799.4419,13333.4136,12371.2012,54.098,0.00665382,54.1024,6332.5973,8386.0991,5518.6723
0.63,4,17.928,17.9317,35.8597,13799.4422,13336.4522,12379.9314,53.771,0.00666654,53.7754,6341.7638,8383.236,5531.0079
0.64,4,17.8203,17.8241,35.6443,13799.4425,13339.4517,12388.556,53.4479,0.00667913,53.4523,6350.8316,8380.4108,5543.2376
0.65,4,17.7139,17.7177,35.4315,13799.4428,13342.4129,12397.0769,53.1287,0.00669157,53.1331,6359.802,8377.6229,5555.3624
0.66,4,17.6087,17.6125,35.2212,13799.4431,13345.3365,12405.4961,52.8132,0.00670389,52.8176,6368.6767,8374.8714,5567.3831
0.67,4,17.5048,17.5086,35.0134,13799.4434,13348.2232,12413.8152,52.5014,0.00671608,52.5059,6377.4571,8372.1556,5579.3006
0.68,4,17.4021,17.4059,34.808,13799.4437,13351.0737,12422.0361,52.1933,0.00672814,52.1978,6386.1445,8369.475,5591.1158
0.69,4,17.3006,17.3044,34.605,13799.444,13353.8887,12430.1605,51.8888,0.00674007,51.8933,6394.7405,8366.8288,5602.8295
0.7,4,17.2003,17.2041,34.4044,13799.4443,13356.6688,12438.19,51.5878,0.00675188,51.5923,6403.2463,8364.2164,5614.4427
0.71,4,17.1011,17.1049,34.2061,13799.4446,13359.4147,12446.1263,51.2903,0.00676356,51.2948,6411.6633,8361.6371,5625.9562
0.72,4,17.0031,17.0069,34.01,13799.4449,13362.127,12453.9711,50.9962,0.00677513,51.0007,6419.9929,8359.0904,5637.371
0.73,4,16.9062,16.91,33.8162,13799.4452,13364.8062,12461.7258,50.7054,0.00678657,50.7099,6428.2363,8356.5756,5648.688
0.74,4,16.8104,16.8142,33.6245,13799.4454,13367.4531,12469.392,50.4179,0.0067979,50.4224,6436.3948,8354.0921,5659.9081
0.75,4,16.7156,16.7194,33.435,13799.4457,13370.0681,12476.9712,50.1336,0.00680911,50.1382,6444.4697,8351.6394,5671.0322
0.76,4,16.6219,16.6258,33.2477,13799.446,13372.6519,12484.465,49.8525,0.00682021,49.8571,6452.4621,8349.2169,5682.0613
0.77,4,16.5293,16.5331,33.0624,13799.4462,13375.2049,12491.8746,49.5746,0.0068312,49.5792,6460.3734,8346.8241,5692.9962
0.78,4,16.4377,16.4415,32.8792,13799.4465,13377.7278,12499.2016,49.2997,0.00684207,49.3043,6468.2046,8344.4604,5703.8378
0.79,4,16.3471,16.3509,32.6979,13799.4468,13380.2211,12506.4472,49.0278,0.00685284,49.0325,6475.957,8342.1254,5714.5872
0.8,4,16.2574,16.2613,32.5187,13799.447,13382.6852,12513.6128,48.7589,0.0068635,48.7636,6483.6316,8339.8184,5725.2451
0.81,4,16.1688,16.1726,32.3414,13799.4473,13385.1208,12520.6998,48.493,0.00687405,48.4976,6491.2297,8337.539,5735.8126
0.82,4,16.0811,16.085,32.166,13799.4476,13387.5282,12527.7094,48.2299,0.0068845,48.2346,6498.7523,8335.2868,5746.2904
0.83,4,15.9944,15.9982,31.9926,13799.4478,13389.9079,12534.6429,47.9696,0.00689484,47.9743,6506.2004,8333.0612,5756.6796
0.84,4,15.9086,15.9124,31.8209,13799.4481,13392.2605,12541.5015,47.7122,0.00690509,47.7169,6513.5752,8330.8618,5766.9811
0.85,4,15.8237,15.8275,31.6512,13799.4483,13394.5864,12548.2864,47.4575,0.00691523,47.4622,6520.8777,8328.6882,5777.1956
0.86,4,15.7397,15.7435,31.4832,13799.4486,13396.886,12554.9987,47.2054,0.00692527,47.2102,6528.1089,8326.5398,5787.3241
0.87,4,15.6565,15.6604,31.3169,13799.4488,13399.1598,12561.6398,46.9561,0.00693522,46.9608,6535.2698,8324.4163,5797.3675
0.88,4,15.5743,15.5782,31.1525,13799.449,13401.4082,12568.2105,46.7093,0.00694507,46.7141,6542.3615,8322.3172,5807.3267
0.89,4,15.4929,15.4968,30.9897,13799.4493,13403.6317,12574.7121,46.4651,0.00695483,46.4699,6549.3847,8320.2422,5817.2026
0.9,4,15.4124,15.4163,30.8286,13799.4495,13405.8305,12581.1457,46.2235,0.00696449,46.2283,6556.3407,8318.1907,5826.9959
0.91,4,15.3327,15.3366,30.6692,13799.4497,13408.0053,12587.5123,45.9844,0.00697406,45.9892,6563.2301,8316.1625,5836.7076
