n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,78.1254,35.0451,75.0267,11284.8464,12184.1714,10128.4954,149.111,95.04091,87.22306,168.5478,4592.462,4643.2068
0.02,1,77.2101,35.4277,74.0156,11288.0916,12192.436,10199.7606,147.042,94.62005,86.61765,333.14284,4571.5669,4668.4152
0.03,1,76.2936,35.7813,73.0154,11293.7174,12200.6364,10270.0115,144.985,94.17512,86.02047,493.77998,4554.4338,4692.9659
0.04,1,75.3776,36.107,72.0268,11301.5348,12208.7729,10339.1479,142.9425,93.70831,85.43134,650.46574,4540.8589,4716.8823
0.05,1,74.4636,36.406,71.0507,11311.3603,12216.8457,10407.0855,140.917,93.22169,84.85011,803.21905,4530.6338,4740.1882
0.06,1,73.5528,36.6795,70.0878,11323.0174,12224.8549,10473.755,138.9107,92.71724,84.27662,952.06988,4523.5484,4762.9076
0.07,1,72.6465,36.9287,69.1388,11336.3369,12232.8007,10539.1,136.9254,92.19683,83.71072,1097.058,4519.3927,4785.0639
0.08,1,71.7459,37.1547,68.2042,11351.1577,12240.6834,10603.0764,134.9628,91.66223,83.15227,1238.2317,4517.9596,4806.6804
0.09,1,70.8518,37.3587,67.2844,11367.327,12248.5032,10665.6511,133.0245,91.11509,82.60112,1375.6466,4519.0458,4827.7799
0.1,1,69.9652,37.5417,66.3797,11384.7009,12256.2605,10726.8006,131.1117,90.55698,82.05713,1509.3647,4522.4539,4848.3847
0.11,1,69.087,37.7048,65.4905,11403.1438,12263.9555,10786.5099,129.2255,89.98935,81.52016,1639.4534,4527.9931,4868.5163
0.12,1,68.2177,37.8491,64.617,11422.5291,12271.5887,10844.772,127.3667,89.41358,80.99008,1765.9845,4535.4806,4888.1957
0.13,1,67.358,37.9755,63.7592,11442.7387,12279.1602,10901.5864,125.5363,88.83092,80.46676,1889.0334,4544.7421,4907.443
0.14,1,66.5084,38.085,62.9174,11463.6627,12286.6705,10956.9584,123.7348,88.24257,79.95007,2008.6782,4555.6121,4926.2776
0.15,1,65.6695,38.1786,62.0915,11485.1996,12294.12,11010.8985,121.9627,87.6496,79.4399,2124.9995,4567.9343,4944.7181
0.16,1,64.8415,38.257,61.2815,11507.2555,12301.5091,11063.4215,120.2203,87.05304,78.93611,2238.0792,4581.562,4962.7821
0.17,1,64.0248,38.3213,60.4875,11529.7439,12308.8381,11114.5458,118.5079,86.45381,78.4386,2348.0005,4596.3578,4980.4868
0.18,1,63.2197,38.3721,59.7092,11552.5856,12316.1074,11164.293,116.8257,85.85277,77.94724,2454.847,4612.1934,4997.8483
0.19,1,62.4264,38.4103,58.9466,11575.7079,12323.3176,11212.6873,115.1737,85.25071,77.46192,2558.7026,4628.9497,5014.8818
0.2,1,61.6451,38.4367,58.1995,11599.0447,12330.4689,11259.755,113.552,84.64836,76.98254,2659.6507,4646.5164,5031.6021
0.21,1,60.8758,38.4518,57.4678,11622.5355,12337.5619,11305.524,111.9604,84.04637,76.50899,2757.7746,4664.7915,5048.0229
0.22,1,60.1187,38.4564,56.7512,11646.1258,12344.5969,11350.0239,110.3987,83.44535,76.04116,2853.1565,4683.6811,5064.1574
0.23,1,59.3739,38.4511,56.0496,11669.7658,12351.5745,11393.2848,108.8669,82.84585,75.57895,2945.8775,4703.099,5080.018
0.24,1,58.6413,38.4366,55.3627,11693.4109,12358.4951,11435.3379,107.3645,82.24837,75.12226,3036.0178,4722.9661,5095.6164
0.25,1,57.9208,38.4133,54.6903,11717.0208,12365.3592,11476.2147,105.8914,81.65335,74.671,3123.656,4743.2101,5110.9637
0.26,1,57.2126,38.3819,54.0321,11740.5595,12372.1671,11515.9472,104.4472,81.06121,74.22507,3208.869,4763.7652,5126.0703
0.27,1,56.5165,38.3429,53.3878,11763.9946,12378.9195,11554.5672,103.0315,80.47232,73.78437,3291.7323,4784.5714,5140.9462
0.28,1,55.8325,38.2967,52.7573,11787.2973,12385.6167,11592.1067,101.6439,79.887,73.34883,3372.3197,4805.5742,5155.6006
0.29,1,55.1604,38.2437,52.1401,11810.4421,12392.2592,11628.5972,100.284,79.30555,72.91834,3450.7029,4826.7242,5170.0423
0.3,1,54.5002,38.1846,51.5361,11833.4064,12398.8475,11664.0701,98.9513,78.7282,72.4928,3526.9521,4847.977,5184.2796
0.31,1,53.8516,38.1195,50.945,11856.1705,12405.3821,11698.5563,97.6455,78.1553,72.0722,3601.1353,4869.2923,5198.3203
0.32,1,53.2147,38.049,50.3664,11878.7169,12411.8634,11732.0863,96.366,77.5869,71.6564,3673.3187,4890.6339,5212.1717
0.33,1,52.5891,37.9734,49.8001,11901.0304,12418.2919,11764.6898,95.1123,77.0233,71.2452,3743.5668,4911.9692,5225.8408
0.34,1,51.9748,37.8931,49.2458,11923.0982,12424.6682,11796.396,93.8839,76.4646,70.8388,3811.9419,4933.2692,5239.3341
0.35,1,51.3717,37.8083,48.7033,11944.909,12430.9926,11827.2337,92.6805,75.9109,70.4369,3878.5044,4954.5079,5252.6578
0.36,1,50.7794,37.7194,48.1721,11966.4534,12437.2657,11857.2305,91.5014,75.3624,70.0395,3943.3131,4975.6621,5265.8175
0.37,1,50.1979,37.6266,47.6522,11987.7234,12443.4879,11886.4137,90.3461,74.8192,69.6465,4006.4245,4996.7113,5278.8189
0.38,1,49.627,37.5304,47.1431,12008.7126,12449.6597,11914.8097,89.2142,74.2813,69.2578,4067.8936,5017.6372,5291.6671
0.39,1,49.0665,37.4308,46.6447,12029.4158,12455.7816,11942.444,88.1052,73.7489,68.8735,4127.7735,5038.424,5304.3668
0.4,1,48.5161,37.3281,46.1566,12049.8287,12461.8541,11969.3417,87.0185,73.2219,68.4933,4186.1154,5059.0574,5316.9228
0.41,1,47.9758,37.2227,45.6787,12069.9484,12467.8776,11995.5269,85.9538,72.7004,68.1172,4242.9691,5079.5253,5329.3393
0.42,1,47.4454,37.1146,45.2105,12089.7727,12473.8526,12021.023,84.9104,72.1845,67.7453,4298.3824,5099.817,5341.6204
0.43,1,46.9246,37.0041,44.752,12109.3003,12479.7795,12045.8526,83.8879,71.6741,67.3773,4352.4015,5119.9232,5353.77
0.44,1,46.4132,36.8914,44.3028,12128.5307,12485.6589,12070.0376,82.8859,71.1693,67.0133,4405.0711,5139.8361,5365.7917
0.45,1,45.9111,36.7767,43.8628,12147.4637,12491.4911,12093.5994,81.9038,70.6701,66.6531,4456.4343,5159.5491,5377.6891
0.46,1,45.4181,36.66,43.4316,12166.1003,12497.2767,12116.5582,80.9412,70.1764,66.2968,4506.5328,5179.0565,5389.4653
0.47,1,44.934,36.5417,43.009,12184.4415,12503.0161,12138.934,79.9977,69.6883,65.9442,4555.4066,5198.3538,5401.1235
0.48,1,44.4586,36.4219,42.5949,12202.489,12508.7097,12160.7459,79.0727,69.2058,65.5954,4603.0944,5217.4372,5412.6666
0.49,1,43.9918,36.3006,42.1889,12220.245,12514.3581,12182.0122,78.166,68.7287,65.2501,4649.6338,5236.3039,5424.0974
0.5,1,43.5333,36.178,41.791,12237.7117,12519.9616,12202.7508,77.2769,68.2572,64.9085,4695.0605,5254.9515,5435.4186
0.51,1,43.083,36.0543,41.4008,12254.892,12525.5207,12222.9788,76.4052,67.7911,64.5704,4739.4096,5273.3786,5446.6326
0.52,1,42.6407,35.9295,41.0182,12271.7888,12531.0359,12242.7129,75.5504,67.3304,64.2357,4782.7143,5291.5841,5457.7419
0.53,1,42.2063,35.8038,40.643,12288.4055,12536.5075,12261.9689,74.7121,66.8751,63.9045,4825.0071,5309.5675,5468.7487
0.54,1,41.7795,35.6773,40.275,12304.7454,12541.936,12280.7623,73.8899,66.4251,63.5766,4866.3192,5327.3289,5479.6552
0.55,1,41.3603,35.5501,39.914,12320.8123,12547.3219,12299.1079,73.0834,65.9804,63.2521,4906.6806,5344.8685,5490.4634
0.56,1,40.9484,35.4222,39.5598,12336.6098,12552.6655,12317.0201,72.2922,65.5409,62.9309,4946.1203,5362.1871,5501.1754
0.57,1,40.5436,35.2938,39.2122,12352.1419,12557.9674,12334.5125,71.516,65.1066,62.6128,4984.6663,5379.2857,5511.793
0.58,1,40.1459,35.1649,38.8712,12367.4126,12563.2278,12351.5985,70.7545,64.6774,62.2979,5022.3456,5396.1658,5522.3179
0.59,1,39.7551,35.0356,38.5364,12382.4259,12568.4473,12368.2909,70.0072,64.2533,61.9862,5059.1842,5412.8289,5532.752
0.6,1,39.371,34.906,38.2078,12397.186,12573.6262,12384.6021,69.2738,63.8342,61.6776,5095.2072,5429.2767,5543.0969
0.61,1,38.9935,34.7762,37.8851,12411.6971,12578.765,12400.5439,68.5541,63.42,61.3719,5130.4388,5445.5113,5553.3541
0.62,1,38.6224,34.6462,37.5683,12425.9634,12583.864,12416.1278,67.8476,63.0108,61.0693,5164.9024,5461.5348,5563.5252
0.63,1,38.2577,34.516,37.2572,12439.9891,12588.9237,12431.3648,67.154,62.6063,60.7696,5198.6206,5477.3495,5573.6116
0.64,1,37.899,34.3858,36.9516,12453.7785,12593.9444,12446.2657,66.4731,62.2067,60.4728,5231.6151,5492.9579,5583.6147
0.65,1,37.5464,34.2555,36.6514,12467.3357,12598.9266,12460.8405,65.8046,61.8117,60.1789,5263.9069,5508.3625,5593.5359
