n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,4,14.9855,14.9751,29.9606,13799.3694,13845.5642,12770.9889,44.9258,0.00644697,44.925,6457.8201,8786.2313,6885.4134
0.02,4,14.9132,14.903,29.8162,13799.3701,13843.3401,12774.9368,44.7091,0.00643828,44.7084,6465.1724,8780.0757,6883.5023
0.03,4,14.8417,14.8315,29.6731,13799.3709,13841.1558,12778.8617,44.4945,0.0064299,44.4937,6472.4604,8773.9945,6881.6861
0.04,4,14.7707,14.7606,29.5313,13799.3716,13839.0108,12782.7637,44.2818,0.00642181,44.2811,6479.6848,8767.9864,6879.9623
0.05,4,14.7005,14.6904,29.3908,13799.3724,13836.904,12786.6427,44.071,0.00641401,44.0703,6486.8463,8762.0504,6878.3286
0.06,4,14.6308,14.6208,29.2516,13799.3731,13834.8349,12790.4989,43.8621,0.00640649,43.8615,6493.9456,8756.1852,6876.7828
0.07,4,14.5618,14.5519,29.1137,13799.3739,13832.8026,12794.3324,43.6551,0.00639926,43.6546,6500.9833,8750.3898,6875.3227
0.08,4,14.4934,14.4836,28.977,13799.3746,13830.8064,12798.1432,43.45,0.0063923,43.4495,6507.9603,8744.6631,6873.9462
0.09,4,14.4256,14.4158,28.8415,13799.3753,13828.8456,12801.9314,43.2467,0.0063856,43.2462,6514.8772,8739.004,6872.6511
0.1,4,14.3585,14.3487,28.7072,13799.376,13826.9195,12805.697,43.0452,0.00637916,43.0448,6521.7346,8733.4115,6871.4354
0.11,4,14.2919,14.2822,28.5741,13799.3767,13825.0274,12809.4403,42.8456,0.00637298,42.8451,6528.5332,8727.8845,6870.2972
0.12,4,14.2259,14.2163,28.4422,13799.3774,13823.1687,12813.1611,42.6476,0.00636705,42.6472,6535.2737,8722.422,6869.2344
0.13,4,14.1605,14.151,28.3114,13799.3781,13821.3426,12816.8597,42.4515,0.00636136,42.4511,6541.9567,8717.0231,6868.2452
0.14,4,14.0956,14.0862,28.1818,13799.3788,13819.5487,12820.5362,42.257,0.00635591,42.2567,6548.5829,8711.6867,6867.3278
0.15,4,14.0314,14.022,28.0534,13799.3794,13817.7861,12824.1905,42.0643,0.0063507,42.064,6555.1529,8706.4119,6866.4803
0.16,4,13.9677,13.9583,27.926,13799.3801,13816.0544,12827.8229,41.8732,0.00634571,41.8729,6561.6673,8701.1978,6865.701
0.17,4,13.9045,13.8953,27.7998,13799.3807,13814.3529,12831.4334,41.6838,0.00634094,41.6836,6568.1268,8696.0435,6864.9882
0.18,4,13.8419,13.8327,27.6746,13799.3814,13812.6811,12835.0221,41.496,0.0063364,41.4958,6574.532,8690.9479,6864.3402
0.19,4,13.7798,13.7707,27.5505,13799.382,13811.0384,12838.5892,41.3099,0.00633206,41.3097,6580.8835,8685.9104,6863.7554
0.2,4,13.7183,13.7092,27.4275,13799.3827,13809.4241,12842.1347,41.1253,0.00632794,41.1252,6587.1818,8680.9299,6863.2321
0.21,4,13.6573,13.6483,27.3056,13799.3833,13807.8379,12845.6588,40.9423,0.00632402,40.9423,6593.4276,8676.0056,6862.7689
0.22,4,13.5968,13.5879,27.1847,13799.3839,13806.2791,12849.1615,40.7609,0.00632029,40.7609,6599.6215,8671.1367,6862.3642
0.23,4,13.5368,13.528,27.0648,13799.3846,13804.7472,12852.643,40.5811,0.00631676,40.581,6605.764,8666.3224,6862.0165
0.24,4,13.4774,13.4685,26.9459,13799.3852,13803.2417,12856.1034,40.4027,0.00631343,40.4027,6611.8557,8661.5618,6861.7244
0.25,4,13.4184,13.4096,26.828,13799.3858,13801.7622,12859.5429,40.2259,0.00631027,40.2259,6617.8972,8656.8542,6861.4865
0.26,4,13.3599,13.3512,26.7112,13799.3864,13800.3081,12862.9614,40.0505,0.0063073,40.0506,6623.889,8652.1988,6861.3015
0.27,4,13.302,13.2933,26.5953,13799.387,13798.8789,12866.3592,39.8766,0.00630451,39.8767,6629.8317,8647.5947,6861.1679
0.28,4,13.2445,13.2359,26.4803,13799.3876,13797.4742,12869.7363,39.7041,0.00630189,39.7043,6635.7258,8643.0413,6861.0844
0.29,4,13.1874,13.1789,26.3663,13799.3881,13796.0935,12873.093,39.5331,0.00629944,39.5333,6641.5719,8638.5379,6861.0499
0.3,4,13.1309,13.1224,26.2533,13799.3887,13794.7364,12876.4292,39.3635,0.00629716,39.3637,6647.3705,8634.0836,6861.063
0.31,4,13.0748,13.0664,26.1412,13799.3893,13793.4025,12879.7452,39.1953,0.00629504,39.1956,6653.1221,8629.6777,6861.1225
0.32,4,13.0192,13.0108,26.03,13799.3899,13792.0912,12883.041,39.0285,0.00629307,39.0288,6658.8272,8625.3197,6861.2273
0.33,4,12.964,12.9557,25.9197,13799.3904,13790.8023,12886.3168,38.8631,0.00629127,38.8634,6664.4864,8621.0087,6861.3761
0.34,4,12.9093,12.9011,25.8103,13799.391,13789.5352,12889.5726,38.699,0.00628961,38.6993,6670.1001,8616.7441,6861.5679
0.35,4,12.855,12.8468,25.7019,13799.3915,13788.2896,12892.8087,38.5362,0.0062881,38.5365,6675.6689,8612.5252,6861.8016
0.36,4,12.8012,12.7931,25.5943,13799.3921,13787.0651,12896.0252,38.3747,0.00628673,38.3751,6681.1932,8608.3515,6862.076
0.37,4,12.7478,12.7397,25.4875,13799.3926,13785.8613,12899.2221,38.2146,0.0062855,38.215,6686.6735,8604.2221,6862.3902
0.38,4,12.6948,12.6868,25.3816,13799.3932,13784.6778,12902.3996,38.0557,0.00628442,38.0562,6692.1103,8600.1366,6862.7431
0.39,4,12.6423,12.6343,25.2766,13799.3937,13783.5143,12905.5579,37.8981,0.00628346,37.8986,6697.5041,8596.0943,6863.1337
0.4,4,12.5902,12.5822,25.1724,13799.3942,13782.3703,12908.697,37.7418,0.00628264,37.7423,6702.8554,8592.0945,6863.561
0.41,4,12.5385,12.5306,25.069,13799.3947,13781.2456,12911.817,37.5867,0.00628194,37.5873,6708.1645,8588.1367,6864.0241
0.42,4,12.4872,12.4793,24.9665,13799.3952,13780.1398,12914.9182,37.4329,0.00628137,37.4334,6713.432,8584.2203,6864.522
0.43,4,12.4363,12.4285,24.8647,13799.3958,13779.0526,12918.0006,37.2802,0.00628093,37.2808,6718.6583,8580.3448,6865.0539
0.44,4,12.3858,12.378,24.7638,13799.3963,13777.9835,12921.0643,37.1288,0.0062806,37.1294,6723.8439,8576.5094,6865.6188
0.45,4,12.3357,12.328,24.6637,13799.3968,13776.9324,12924.1096,36.9785,0.00628039,36.9792,6728.9891,8572.7137,6866.2159
0.46,4,12.286,12.2783,24.5643,13799.3973,13775.8988,12927.1364,36.8295,0.00628029,36.8301,6734.0945,8568.9572,6866.8444
0.47,4,12.2367,12.2291,24.4657,13799.3978,13774.8824,12930.1449,36.6815,0.0062803,36.6822,6739.1604,8565.2393,6867.5034
0.48,4,12.1877,12.1802,24.3679,13799.3982,13773.8831,12933.1354,36.5348,0.00628042,36.5355,6744.1874,8561.5594,6868.192
0.49,4,12.1392,12.1317,24.2708,13799.3987,13772.9004,12936.1077,36.3891,0.00628065,36.3899,6749.1756,8557.917,6868.9096
0.5,4,12.091,12.0835,24.1745,13799.3992,13771.934,12939.0622,36.2446,0.00628098,36.2454,6754.1257,8554.3117,6869.6554
0.51,4,12.0432,12.0358,24.0789,13799.3997,13770.9837,12941.999,36.1012,0.00628141,36.102,6759.038,8550.7429,6870.4285
0.52,4,11.9957,11.9884,23.9841,13799.4002,13770.0492,12944.918,35.9589,0.00628193,35.9597,6763.9129,8547.2101,6871.2284
0.53,4,11.9486,11.9413,23.89,13799.4006,13769.1302,12947.8196,35.8177,0.00628256,35.8186,6768.7508,8543.7129,6872.0542
0.54,4,11.9019,11.8947,23.7965,13799.4011,13768.2265,12950.7038,35.6776,0.00628327,35.6784,6773.5522,8540.2507,6872.9053
0.55,4,11.8555,11.8483,23.7038,13799.4015,13767.3377,12953.5707,35.5385,0.00628408,35.5394,6778.3172,8536.8231,6873.7809
0.56,4,11.8095,11.8024,23.6118,13799.402,13766.4637,12956.4204,35.4004,0.00628498,35.4014,6783.0465,8533.4296,6874.6805
0.57,4,11.7638,11.7567,23.5205,13799.4024,13765.6041,12959.2531,35.2634,0.00628597,35.2644,6787.7403,8530.0698,6875.6033
0.58,4,11.7185,11.7114,23.4299,13799.4029,13764.7587,12962.0689,35.1275,0.00628703,35.1285,6792.399,8526.7431,6876.5488
0.59,4,11.6735,11.6665,23.34,13799.4033,13763.9273,12964.8679,34.9925,0.00628819,34.9935,6797.0229,8523.4493,6877.5163
