n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,77.2101,23.0559,57.0699,11381.1241,13376.6269,10819.6797,133.7982,98.63154,40.17773,333.14284,6159.9069,6367.6815
0.02,1,75.3776,22.9024,55.8153,11389.779,13375.3152,10946.1437,130.6389,96.41727,39.95636,650.46574,6068.331,6457.4633
0.03,1,73.5528,22.7539,54.5665,11406.9954,13374.0681,11067.9733,127.4913,94.21712,39.73696,952.06988,5991.9195,6537.718
0.04,1,71.7459,22.61,53.3304,11431.3819,13372.8837,11184.6932,124.3734,92.04314,39.5195,1238.2317,5929.5754,6609.2452
0.05,1,69.9652,22.4704,52.113,11461.6621,13371.7604,11296.0166,121.2997,89.90511,39.30396,1509.3647,5880.0949,6672.8265
0.06,1,68.2177,22.3348,50.9188,11496.6884,13370.6963,11401.8079,118.2822,87.81079,39.09033,1765.9845,5842.2246,6729.2111
0.07,1,66.5084,22.2028,49.7515,11535.4461,13369.69,11502.0499,115.3299,85.76616,38.87859,2008.6782,5814.7091,6779.106
0.08,1,64.8415,22.0741,48.6137,11577.0515,13368.7397,11596.816,112.4498,83.77568,38.66872,2238.0792,5796.3268,6823.1705
0.09,1,63.2197,21.9485,47.5075,11620.7443,13367.8439,11686.2461,109.6471,81.84248,38.46071,2454.847,5785.9177,6862.0133
0.1,1,61.6451,21.8256,46.434,11665.8784,13367.0012,11770.528,106.9251,79.9686,38.25454,2659.6507,5782.4013,6896.1918
0.11,1,60.1187,21.7053,45.3942,11711.9107,13366.21,11849.8812,104.2859,78.15516,38.05019,2853.1565,5784.7869,6926.213
0.12,1,58.6413,21.5873,44.3882,11758.3891,13365.4689,11924.545,101.7307,76.40254,37.84764,3036.0178,5792.1787,6952.5361
0.13,1,57.2126,21.4715,43.4162,11804.9417,13364.7764,11994.7694,99.2595,74.7105,37.6469,3208.869,5803.776,6975.5745
0.14,1,55.8325,21.3576,42.4778,11851.2655,13364.1313,12060.8073,96.8716,73.0784,37.4479,3372.3197,5818.8699,6995.6996
0.15,1,54.5002,21.2456,41.5724,11897.1166,13363.5321,12122.9098,94.566,71.5051,37.2507,3526.9521,5836.838,7013.244
