n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,3,76.4905,37.7623,38.8169,11155.8445,13900.3115,11422.621,115.2645,114.2223,3.849943,487.0095,6887.4733,7292.6958
0.02,3,73.9151,36.3813,37.6228,11168.1724,13900.3241,11600.5834,111.4945,110.2642,3.851684,941.22679,6716.383,7472.3338
0.03,3,71.3501,35.0131,36.4261,11198.2741,13900.3448,11768.8044,107.7326,106.3295,3.853654,1362.8584,6574.4966,7629.434
0.04,3,68.8255,33.6723,35.2423,11242.0916,13900.3715,11926.0296,104.0241,102.4627,3.855768,1752.8721,6459.8775,7766.0236
0.05,3,66.3636,32.3695,34.0831,11296.0696,13900.4022,12071.7384,100.403,98.69687,3.857959,2112.7545,6370.0124,7884.236
0.06,3,63.9803,31.1123,32.9569,11357.2115,13900.4354,12205.9338,96.8935,95.0552,3.86017,2444.3114,6302.093,7986.1738
0.07,3,61.686,29.9052,31.8694,11423.068,13900.4698,12328.9718,93.5118,91.5529,3.86237,2749.5139,6253.2404,8073.8246
0.08,3,59.4871,28.751,30.8243,11491.6897,13900.5045,12441.4299,90.2678,88.1988,3.86453,3030.3852,6220.6657,8149.0141
0.09,3,57.3865,27.6508,29.8237,11561.56,13900.5388,12544.0102,87.1667,84.9971,3.86661,3288.9212,6201.7761,8213.3856
0.1,3,55.3848,26.6042,28.8682,11631.5251,13900.5721,12637.4714,84.2098,81.9481,3.86862,3527.0391,6194.2333,8268.3972
0.11,3,53.4809,25.6104,27.9578,11700.7271,13900.6041,12722.5815,81.3955,79.0497,3.87054,3746.5454,6195.9783,8315.3289
0.12,3,51.6722,24.6677,27.0915,11768.5444,13900.6346,12800.089,78.7207,76.2976,3.87237,3949.1189,6205.2309,8355.2955
