n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,3,40.6447,20.3236,20.3211,12294.2696,13799.4481,13642.5468,60.9538,60.9503,0.00690377,6175.9052,5961.9882,8872.7948
0.02,3,40.2063,20.1044,20.1019,12311.2839,13799.4481,13645.5309,60.2961,60.2926,0.00690376,6189.2751,5982.7825,8863.4511
0.03,3,39.7771,19.8899,19.8873,12327.923,13799.4481,13648.4241,59.6523,59.6488,0.00690376,6202.5236,6003.1653,8854.2952
0.04,3,39.3569,19.6798,19.6771,12344.1988,13799.4481,13651.2303,59.022,59.0185,0.00690376,6215.6483,6023.1483,8845.3217
0.05,3,38.9455,19.4741,19.4714,12360.1231,13799.4481,13653.9528,58.4047,58.4012,0.00690376,6228.647,6042.7424,8836.525
0.06,3,38.5424,19.2726,19.2699,12375.707,13799.4481,13656.5952,57.8001,57.7966,0.00690375,6241.5181,6061.9584,8827.9003
0.07,3,38.1476,19.0752,19.0724,12390.9611,13799.4481,13659.1605,57.2078,57.2044,0.00690375,6254.2603,6080.8065,8819.4425
0.08,3,37.7608,18.8818,18.879,12405.8957,13799.4481,13661.6517,56.6275,56.624,0.00690375,6266.8725,6099.2969,8811.147
0.09,3,37.3816,18.6922,18.6894,12420.5206,13799.4481,13664.0718,56.0587,56.0552,0.00690375,6279.3539,6117.4391,8803.0092
0.1,3,37.0099,18.5064,18.5035,12434.8453,13799.4481,13666.4235,55.5011,55.4977,0.00690374,6291.704,6135.2425,8795.0246
0.11,3,36.6455,18.3242,18.3213,12448.8787,13799.4481,13668.7094,54.9545,54.951,0.00690374,6303.9225,6152.7161,8787.1891
0.12,3,36.2882,18.1456,18.1426,12462.6296,13799.4481,13670.9319,54.4184,54.415,0.00690374,6316.0092,6169.8687,8779.4986
0.13,3,35.9377,17.9703,17.9674,12476.1063,13799.4481,13673.0935,53.8926,53.8892,0.00690374,6327.9643,6186.7086,8771.9491
0.14,3,35.5938,17.7984,17.7954,12489.3169,13799.4481,13675.1963,53.3768,53.3734,0.00690373,6339.788,6203.2441,8764.5369
0.15,3,35.2565,17.6298,17.6267,12502.2691,13799.4481,13677.2426,52.8708,52.8673,0.00690373,6351.4806,6219.483,8757.2583
0.16,3,34.9254,17.4643,17.4612,12514.9704,13799.4481,13679.2344,52.3741,52.3707,0.00690373,6363.0427,6235.4331,8750.1097
0.17,3,34.6005,17.3018,17.2987,12527.4278,13799.4481,13681.1736,51.8867,51.8833,0.00690373,6374.4749,6251.1015,8743.0877
0.18,3,34.2815,17.1423,17.1392,12539.6482,13799.4481,13683.0621,51.4082,51.4048,0.00690372,6385.7779,6266.4956,8736.1892
0.19,3,33.9683,16.9858,16.9826,12551.6384,13799.4481,13684.9017,50.9383,50.935,0.00690372,6396.9526,6281.6223,8729.4107
0.2,3,33.6608,16.832,16.8288,12563.4047,13799.4481,13686.6942,50.477,50.4736,0.00690372,6407.9999,6296.4881,8722.7494
0.21,3,33.3587,16.681,16.6778,12574.9532,13799.4481,13688.4411,50.0239,50.0205,0.00690372,6418.9208,6311.0998,8716.2022
0.22,3,33.062,16.5326,16.5294,12586.2898,13799.4481,13690.144,49.5787,49.5754,0.00690371,6429.7163,6325.4634,8709.7662
0.23,3,32.7705,16.3869,16.3836,12597.4204,13799.4481,13691.8044,49.1414,49.1381,0.00690371,6440.3876,6339.5852,8703.4387
0.24,3,32.484,16.2437,16.2404,12608.3504,13799.4481,13693.4238,48.7117,48.7084,0.00690371,6450.9358,6353.4709,8697.2169
0.25,3,32.2025,16.1029,16.0996,12619.0852,13799.4481,13695.0035,48.2894,48.2861,0.00690371,6461.3621,6367.1264,8691.0983
0.26,3,31.9258,15.9646,15.9612,12629.6298,13799.4481,13696.5448,47.8744,47.871,0.0069037,6471.6678,6380.5571,8685.0804
0.27,3,31.6538,15.8286,15.8252,12639.9894,13799.4481,13698.049,47.4663,47.463,0.0069037,6481.8541,6393.7685,8679.1607
0.28,3,31.3864,15.6949,15.6915,12650.1685,13799.4481,13699.5173,47.0651,47.0618,0.0069037,6491.9224,6406.7656,8673.3368
0.29,3,31.1234,15.5634,15.56,12660.172,13799.4481,13700.9509,46.6706,46.6673,0.0069037,6501.8739,6419.5537,8667.6064
0.3,3,30.8648,15.4341,15.4307,12670.0042,13799.4481,13702.3509,46.2827,46.2793,0.00690369,6511.7101,6432.1375,8661.9675
0.31,3,30.6104,15.307,15.3035,12679.6695,13799.4481,13703.7183,45.9011,45.8978,0.00690369,6521.4323,6444.5218,8656.4177
0.32,3,30.3602,15.1819,15.1783,12689.172,13799.4481,13705.0542,45.5257,45.5224,0.00690369,6531.0418,6456.7112,8650.955
0.33,3,30.114,15.0588,15.0552,12698.5159,13799.4481,13706.3596,45.1564,45.153,0.00690369,6540.5402,6468.7102,8645.5774
0.34,3,29.8717,14.9377,14.9341,12707.705,13799.4481,13707.6353,44.793,44.7896,0.00690368,6549.9286,6480.5232,8640.283
0.35,3,29.6333,14.8185,14.8149,12716.7431,13799.4481,13708.8824,44.4353,44.432,0.00690368,6559.2086,6492.1542,8635.0698
0.36,3,29.3987,14.7012,14.6976,12725.6339,13799.4481,13710.1017,44.0833,44.08,0.00690368,6568.3816,6503.6075,8629.9361
0.37,3,29.1677,14.5857,14.5821,12734.3809,13799.4481,13711.294,43.7368,43.7335,0.00690368,6577.4489,6514.8869,8624.8799
0.38,3,28.9403,14.472,14.4684,12742.9876,13799.4481,13712.4601,43.3957,43.3924,0.00690367,6586.4119,6525.9964,8619.8997
0.39,3,28.7165,14.3601,14.3564,12751.4573,13799.4481,13713.6009,43.0599,43.0566,0.00690367,6595.272,6536.9396,8614.9936
0.4,3,28.496,14.2499,14.2462,12759.7932,13799.4481,13714.717,42.7292,42.7259,0.00690367,6604.0307,6547.7203,8610.1602
0.41,3,28.2789,14.1413,14.1376,12767.9984,13799.4481,13715.8093,42.4035,42.4002,0.00690366,6612.6892,6558.3419,8605.3977
0.42,3,28.065,14.0344,14.0307,12776.076,13799.4481,13716.8783,42.0827,42.0794,0.00690366,6621.2489,6568.8079,8600.7046
0.43,3,27.8544,13.9291,13.9253,12784.0288,13799.4481,13717.9248,41.7667,41.7634,0.00690366,6629.7113,6579.1216,8596.0795
0.44,3,27.6469,13.8253,13.8216,12791.8599,13799.4481,13718.9494,41.4554,41.4521,0.00690366,6638.0776,6589.2863,8591.521
0.45,3,27.4424,13.7231,13.7193,12799.5718,13799.4481,13719.9527,41.1487,41.1454,0.00690365,6646.3492,6599.305,8587.0275
0.46,3,27.241,13.6224,13.6186,12807.1673,13799.4481,13720.9354,40.8464,40.8432,0.00690365,6654.5274,6609.181,8582.5977
0.47,3,27.0424,13.5231,13.5193,12814.6491,13799.4481,13721.898,40.5486,40.5453,0.00690365,6662.6135,6618.9171,8578.2302
0.48,3,26.8467,13.4253,13.4215,12822.0195,13799.4481,13722.841,40.2551,40.2518,0.00690365,6670.6089,6628.5164,8573.9239
0.49,3,26.6539,13.3289,13.325,12829.2811,13799.4481,13723.7651,39.9657,39.9625,0.00690364,6678.5147,6637.9815,8569.6773
0.5,3,26.4637,13.2338,13.2299,12836.4363,13799.4481,13724.6707,39.6805,39.6773,0.00690364,6686.3323,6647.3152,8565.4894
0.51,3,26.2763,13.1401,13.1362,12843.4873,13799.4481,13725.5583,39.3993,39.3961,0.00690364,6694.063,6656.5203,8561.3588
0.52,3,26.0915,13.0477,13.0438,12850.4364,13799.4481,13726.4285,39.1221,39.1188,0.00690364,6701.7079,6665.5994,8557.2845
0.53,3,25.9092,12.9566,12.9526,12857.2857,13799.4481,13727.2816,38.8487,38.8454,0.00690363,6709.2682,6674.5549,8553.2652
0.54,3,25.7295,12.8667,12.8628,12864.0375,13799.4481,13728.1182,38.5791,38.5758,0.00690363,6716.7453,6683.3893,8549.2999
0.55,3,25.5522,12.7781,12.7741,12870.6938,13799.4481,13728.9387,38.3132,38.3099,0.00690363,6724.1403,6692.1051,8545.3876
0.56,3,25.3774,12.6907,12.6867,12877.2565,13799.4481,13729.7435,38.0509,38.0477,0.00690363,6731.4543,6700.7046,8541.5271
0.57,3,25.2049,12.6045,12.6005,12883.7276,13799.4481,13730.5329,37.7922,37.7889,0.00690362,6738.6886,6709.1901,8537.7175
0.58,3,25.0348,12.5194,12.5154,12890.109,13799.4481,13731.3075,37.5369,37.5337,0.00690362,6745.8443,6717.5637,8533.9577
0.59,3,24.8669,12.4355,12.4314,12896.4026,13799.4481,13732.0676,37.2851,37.2819,0.00690362,6752.9224,6725.8277,8530.2468
