n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,3,77.2101,38.5949,38.6152,11122.9712,13799.4481,11341.0879,115.8114,115.8047,0.006903504,333.14178,6762.8454,7037.0663
0.02,3,75.3776,37.679,37.6986,11129.4726,13799.4481,11464.8513,113.0621,113.0554,0.006903499,650.46473,6640.7498,7163.3011
0.03,3,73.5528,36.767,36.7858,11144.8508,13799.4481,11584.1015,110.3242,110.3175,0.006903494,952.0689,6532.6811,7278.6114
0.04,3,71.7459,35.8638,35.882,11167.7203,13799.4481,11698.3438,107.6132,107.6066,0.006903489,1238.2307,6438.0893,7383.6646
0.05,3,69.9652,34.9739,34.9914,11196.8016,13799.4481,11807.2738,104.9417,104.9352,0.006903484,1509.3638,6356.2648,7479.1628
0.06,3,68.2177,34.1004,34.1172,11230.9371,13799.4481,11910.7404,102.3199,102.3134,0.006903479,1765.9837,6286.3855,7565.8176
0.07,3,66.5085,33.2462,33.2623,11269.0973,13799.4481,12008.7129,99.7555,99.7491,0.00690347,2008.6774,6227.5594,7644.3303
0.08,3,64.8415,32.413,32.4285,11310.3804,13799.4481,12101.2533,97.2546,97.2483,0.00690347,2238.0784,6178.8606,7715.3787
0.09,3,63.2197,31.6024,31.6173,11354.0062,13799.4481,12188.4921,94.8215,94.8153,0.00690346,2454.8463,6139.3586,7779.6079
0.1,3,61.6451,30.8154,30.8297,11399.3079,13799.4481,12270.6089,92.4592,92.4529,0.00690346,2659.65,6108.1419,7837.6247
0.11,3,60.1188,30.0525,30.0663,11445.7217,13799.4481,12347.8168,90.1693,90.1631,0.00690345,2853.1558,6084.3346,7889.9943
0.12,3,58.6413,29.314,29.3272,11492.7753,13799.4481,12420.3503,87.9526,87.9466,0.00690345,3036.0172,6067.1096,7937.2394
0.13,3,57.2126,28.6,28.6127,11540.0773,13799.4481,12488.455,85.8094,85.8033,0.00690344,3208.8684,6055.6956,7979.8407
0.14,3,55.8325,27.9102,27.9224,11587.3065,13799.4481,12552.381,83.7388,83.7329,0.00690344,3372.3191,6049.3817,8018.2378
0.15,3,54.5002,27.2442,27.2559,11634.2021,13799.4481,12612.3768,81.74,81.7341,0.00690343,3526.9515,6047.5192,8052.8314
0.16,3,53.2147,26.6017,26.613,11680.5549,13799.4481,12668.6858,79.8115,79.8056,0.00690343,3673.3182,6049.5203,8083.9858
0.17,3,51.9748,25.982,25.9928,11726.1994,13799.4481,12721.5434,77.9515,77.9457,0.00690342,3811.9414,6054.8568,8112.031
0.18,3,50.7794,25.3845,25.3949,11771.007,13799.4481,12771.1747,76.1581,76.1524,0.00690342,3943.3126,6063.0562,8137.2658
0.19,3,49.627,24.8085,24.8185,11814.8799,13799.4481,12817.7941,74.4292,74.4235,0.00690341,4067.8931,6073.6987,8159.9602
0.2,3,48.5161,24.2533,24.2629,11857.7457,13799.4481,12861.6039,72.7627,72.7571,0.00690341,4186.115,6086.4122,8180.3578
0.21,3,47.4454,23.7181,23.7273,11899.5534,13799.4481,12902.7945,71.1563,71.1508,0.0069034,4298.3819,6100.869,8198.6785
0.22,3,46.4132,23.2022,23.211,11940.2694,13799.4481,12941.5443,69.6079,69.6024,0.0069034,4405.0707,6116.7808,8215.1205
0.23,3,45.4181,22.7048,22.7133,11979.8744,13799.4481,12978.0201,68.115,68.1096,0.00690339,4506.5324,6133.8951,8229.8625
0.24,3,44.4586,22.2252,22.2334,12018.3605,13799.4481,13012.3771,66.6756,66.6702,0.00690339,4603.0941,6151.9914,8243.0655
0.25,3,43.5333,21.7627,21.7706,12055.7292,13799.4481,13044.7601,65.2875,65.2821,0.00690338,4695.0602,6170.8775,8254.8746
0.26,3,42.6407,21.3166,21.3241,12091.9896,13799.4481,13075.3033,63.9484,63.9431,0.00690338,4782.714,6190.3865,8265.4208
0.27,3,41.7795,20.8862,20.8934,12127.1564,13799.4481,13104.1314,62.6565,62.6512,0.00690337,4866.3189,6210.3735,8274.822
0.28,3,40.9484,20.4707,20.4777,12161.249,13799.4481,13131.3601,61.4096,61.4043,0.00690337,4946.12,6230.7133,8283.1849
0.29,3,40.1459,20.0696,20.0763,12194.2906,13799.4481,13157.0966,60.2058,60.2006,0.00690336,5022.3453,6251.2978,8290.6055
0.3,3,39.371,19.6823,19.6887,12226.3065,13799.4481,13181.4401,59.0433,59.0381,0.00690336,5095.2069,6272.0342,8297.1708
0.31,3,38.6224,19.3081,19.3143,12257.3243,13799.4481,13204.4826,57.9202,57.9152,0.00690335,5164.9022,6292.8425,8302.959
0.32,3,37.899,18.9466,18.9525,12287.3727,13799.4481,13226.3094,56.835,56.83,0.00690335,5231.6149,6313.6546,8308.0414
0.33,3,37.1997,18.597,18.6027,12316.4813,13799.4481,13246.9994,55.7859,55.7809,0.00690334,5295.5161,6334.4122,8312.4819
0.34,3,36.5235,18.259,18.2645,12344.6802,13799.4481,13266.6258,54.7715,54.7665,0.00690334,5356.7654,6355.066,8316.3389
0.35,3,35.8693,17.9321,17.9373,12371.9995,13799.4481,13285.2564,53.7901,53.7852,0.00690333,5415.5113,6375.5742,8319.6649
0.36,3,35.2363,17.6156,17.6206,12398.4692,13799.4481,13302.954,52.8404,52.8355,0.00690333,5471.8925,6395.9016,8322.5077
0.37,3,34.6234,17.3093,17.3141,12424.119,13799.4481,13319.7768,51.9211,51.9162,0.00690332,5526.0383,6416.019,8324.9107
0.38,3,34.0299,17.0127,17.0173,12448.9779,13799.4481,13335.7791,51.0307,51.0259,0.00690332,5578.0697,6435.9021,8326.9132
0.39,3,33.455,16.7253,16.7297,12473.0746,13799.4481,13351.0111,50.1682,50.1634,0.00690331,5628.0994,6455.5308,8328.551
0.4,3,32.8978,16.4468,16.451,12496.4368,13799.4481,13365.5193,49.3324,49.3276,0.00690331,5676.2331,6474.8891,8329.8566
0.41,3,32.3577,16.1768,16.1809,12519.0917,13799.4481,13379.3471,48.5221,48.5173,0.0069033,5722.5694,6493.964,8330.8595
0.42,3,31.8338,15.915,15.9189,12541.0655,13799.4481,13392.5349,47.7362,47.7315,0.0069033,5767.2008,6512.7454,8331.5867
0.43,3,31.3257,15.661,15.6647,12562.3836,13799.4481,13405.1201,46.9739,46.9692,0.00690329,5810.2139,6531.2258,8332.0628
0.44,3,30.8325,15.4145,15.418,12583.0705,13799.4481,13417.1377,46.234,46.2293,0.00690329,5851.69,6549.3996,8332.3101
0.45,3,30.3537,15.1752,15.1785,12603.1499,13799.4481,13428.6203,45.5157,45.5111,0.00690328,5891.705,6567.263,8332.3489
0.46,3,29.8887,14.9428,14.9459,12622.6446,13799.4481,13439.5981,44.8182,44.8136,0.00690328,5930.3306,6584.814,8332.198
0.47,3,29.437,14.717,14.72,12641.5764,13799.4481,13450.0995,44.1406,44.136,0.00690327,5967.634,6602.0516,8331.8744
0.48,3,28.998,14.4976,14.5005,12659.9664,13799.4481,13460.1508,43.482,43.4775,0.00690327,6003.6781,6618.9761,8331.3936
0.49,3,28.5713,14.2843,14.287,12677.835,13799.4481,13469.7768,42.8419,42.8374,0.00690326,6038.5224,6635.5888,8330.7698
