n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,78.1254,23.4156,66.1151,11401.8241,12944.9257,10463.8004,142.8221,94.5061,61.10035,168.5478,5636.2482,5721.2901
0.02,1,77.2101,23.7239,65.3345,11402.8877,12945.7353,10530.8388,141.0462,93.69434,60.82179,333.14284,5594.8281,5758.6011
0.03,1,76.2936,24.0158,64.5566,11406.4187,12946.573,10596.8822,139.2718,92.87674,60.54555,493.77998,5557.4719,5793.8988
0.04,1,75.3776,24.2915,63.7826,11412.2283,12947.4379,10661.8347,137.5018,92.055,60.27158,650.46574,5524.0267,5827.2739
0.05,1,74.4636,24.5515,63.0135,11420.1325,12948.3291,10725.6155,135.739,91.23069,59.99987,803.21905,5494.3292,5858.8166
0.06,1,73.5528,24.7961,62.2502,11429.9539,12949.2459,10788.1586,133.9856,90.40525,59.73039,952.06988,5468.2084,5888.6157
0.07,1,72.6465,25.026,61.4935,11441.5216,12950.1873,10849.4108,132.2438,89.58004,59.46311,1097.058,5445.4879,5916.7583
0.08,1,71.7459,25.2415,60.7443,11454.6727,12951.1527,10909.3307,130.5156,88.75626,59.19802,1238.2317,5425.9883,5943.3294
0.09,1,70.8518,25.4431,60.0031,11469.2522,12952.1411,10967.8875,128.8026,87.93504,58.93509,1375.6466,5409.5283,5968.4118
0.1,1,69.9652,25.6313,59.2705,11485.1135,12953.152,11025.0598,127.1065,87.11738,58.6743,1509.3647,5395.9275,5992.0856
0.11,1,69.087,25.8068,58.5471,11502.1186,12954.1845,11080.8347,125.4285,86.3042,58.41562,1639.4534,5385.0068,6014.428
0.12,1,68.2177,25.9698,57.8332,11520.1378,12955.2379,11135.2067,123.7699,85.49633,58.15903,1765.9845,5376.5906,6035.5136
0.13,1,67.358,26.1211,57.1293,11539.0501,12956.3116,11188.1766,122.1317,84.69449,57.9045,1889.0334,5370.5072,6055.4137
0.14,1,66.5084,26.2609,56.4356,11558.7426,12957.4049,11239.7511,120.5148,83.89934,57.65203,2008.6782,5366.5905,6074.1967
0.15,1,65.6695,26.39,55.7524,11579.1107,12958.517,11289.9415,118.9199,83.11146,57.40157,2124.9995,5364.6798,6091.9281
0.16,1,64.8415,26.5086,55.0798,11600.0574,12959.6474,11338.7636,117.3477,82.33136,57.15311,2238.0792,5364.6211,6108.6701
0.17,1,64.0248,26.6174,54.4181,11621.4933,12960.7955,11386.2363,115.7986,81.55948,56.90664,2348.0005,5366.267,6124.482
0.18,1,63.2197,26.7166,53.7673,11643.3361,12961.9606,11432.3819,114.273,80.79619,56.66212,2454.847,5369.4776,6139.4201
0.19,1,62.4264,26.8069,53.1276,11665.5103,12963.1422,11477.2248,112.7714,80.04184,56.41953,2558.7026,5374.1198,6153.5379
0.2,1,61.6451,26.8885,52.4989,11687.9467,12964.3396,11520.7917,111.2938,79.29668,56.17887,2659.6507,5380.0683,6166.886
0.21,1,60.8758,26.962,51.8812,11710.5824,12965.5524,11563.1105,109.8405,78.56095,55.9401,2757.7746,5387.2049,6179.5123
0.22,1,60.1187,27.0277,51.2746,11733.3598,12966.78,11604.2108,108.4114,77.83483,55.7032,2853.1565,5395.4186,6191.4621
0.23,1,59.3739,27.0859,50.679,11756.2269,12968.0218,11644.1229,107.0067,77.11848,55.46816,2945.8775,5404.6055,6202.778
0.24,1,58.6413,27.1372,50.0944,11779.1366,12969.2773,11682.8775,105.6263,76.41199,55.23495,3036.0178,5414.6686,6213.5004
0.25,1,57.9208,27.1817,49.5206,11802.0462,12970.5461,11720.5062,104.2701,75.71546,55.00357,3123.656,5425.5176,6223.6671
0.26,1,57.2126,27.2198,48.9575,11824.9173,12971.8276,11757.0405,102.9379,75.02893,54.77397,3208.869,5437.0684,6233.314
0.27,1,56.5165,27.2519,48.405,11847.7157,12973.1214,11792.512,101.6296,74.35243,54.54616,3291.7323,5449.2432,6242.4747
0.28,1,55.8325,27.2783,47.8631,11870.4104,12974.427,11826.9522,100.3449,73.68596,54.3201,3372.3197,5461.9698,6251.1806
0.29,1,55.1604,27.2993,47.3315,11892.9741,12975.744,11860.3922,99.0837,73.0295,54.0958,3450.7029,5475.1817,6259.4617
0.3,1,54.5002,27.315,46.8102,11915.3825,12977.0719,11892.8629,97.8456,72.383,53.8732,3526.9521,5488.8172,6267.3456
0.31,1,53.8516,27.3259,46.2988,11937.6138,12978.4103,11924.3947,96.6304,71.7464,53.6523,3601.1353,5502.8199,6274.8587
0.32,1,53.2147,27.3322,45.7974,11959.6493,12979.7588,11955.0175,95.4377,71.1197,53.4331,3673.3187,5517.1377,6282.0253
0.33,1,52.5891,27.334,45.3057,11981.4722,12981.117,11984.7606,94.2672,70.5027,53.2155,3743.5668,5531.7228,6288.8686
0.34,1,51.9748,27.3317,44.8235,12003.0682,12982.4845,12013.6525,93.1186,69.8954,52.9997,3811.9419,5546.5317,6295.4102
0.35,1,51.3717,27.3254,44.3508,12024.4248,12983.8608,12041.7212,91.9915,69.2977,52.7854,3878.5044,5561.5242,6301.6702
0.36,1,50.7794,27.3154,43.8872,12045.5312,12985.2458,12068.994,90.8856,68.7094,52.5728,3943.3131,5576.6639,6307.6675
0.37,1,50.1979,27.3019,43.4326,12066.3784,12986.6389,12095.4973,89.8005,68.1305,52.3617,4006.4245,5591.9173,6313.4199
0.38,1,49.627,27.285,42.9868,12086.9589,12988.0398,12121.2569,88.7358,67.5608,52.1523,4067.8936,5607.2542,6318.944
0.39,1,49.0665,27.2649,42.5497,12107.2663,12989.4482,12146.2978,87.6911,67.0002,51.9444,4127.7735,5622.6471,6324.2553
0.4,1,48.5161,27.2419,42.1211,12127.2957,12990.8638,12170.6442,86.6661,66.4485,51.738,4186.1154,5638.0708,6329.3684
0.41,1,47.9758,27.216,41.7007,12147.043,12992.2862,12194.3196,85.6604,65.9056,51.5332,4242.9691,5653.5028,6334.2968
0.42,1,47.4454,27.1874,41.2884,12166.5054,12993.7151,12217.3468,84.6736,65.3714,51.3299,4298.3824,5668.9226,6339.0532
0.43,1,46.9246,27.1563,40.8841,12185.6806,12995.1502,12239.7477,83.7053,64.8458,51.1282,4352.4015,5684.3117,6343.6495
0.44,1,46.4132,27.1229,40.4875,12204.5674,12996.5913,12261.5436,82.7551,64.3285,50.9279,4405.0711,5699.6535,6348.0968
0.45,1,45.9111,27.0871,40.0985,12223.1653,12998.0379,12282.7551,81.8227,63.8194,50.729,4456.4343,5714.9331,6352.4055
0.46,1,45.4181,27.0492,39.7169,12241.4742,12999.4899,12303.4018,80.9078,63.3185,50.5317,4506.5328,5730.1371,6356.5854
0.47,1,44.934,27.0093,39.3426,12259.4948,13000.9469,12323.503,80.0098,62.8255,50.3357,4555.4066,5745.2536,6360.6453
0.48,1,44.4586,26.9675,38.9753,12277.2283,13002.4088,12343.077,79.1285,62.3403,50.1412,4603.0944,5760.2719,6364.5939
0.49,1,43.9918,26.9239,38.6149,12294.6762,13003.8751,12362.1418,78.2635,61.8627,49.9481,4649.6338,5775.1826,6368.439
0.5,1,43.5333,26.8787,38.2612,12311.8404,13005.3458,12380.7144,77.4145,61.3927,49.7565,4695.0605,5789.9774,6372.1879
0.51,1,43.083,26.8318,37.9142,12328.7233,13006.8205,12398.8114,76.5811,60.93,49.5661,4739.4096,5804.649,6375.8477
0.52,1,42.6407,26.7834,37.5736,12345.3275,13008.2989,12416.4487,75.7629,60.4745,49.3772,4782.7143,5819.191,6379.4246
0.53,1,42.2063,26.7337,37.2392,12361.6559,13009.781,12433.6416,74.9596,60.0262,49.1896,4825.0071,5833.5978,6382.9248
0.54,1,41.7795,26.6826,36.911,12377.7116,13011.2663,12450.405,74.171,59.5847,49.0034,4866.3192,5847.8647,6386.3537
0.55,1,41.3603,26.6302,36.5888,12393.4979,13012.7548,12466.753,73.3966,59.1501,48.8185,4906.6806,5861.9875,6389.7167
