n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,5,18.4153,36.8314,18.4161,13723.5782,12465.9195,13799.5161,0.00882537,55.235,55.2286,8850.4509,6435.9615,6130.6353
0.02,5,18.1931,36.387,18.1939,13720.0498,12480.2562,13799.5144,0.00877847,54.5683,54.562,8834.3215,6435.2098,6153.4552
0.03,5,17.9761,35.953,17.977,13716.7105,12494.3118,13799.5128,0.00873278,53.9173,53.911,8818.6807,6435.0001,6175.7335
0.04,5,17.7641,35.5291,17.765,13713.55,12508.0934,13799.5112,0.00868823,53.2813,53.2751,8803.5087,6435.2948,6197.4885
0.05,5,17.557,35.1149,17.5579,13710.5588,12521.6081,13799.5097,0.00864481,52.6598,52.6537,8788.7865,6436.0591,6218.7378
0.06,5,17.3546,34.7101,17.3555,13707.728,12534.8626,13799.5082,0.00860246,52.0525,52.0464,8774.4963,6437.2602,6239.4981
0.07,5,17.1567,34.3143,17.1576,13705.049,12547.8636,13799.5067,0.00856115,51.4588,51.4527,8760.621,6438.8676,6259.7856
0.08,5,16.9632,33.9273,16.9641,13702.5141,12560.6176,13799.5053,0.00852085,50.8782,50.8722,8747.1442,6440.8526,6279.6156
0.09,5,16.774,33.5488,16.7748,13700.1156,12573.1307,13799.5039,0.00848151,50.3104,50.3044,8734.0506,6443.1884,6299.0031
0.1,5,16.5888,33.1785,16.5897,13697.8465,12585.4092,13799.5025,0.00844312,49.7549,49.749,8721.3255,6445.8502,6317.9622
0.11,5,16.4077,32.8162,16.4086,13695.7003,12597.4589,13799.5012,0.00840563,49.2113,49.2055,8708.9548,6448.8143,6336.5064
0.12,5,16.2304,32.4616,16.2313,13693.6706,12609.2857,13799.4999,0.00836901,48.6793,48.6735,8696.9252,6452.059,6354.6489
0.13,5,16.0568,32.1145,16.0577,13691.7516,12620.8951,13799.4986,0.00833325,48.1586,48.1528,8685.2239,6455.5637,6372.4021
0.14,5,15.8869,31.7746,15.8878,13689.9377,12632.2926,13799.4974,0.0082983,47.6487,47.643,8673.8389,6459.3093,6389.7783
0.15,5,15.7205,31.4418,15.7213,13688.2237,12643.4835,13799.4962,0.00826415,47.1493,47.1436,8662.7585,6463.2777,6406.7888
0.16,5,15.5574,31.1157,15.5583,13686.6046,12654.4729,13799.495,0.00823077,46.6601,46.6545,8651.9716,6467.4521,6423.4448
0.17,5,15.3977,30.7963,15.3986,13685.0757,12665.2658,13799.4938,0.00819814,46.1809,46.1753,8641.4677,6471.8169,6439.757
0.18,5,15.2412,30.4832,15.2421,13683.6326,12675.8672,13799.4927,0.00816622,45.7113,45.7057,8631.2368,6476.3572,6455.7357
0.19,5,15.0878,30.1764,15.0886,13682.2711,12686.2816,13799.4916,0.00813501,45.2509,45.2454,8621.2691,6481.0592,6471.3907
0.2,5,14.9374,29.8756,14.9383,13680.9873,12696.5137,13799.4905,0.00810447,44.7997,44.7942,8611.5554,6485.9101,6486.7315
0.21,5,14.7899,29.5807,14.7908,13679.7773,12706.568,13799.4895,0.00807459,44.3573,44.3518,8602.087,6490.8976,6501.7674
0.22,5,14.6453,29.2915,14.6462,13678.6377,12716.4486,13799.4884,0.00804535,43.9234,43.918,8592.8554,6496.0104,6516.507
