n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,2,46.0403,27.3244,36.5306,12393.7747,13285.8758,12882.4073,78.4815,66.3004,45.176,5706.8145,6013.6888,7447.8083
0.02,2,44.9464,27.0698,35.8563,12434.1208,13284.8229,12899.7794,76.6587,64.9447,44.8898,5750.9538,6056.8698,7420.4216
0.03,2,43.9021,26.8241,35.2115,12472.4056,13283.8515,12916.2064,74.9174,63.6524,44.6067,5793.7611,6097.8209,7394.508
0.04,2,42.9043,26.5867,34.5942,12508.7715,13282.9589,12931.7687,73.2523,62.4191,44.3265,5835.2587,6136.6908,7369.9824
0.05,2,41.9498,26.357,34.0026,12543.3491,13282.1426,12946.538,71.6586,61.241,44.0493,5875.4746,6173.6167,7346.7656
0.06,2,41.0362,26.1343,33.4351,12576.2578,13281.3999,12960.5785,70.1318,60.1144,43.7749,5914.4411,6208.7257,7324.7834
0.07,2,40.1607,25.9182,32.8902,12607.6074,13280.7283,12973.948,68.668,59.036,43.5035,5952.1935,6242.1349,7303.9669
0.08,2,39.3212,25.7083,32.3664,12637.4984,13280.1255,12986.6984,67.2633,58.0028,43.2349,5988.7686,6273.953,7284.2517
0.09,2,38.5154,25.5041,31.8626,12666.0236,13279.5892,12998.8764,65.9142,57.012,42.9691,6024.2046,6304.2802,7265.5776
0.1,2,37.7415,25.3053,31.3776,12693.2682,13279.1171,13010.5243,64.6176,56.061,42.7062,6058.54,6333.2096,7247.8881
0.11,2,36.9977,25.1115,30.9102,12719.3109,13278.7069,13021.6804,63.3705,55.1475,42.4459,6091.8134,6360.8273,7231.1307
0.12,2,36.2821,24.9224,30.4596,12744.2244,13278.3567,13032.3795,62.17,54.2691,42.1884,6124.0629,6387.2132,7215.256
0.13,2,35.5933,24.7378,30.0246,12768.0759,13278.0644,13042.653,61.0138,53.4239,41.9335,6155.3262,6412.4413,7200.2177
0.14,2,34.9298,24.5574,29.6046,12790.9276,13277.8279,13052.5297,59.8993,52.61,41.6813,6185.64,6436.5806,7185.9723
0.15,2,34.2903,24.3809,29.1986,12812.837,13277.6453,13062.0358,58.8244,51.8257,41.4317,6215.0402,6459.6948,7172.4792
0.16,2,33.6735,24.2081,28.806,12833.8577,13277.5149,13071.1953,57.787,51.0693,41.1847,6243.5613,6481.8435,7159.7001
0.17,2,33.0782,24.0389,28.4261,12854.0394,13277.4347,13080.03,56.7852,50.3392,40.9403,6271.2371,6503.0821,7147.5991
0.18,2,32.5034,23.8731,28.0582,12873.4282,13277.4031,13088.56,55.8172,49.6342,40.6983,6298.0999,6523.4622,7136.1421
0.19,2,31.948,23.7105,27.7016,12892.0672,13277.4184,13096.8038,54.8814,48.9529,40.4589,6324.181,6543.0317,7125.2975
0.2,2,31.411,23.5509,27.3559,12909.9965,13277.4789,13104.7783,53.9761,48.2941,40.2219,6349.5104,6561.8355,7115.0352
0.21,2,30.8916,23.3942,27.0206,12927.2534,13277.583,13112.499,53.0999,47.6565,39.9873,6374.1169,6579.9156,7105.3268
0.22,2,30.3889,23.2404,26.695,12943.8729,13277.7293,13119.9805,52.2515,47.0393,39.7551,6398.0282,6597.311,7096.1457
0.23,2,29.9022,23.0892,26.3789,12959.8876,13277.9162,13127.2359,51.4295,46.4413,39.5253,6421.2707,6614.0583,7087.4666
0.24,2,29.4306,22.9405,26.0716,12975.3281,13278.1423,13134.2777,50.6327,45.8616,39.2978,6443.8698,6630.1918,7079.2658
0.25,2,28.9736,22.7943,25.7729,12990.223,13278.4062,13141.1171,49.86,45.2994,39.0726,6465.8499,6645.7435,7071.5207
0.26,2,28.5304,22.6505,25.4824,13004.599,13278.7066,13147.7647,49.1103,44.7538,38.8497,6487.2343,6660.7434,7064.21
0.27,2,28.1005,22.5089,25.1996,13018.4815,13279.0421,13154.2303,48.3826,44.2241,38.629,6508.0451,6675.2197,7057.3137
0.28,2,27.6832,22.3695,24.9243,13031.8938,13279.4115,13160.523,47.6759,43.7095,38.4106,6528.3037,6689.1989,7050.8126
0.29,2,27.278,22.2322,24.6561,13044.8584,13279.8135,13166.6514,46.9894,43.2094,38.1944,6548.0303,6702.7058,7044.6886
0.3,2,26.8845,22.0969,24.3948,13057.396,13280.2471,13172.6232,46.3222,42.7231,37.9803,6567.2446,6715.7637,7038.9247
0.31,2,26.502,21.9636,24.14,13069.5262,13280.711,13178.446,45.6735,42.25,37.7683,6585.965,6728.3944,7033.5045
0.32,2,26.1302,21.8322,23.8915,13081.2677,13281.2041,13184.1264,45.0426,41.7895,37.5585,6604.2094,6740.6188,7028.4127
0.33,2,25.7686,21.7026,23.6491,13092.6378,13281.7254,13189.6711,44.4286,41.3412,37.3507,6621.9948,6752.4562,7023.6346
0.34,2,25.4168,21.5748,23.4124,13103.653,13282.2738,13195.086,43.8311,40.9045,37.145,6639.3374,6763.9248,7019.1562
0.35,2,25.0744,21.4488,23.1813,13114.3289,13282.8483,13200.3767,43.2492,40.4789,36.9413,6656.253,6775.042,7014.9645
0.36,2,24.7411,21.3244,22.9556,13124.6801,13283.4479,13205.5486,42.6824,40.0639,36.7396,6672.7563,6785.824,7011.0468
0.37,2,24.4165,21.2016,22.735,13134.7206,13284.0717,13210.6065,42.1302,39.6592,36.5399,6688.8616,6796.2861,7007.3912
0.38,2,24.1002,21.0804,22.5193,13144.4634,13284.7189,13215.5553,41.5919,39.2643,36.3421,6704.5826,6806.4429,7003.9863
0.39,2,23.7919,20.9608,22.3085,13153.9209,13285.3884,13220.3993,41.067,38.8789,36.1463,6719.9324,6816.3081,7000.8212
0.4,2,23.4914,20.8427,22.1023,13163.1051,13286.0794,13225.1426,40.5551,38.5026,35.9524,6734.9234,6825.8945,6997.8857
0.41,2,23.1984,20.726,21.9005,13172.0269,13286.7911,13229.7892,40.0557,38.135,35.7603,6749.5677,6835.2145,6995.1699
0.42,2,22.9125,20.6107,21.703,13180.697,13287.5228,13234.3426,39.5683,37.7758,35.5701,6763.8767,6844.2796,6992.6644
0.43,2,22.6336,20.4968,21.5096,13189.1255,13288.2736,13238.8065,39.0925,37.4247,35.3818,6777.8614,6853.1008,6990.3604
