n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.68,1,36.9488,20.8553,30.245,12576.1812,13310.1617,12811.6489,64.2084,51.8029,36.5071,5416.7737,6258.599,7050.2025
0.69,1,36.6131,20.7617,29.9841,12589.2069,13312.8561,12823.9496,63.6066,51.4012,36.3076,5446.9279,6272.357,7055.6998
0.7,1,36.2828,20.6683,29.7275,12602.0184,13315.5245,12835.9726,63.0149,51.0051,36.1102,5476.4597,6285.9541,7061.0996
0.71,1,35.9578,20.5753,29.4752,12614.6195,13318.1671,12847.7265,62.4332,50.6146,35.915,5505.3863,6299.3909,7066.4051
0.72,1,35.638,20.4826,29.2271,12627.0139,13320.7843,12859.2194,61.8612,50.2296,35.7218,5533.7249,6312.668,7071.6198
0.73,1,35.3233,20.3903,28.983,12639.2056,13323.3766,12870.4591,61.2987,49.85,35.5306,5561.4916,6325.7864,7076.7467
0.74,1,35.0137,20.2984,28.743,12651.1981,13325.9441,12881.4533,60.7455,49.4757,35.3415,5588.7024,6338.7471,7081.789
0.75,1,34.7089,20.2068,28.5069,12662.9952,13328.4873,12892.2091,60.2014,49.1066,35.1543,5615.3723,6351.5513,7086.7495
0.76,1,34.4089,20.1157,28.2746,12674.6007,13331.0064,12902.7338,59.6662,48.7425,34.9691,5641.5162,6364.2001,7091.631
0.77,1,34.1136,20.0249,28.0461,12686.018,13333.5019,12913.034,59.1396,48.3835,34.7858,5667.1484,6376.6949,7096.436
0.78,1,33.8229,19.9347,27.8211,12697.2508,13335.9739,12923.1163,58.6215,48.0294,34.6043,5692.2826,6389.0372,7101.1671
0.79,1,33.5367,19.8448,27.5998,12708.3026,13338.4229,12932.9871,58.1118,47.6801,34.4248,5716.9321,6401.2283,7105.8266
0.8,1,33.2549,19.7555,27.382,12719.177,13340.8491,12942.6525,57.6102,47.3356,34.247,5741.1099,6413.2699,7110.4169
0.81,1,32.9774,19.6665,27.1675,12729.8772,13343.2529,12952.1184,57.1165,46.9957,34.0711,5764.8285,6425.1634,7114.9402
0.82,1,32.7041,19.5781,26.9564,12740.4067,13345.6345,12961.3904,56.6307,46.6604,33.8969,5788.0999,6436.9107,7119.3984
0.83,1,32.4349,19.4902,26.7486,12750.7687,13347.9942,12970.4741,56.1524,46.3295,33.7245,5810.9358,6448.5132,7123.7937
0.84,1,32.1698,19.4027,26.5439,12760.9667,13350.3323,12979.3749,55.6816,46.0031,33.5538,5833.3475,6459.9728,7128.128
0.85,1,31.9087,19.3157,26.3424,12771.0037,13352.6492,12988.0977,55.2181,45.681,33.3848,5855.346,6471.2912,7132.403
0.86,1,31.6514,19.2293,26.1439,12780.8829,13354.945,12996.6476,54.7617,45.3631,33.2175,5876.942,6482.4701,7136.6205
0.87,1,31.398,19.1433,25.9484,12790.6074,13357.2201,13005.0293,54.3124,45.0494,33.0518,5898.1456,6493.5113,7140.7823
0.88,1,31.1483,19.0578,25.7558,12800.1802,13359.4748,13013.2476,53.8699,44.7398,32.8877,5918.9668,6504.4167,7144.8898
0.89,1,30.9022,18.9729,25.5661,12809.6044,13361.7092,13021.3067,53.434,44.4342,32.7253,5939.4153,6515.1879,7148.9447
