n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,2,20.5087,7419.988,35.52,95.7072
0.02,2,20.1868,7428.9515,34.9624,188.4092
0.03,2,19.8715,7437.8098,34.4163,278.1992
0.04,2,19.5629,7446.5508,33.8816,365.1696
0.05,2,19.2608,7455.1646,33.3584,449.4127
0.06,2,18.9653,7463.6429,32.8465,531.0196
0.07,2,18.6763,7471.979,32.3459,610.0801
0.08,2,18.3937,7480.1677,31.8563,686.6822
0.09,2,18.1174,7488.2049,31.3778,760.9123
0.1,2,17.8474,7496.0878,30.91,832.8544
0.11,2,17.5835,7503.8143,30.4529,902.5906
0.12,2,17.3256,7511.3832,30.0062,970.2004
0.13,2,17.0736,7518.7942,29.5697,1035.761
0.14,2,16.8274,7526.0473,29.1432,1099.3471
0.15,2,16.5869,7533.1433,28.7265,1161.0309
0.16,2,16.3519,7540.0834,28.3194,1220.8823
0.17,2,16.1223,7546.869,27.9216,1278.9686
0.18,2,15.8979,7553.5021,27.533,1335.3545
0.19,2,15.6787,7559.9848,27.1533,1390.1027
0.2,2,15.4646,7566.3195,26.7823,1443.2732
0.21,2,15.2553,7572.5087,26.4198,1494.9238
0.22,2,15.0508,7578.5551,26.0656,1545.1102
0.23,2,14.8509,7584.4617,25.7193,1593.8856
0.24,2,14.6555,7590.2312,25.3809,1641.3015
0.25,2,14.4646,7595.8666,25.0501,1687.407
0.26,2,14.2779,7601.371,24.7268,1732.2495
0.27,2,14.0954,7606.7475,24.4106,1775.8743
0.28,2,13.9169,7611.999,24.1015,1818.3249
0.29,2,13.7424,7617.1286,23.7992,1859.6432
0.3,2,13.5717,7622.1394,23.5035,1899.8691
0.31,2,13.4047,7627.0344,23.2143,1939.0413
0.32,2,13.2414,7631.8166,22.9314,1977.1964
0.33,2,13.0816,7636.4888,22.6546,2014.37
0.34,2,12.9252,7641.054,22.3837,2050.596
0.35,2,12.7722,7645.5151,22.1186,2085.9069
0.36,2,12.6224,7649.8748,21.8591,2120.3341
0.37,2,12.4757,7654.1359,21.6051,2153.9074
0.38,2,12.3322,7658.301,21.3563,2186.6557
0.39,2,12.1916,7662.3727,21.1128,2218.6066
0.4,2,12.0539,7666.3537,20.8743,2249.7866
0.41,2,11.919,7670.2464,20.6406,2280.2211
0.42,2,11.7869,7674.0532,20.4118,2309.9347
0.43,2,11.6574,7677.7764,20.1875,2338.9507
0.44,2,11.5305,7681.4185,19.9678,2367.2917
0.45,2,11.4062,7684.9816,19.7524,2394.9795
0.46,2,11.2843,7688.4679,19.5413,2422.0348
0.47,2,11.1648,7691.8795,19.3343,2448.4775
0.48,2,11.0477,7695.2185,19.1314,2474.327
0.49,2,10.9328,7698.4868,18.9324,2499.6018
0.5,2,10.8201,7701.6865,18.7372,2524.3196
0.51,2,10.7096,7704.8193,18.5457,2548.4974
0.52,2,10.6012,7707.8871,18.3579,2572.1519
0.53,2,10.4948,7710.8916,18.1736,2595.2988
0.54,2,10.3904,7713.8347,17.9928,2617.9534
0.55,2,10.2879,7716.7178,17.8153,2640.1303
0.56,2,10.1873,7719.5428,17.6411,2661.8436
0.57,2,10.0886,7722.311,17.47,2683.1071
0.58,2,9.9916,7725.0241,17.3021,2703.9337
0.59,2,9.8964,7727.6834,17.1372,2724.3362
0.6,2,9.8029,7730.2905,16.9752,2744.3266
0.61,2,9.7111,7732.8467,16.8161,2763.9169
0.62,2,9.6208,7735.3533,16.6598,2783.1182
0.63,2,9.5322,7737.8116,16.5063,2801.9415
0.64,2,9.4451,7740.223,16.3554,2820.3974
0.65,2,9.3595,7742.5885,16.2071,2838.4959
0.66,2,9.2754,7744.9095,16.0613,2856.247
0.67,2,9.1926,7747.1869,15.9181,2873.66
0.68,2,9.1113,7749.422,15.7772,2890.7442
0.69,2,9.0314,7751.6159,15.6388,2907.5083
0.7,2,8.9528,7753.7695,15.5026,2923.961
0.71,2,8.8754,7755.8838,15.3686,2940.1104
0.72,2,8.7994,7757.96,15.2369,2955.9645
0.73,2,8.7246,7759.9988,15.1073,2971.531
0.74,2,8.651,7762.0012,14.9798,2986.8175
0.75,2,8.5786,7763.9682,14.8544,3001.831
0.76,2,8.5073,7765.9006,14.731,3016.5785
0.77,2,8.4372,7767.7992,14.6095,3031.0668
0.78,2,8.3682,7769.6648,14.4899,3045.3025
0.79,2,8.3002,7771.4984,14.3722,3059.2918
0.8,2,8.2333,7773.3005,14.2564,3073.0408
0.81,2,8.1675,7775.0719,14.1423,3086.5555
0.82,2,8.1026,7776.8135,14.0299,3099.8416
0.83,2,8.0387,7778.5259,13.9193,3112.9046
0.84,2,7.9758,7780.2097,13.8104,3125.75
0.85,2,7.9139,7781.8657,13.703,3138.383
0.86,2,7.8529,7783.4944,13.5973,3150.8085
0.87,2,7.7927,7785.0966,13.4932,3163.0316
0.88,2,7.7335,7786.6728,13.3906,3175.057
0.89,2,7.6751,7788.2235,13.2895,3186.8892
0.9,2,7.6176,7789.7495,13.1898,3198.5328
0.91,2,7.5609,7791.2512,13.0916,3209.9921
0.92,2,7.505,7792.7292,12.9948,3221.2713
0.93,2,7.4499,7794.184,12.8994,3232.3746
0.94,2,7.3956,7795.6162,12.8053,3243.3057
0.95,2,7.3421,7797.0261,12.7126,3254.0687
0.96,2,7.2893,7798.4144,12.6211,3264.6673
0.97,2,7.2372,7799.7814,12.5309,3275.1051
0.98,2,7.1859,7801.1277,12.442,3285.3856
0.99,2,7.1352,7802.4537,12.3543,3295.5122
