n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,3,62.694,30.9587,31.7416,11297.829,13831.0909,12738.7926,94.4196,93.6395,1.2032,3887.3955,5576.2361,8562.1387
0.02,3,61.8062,30.5106,31.302,11333.5084,13831.1167,12770.8055,93.0922,92.3034,1.20423,3955.6436,5586.3925,8571.2204
0.03,3,60.9391,30.073,30.8725,11368.5597,13831.1415,12801.5466,91.7956,90.9985,1.20524,4022.2059,5597.5337,8579.5117
0.04,3,60.0921,29.6455,30.4529,11402.9769,13831.1656,12831.0748,90.529,89.7238,1.20621,4087.1076,5609.5553,8587.0657
0.05,3,59.2647,29.228,30.043,11436.757,13831.1888,12859.4462,89.2917,88.4787,1.20714,4150.3779,5622.361,8593.9319
0.06,3,58.4564,28.8202,29.6426,11469.8992,13831.2113,12886.7142,88.0829,87.2623,1.20805,4212.0494,5635.8625,8600.1565
0.07,3,57.6667,28.4218,29.2513,11502.4047,13831.233,12912.9297,86.9019,86.074,1.20892,4272.1568,5649.9785,8605.7824
0.08,3,56.8951,28.0326,28.8689,11534.2768,13831.254,12938.1409,85.7479,84.913,1.20976,4330.7366,5664.6344,8610.8497
0.09,3,56.1412,27.6522,28.4953,11565.5202,13831.2743,12962.3939,84.6203,83.7785,1.21058,4387.8266,5679.7619,8615.3958
0.1,3,55.4043,27.2806,28.1301,11596.1408,13831.2938,12985.7323,83.5182,82.6698,1.21136,4443.4652,5695.2984,8619.4555
0.11,3,54.6842,26.9174,27.7732,11626.1459,13831.3127,13008.1978,82.4411,81.5863,1.21212,4497.6912,5711.1868,8623.0613
0.12,3,53.9803,26.5624,27.4242,11655.5433,13831.331,13029.8299,81.3882,80.5272,1.21286,4550.5435,5727.3747,8626.2435
0.13,3,53.2921,26.2154,27.0831,11684.3421,13831.3486,13050.666,80.3589,79.4918,1.21357,4602.0608,5743.8146,8629.0304
0.14,3,52.6193,25.8761,26.7495,11712.5516,13831.3656,13070.7418,79.3524,78.4795,1.21425,4652.2815,5760.4629,8631.4483
0.15,3,51.9613,25.5444,26.4233,11740.1819,13831.3819,13090.0913,78.3683,77.4897,1.21491,4701.2434,5777.2803,8633.5219
0.16,3,51.3179,25.22,26.1043,11767.2433,13831.3978,13108.7466,77.4058,76.5217,1.21555,4748.9838,5794.2306,8635.2741
0.17,3,50.6886,24.9028,25.7922,11793.7467,13831.413,13126.7383,76.4644,75.575,1.21617,4795.5393,5811.2813,8636.7265
0.18,3,50.0729,24.5924,25.4869,11819.7029,13831.4277,13144.0954,75.5434,74.6488,1.21676,4840.9455,5828.4026,8637.8991
0.19,3,49.4706,24.2888,25.1882,11845.1231,13831.4419,13160.8457,74.6423,73.7427,1.21734,4885.2374,5845.5678,8638.8105
0.2,3,48.8812,23.9917,24.8958,11870.0186,13831.4556,13177.0154,73.7606,72.8561,1.2179,4928.4489,5862.7525,8639.4783
0.21,3,48.3043,23.701,24.6097,11894.4007,13831.4688,13192.6294,72.8977,71.9884,1.21843,4970.6132,5879.9348,8639.9188
0.22,3,47.7398,23.4165,24.3297,11918.2806,13831.4815,13207.7115,72.053,71.1391,1.21895,5011.7623,5897.0947,8640.1473
0.23,3,47.1871,23.1379,24.0555,11941.6697,13831.4938,13222.2843,71.2261,70.3078,1.21945,5051.9276,5914.2146,8640.1782
0.24,3,46.6459,22.8653,23.7871,11964.5791,13831.5056,13236.3692,70.4165,69.4938,1.21994,5091.1392,5931.2782,8640.0247
0.25,3,46.116,22.5982,23.5242,11987.0199,13831.517,13249.9866,69.6237,68.6968,1.2204,5129.4265,5948.2712,8639.6994
0.26,3,45.597,22.3368,23.2667,12009.0032,13831.5279,13263.1561,68.8472,67.9162,1.22086,5166.8178,5965.1808,8639.2139
0.27,3,45.0887,22.0806,23.0145,12030.5398,13831.5385,13275.8961,68.0867,67.1516,1.22129,5203.3408,5981.9952,8638.5793
0.28,3,44.5907,21.8297,22.7674,12051.6404,13831.5486,13288.2241,67.3415,66.4025,1.22171,5239.022,5998.7044,8637.8058
0.29,3,44.1027,21.5839,22.5253,12072.3155,13831.5584,13300.1571,66.6114,65.6686,1.22212,5273.887,6015.299,8636.9029
0.3,3,43.6245,21.343,22.288,12092.5754,13831.5678,13311.7109,65.896,64.9494,1.22251,5307.9608,6031.7712,8635.8797
0.31,3,43.1559,21.1069,22.0554,12112.4303,13831.5768,13322.9008,65.1947,64.2445,1.22289,5341.2673,6048.1137,8634.7446
0.32,3,42.6964,20.8755,21.8274,12131.8901,13831.5855,13333.7412,64.5073,63.5536,1.22326,5373.8298,6064.3204,8633.5055
0.33,3,42.246,20.6486,21.6039,12150.9646,13831.5939,13344.246,63.8334,62.8762,1.22361,5405.6707,6080.3857,8632.1698
0.34,3,41.8044,20.4262,21.3847,12169.6633,13831.6019,13354.4285,63.1725,62.212,1.22396,5436.8115,6096.3049,8630.7443
0.35,3,41.3713,20.208,21.1697,12187.9954,13831.6096,13364.301,62.5245,61.5607,1.22429,5467.2733,6112.0741,8629.2357
0.36,3,40.9465,19.9941,20.9589,12205.9701,13831.617,13373.8757,61.8888,60.9218,1.22461,5497.0761,6127.6897,8627.6499
0.37,3,40.5298,19.7842,20.752,12223.5963,13831.6241,13383.164,61.2653,60.2952,1.22491,5526.2395,6143.1488,8625.9928
0.38,3,40.121,19.5783,20.5491,12240.8826,13831.631,13392.1768,60.6535,59.6803,1.22521,5554.7822,6158.4491,8624.2696
0.39,3,39.7198,19.3763,20.35,12257.8374,13831.6375,13400.9245,60.0532,59.0771,1.2255,5582.7225,6173.5885,8622.4854
0.4,3,39.3261,19.178,20.1545,12274.469,13831.6438,13409.4171,59.464,58.485,1.22578,5610.0778,6188.5656,8620.6449
0.41,3,38.9397,18.9835,19.9627,12290.7855,13831.6498,13417.6642,58.8858,57.9039,1.22604,5636.865,6203.3791,8618.7526
0.42,3,38.5603,18.7924,19.7744,12306.7945,13831.6555,13425.6747,58.3181,57.3335,1.2263,5663.1005,6218.0282,8616.8125
0.43,3,38.1879,18.6049,19.5895,12322.5038,13831.661,13433.4575,57.7608,56.7734,1.22655,5688.8001,6232.5125,8614.8286
