n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,5,13.1151,26.235,13.1199,13880.2808,12922.8727,13799.5299,0.00869974,39.3398,39.334,8720.7175,7072.2398,6645.4849
0.02,5,12.9527,25.91,12.9574,13874.2687,12930.9971,13799.5278,0.00865829,38.8522,38.8465,8706.0408,7066.7109,6661.7599
0.03,5,12.7939,25.5925,12.7986,13868.5201,12939.0258,13799.5258,0.0086178,38.3758,38.3701,8691.8126,7061.7683,6677.6916
0.04,5,12.6388,25.2822,12.6434,13863.0219,12946.9573,13799.5239,0.00857824,37.9103,37.9047,8678.0154,7057.3761,6693.2887
0.05,5,12.4872,24.979,12.4918,13857.762,12954.7909,13799.522,0.0085396,37.4553,37.4497,8664.6324,7053.5004,6708.5592
0.06,5,12.339,24.6825,12.3435,13852.7287,12962.5258,13799.5201,0.00850183,37.0105,37.005,8651.6477,7050.1094,6723.5114
0.07,5,12.1941,24.3926,12.1986,13847.9111,12970.1615,13799.5183,0.00846491,36.5756,36.5701,8639.0459,7047.1732,6738.1533
0.08,5,12.0523,24.1091,12.0568,13843.2988,12977.698,13799.5166,0.00842882,36.1503,36.1448,8626.8125,7044.6637,6752.4927
0.09,5,11.9137,23.8318,11.9181,13838.8821,12985.1351,13799.5149,0.00839353,35.7342,35.7288,8614.9335,7042.5546,6766.5374
0.1,5,11.7781,23.5605,11.7825,13834.6516,12992.4731,13799.5132,0.00835901,35.3271,35.3218,8603.3956,7040.8211,6780.2949
0.11,5,11.6454,23.295,11.6497,13830.5987,12999.7123,13799.5116,0.00832526,34.9288,34.9235,8592.186,7039.4399,6793.7726
0.12,5,11.5154,23.0352,11.5197,13826.715,13006.8531,13799.51,0.00829223,34.539,34.5337,8581.2927,7038.3893,6806.9777
0.13,5,11.3883,22.7808,11.3925,13822.9927,13013.8962,13799.5085,0.00825992,34.1573,34.1521,8570.704,7037.6485,6819.9172
0.14,5,11.2638,22.5317,11.268,13819.4243,13020.8422,13799.5069,0.00822829,33.7836,33.7784,8560.4087,7037.1983,6832.5979
0.15,5,11.1418,22.2878,11.146,13816.0029,13027.6919,13799.5055,0.00819734,33.4177,33.4125,8550.3962,7037.0206,6845.0266
0.16,5,11.0224,22.0489,11.0265,13812.7216,13034.4463,13799.504,0.00816703,33.0592,33.0541,8540.6564,7037.0982,6857.2097
0.17,5,10.9054,21.8148,10.9095,13809.5743,13041.1061,13799.5026,0.00813736,32.7081,32.703,8531.1795,7037.4151,6869.1536
0.18,5,10.7907,21.5855,10.7948,13806.5548,13047.6726,13799.5013,0.0081083,32.364,32.359,8521.9561,7037.9561,6880.8645
0.19,5,10.6784,21.3608,10.6824,13803.6576,13054.1466,13799.4999,0.00807984,32.0268,32.0218,8512.9774,7038.7072,6892.3483
0.2,5,10.5682,21.1405,10.5723,13800.8771,13060.5293,13799.4986,0.00805196,31.6963,31.6913,8504.2347,7039.6547,6903.611
0.21,5,10.4603,20.9245,10.4643,13798.2083,13066.8219,13799.4974,0.00802464,31.3723,31.3673,8495.72,7040.7863,6914.658
0.22,5,10.3544,20.7127,10.3584,13795.6462,13073.0255,13799.4961,0.00799787,31.0546,31.0497,8487.4253,7042.0901,6925.4951
0.23,5,10.2506,20.5051,10.2545,13793.1862,13079.1413,13799.4949,0.00797164,30.743,30.7381,8479.3431,7043.5548,6936.1274
0.24,5,10.1487,20.3014,10.1527,13790.824,13085.1705,13799.4937,0.00794592,30.4374,30.4325,8471.4662,7045.17,6946.5603
0.25,5,10.0489,20.1016,10.0527,13788.5553,13091.1144,13799.4926,0.0079207,30.1376,30.1328,8463.7878,7046.9259,6956.7987
0.26,5,9.95084,19.9055,9.95468,13786.3762,13096.9742,13799.4914,0.00789598,29.8434,29.8387,8456.3011,7048.8131,6966.8477
0.27,5,9.85465,19.7131,9.85847,13784.2828,13102.7512,13799.4903,0.00787173,29.5548,29.55,8448.9998,7050.8228,6976.7118
0.28,5,9.76025,19.5243,9.76404,13782.2716,13108.4465,13799.4892,0.00784795,29.2715,29.2668,8441.8777,7052.9468,6986.3959
0.29,5,9.66759,19.3389,9.67135,13780.3391,13114.0616,13799.4882,0.00782462,28.9934,28.9887,8434.9291,7055.1773,6995.9043
0.3,5,9.57661,19.1569,9.58034,13778.482,13119.5975,13799.4871,0.00780172,28.7204,28.7157,8428.1483,7057.5071,7005.2415
0.31,5,9.48728,18.9782,9.49098,13776.6972,13125.0557,13799.4861,0.00777926,28.4523,28.4476,8421.5299,7059.9291,7014.4116
0.32,5,9.39954,18.8028,9.40323,13774.9818,13130.4373,13799.4851,0.00775721,28.189,28.1844,8415.0687,7062.4369,7023.4188
0.33,5,9.31338,18.6304,9.31703,13773.333,13135.7436,13799.4841,0.00773557,27.9304,27.9258,8408.7597,7065.0243,7032.2671
0.34,5,9.22873,18.4611,9.23236,13771.7479,13140.9758,13799.4832,0.00771433,27.6763,27.6718,8402.598,7067.6856,7040.9604
0.35,5,9.14556,18.2947,9.14917,13770.2241,13146.1351,13799.4822,0.00769347,27.4267,27.4222,8396.5792,7070.4154,7049.5023
