n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.75,1,11.138,11.6572,11.1745,13518.1551,13494.5448,13517.7519,19.0036,19.854,19.9148,7392.9663,7344.7911,7339.6739
0.76,1,11,11.5156,11.0374,13522.7803,13499.3009,13522.262,18.7678,19.6102,19.6727,7402.0233,7354.3421,7349.0739
0.77,1,10.8652,11.3773,10.9035,13527.292,13503.9404,13526.6616,18.5375,19.3722,19.4362,7410.8681,7363.6689,7358.2531
0.78,1,10.7336,11.2422,10.7728,13531.6944,13508.4679,13530.955,18.3124,19.1397,19.2052,7419.5088,7372.7798,7367.2199
0.79,1,10.6049,11.1102,10.6449,13535.9917,13512.8875,13535.1463,18.0925,18.9125,18.9794,7427.953,7381.6829,7375.9819
0.8,1,10.4792,10.9812,10.52,13540.1879,13517.2034,13539.2393,17.8776,18.6905,18.7587,7436.2078,7390.3857,7384.5467
0.81,1,10.3562,10.8551,10.3978,13544.2869,13521.4193,13543.2377,17.6674,18.4735,18.5429,7444.2803,7398.8955,7392.9214
0.82,1,10.236,10.7317,10.2784,13548.2921,13525.5388,13547.1449,17.4619,18.2612,18.3319,7452.1769,7407.2191,7401.1126
0.83,1,10.1184,10.6111,10.1615,13552.2071,13529.5655,13550.9643,17.2608,18.0536,18.1255,7459.9039,7415.363,7409.1269
0.84,1,10.0034,10.4931,10.0471,13556.0351,13533.5026,13554.699,17.0641,17.8505,17.9236,7467.4673,7423.3337,7416.9704
0.85,1,9.89078,10.3776,9.9352,13559.7792,13537.3533,13558.352,16.8715,17.6518,17.726,7474.8727,7431.137,7424.6489
0.86,1,9.78059,10.2646,9.82564,13563.4424,13541.1206,13561.9263,16.6831,17.4573,17.5325,7482.1258,7438.7786,7432.1681
0.87,1,9.6727,10.1539,9.71837,13567.0274,13544.8074,13565.4245,16.4985,17.2669,17.3432,7489.2315,7446.264,7439.5332
0.88,1,9.56706,10.0456,9.61331,13570.5371,13548.4164,13568.8494,16.3178,17.0805,17.1577,7496.1949,7453.5985,7446.7496
0.89,1,9.4636,9.9395,9.5104,13573.974,13551.9503,13572.2032,16.1408,16.898,16.9761,7503.0207,7460.7869,7453.8219
0.9,1,9.3622,9.8355,9.4096,13577.3405,13555.4115,13575.4886,15.9674,16.7191,16.7981,7509.7135,7467.834,7460.7549
0.91,1,9.2629,9.7337,9.3108,13580.639,13558.8025,13578.7077,15.7974,16.5439,16.6238,7516.2775,7474.7445,7467.5532
0.92,1,9.1656,9.6339,9.2139,13583.8718,13562.1256,13581.8627,15.6308,16.3722,16.4529,7522.717,7481.5227,7474.2209
0.93,1,9.0702,9.5361,9.119,13587.041,13565.3828,13584.9558,15.4676,16.204,16.2854,7529.036,7488.1727,7480.7622
0.94,1,8.9766,9.4402,9.0259,13590.1487,13568.5765,13587.9889,15.3074,16.039,16.1212,7535.2382,7494.6987,7487.1811
0.95,1,8.8849,9.3462,8.9347,13593.1969,13571.7085,13590.964,15.1504,15.8773,15.9602,7541.3273,7501.1043,7493.4814
0.96,1,8.795,9.2541,8.8451,13596.1874,13574.7808,13593.8829,14.9964,15.7187,15.8023,7547.3069,7507.3934,7499.6666
0.97,1,8.7067,9.1637,8.7573,13599.1221,13577.7953,13596.7473,14.8453,15.5632,15.6474,7553.1802,7513.5694,7505.7402
0.98,1,8.6202,9.075,8.6711,13602.0027,13580.7537,13599.559,14.6971,15.4106,15.4954,7558.9505,7519.6359,7511.7057
0.99,1,8.5353,8.988,8.5865,13604.8309,13583.6578,13602.3195,14.5516,15.2609,15.3463,7564.6209,7525.5959,7517.5662
