n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,76.2936,27.583,49.295,11308.9631,13615.1378,11107.9597,125.4486,103.5979,23.66577,493.77998,6427.0435,6773.774
0.02,1,73.5528,26.6253,47.6872,11331.1539,13613.6996,11289.7337,121.062,99.81445,23.56018,952.06988,6286.8615,6921.6352
0.03,1,70.8518,25.7021,46.0965,11369.8115,13612.299,11460.1069,116.73,96.09985,23.45522,1375.6466,6178.214,7047.6857
0.04,1,68.2177,24.8202,44.5403,11420.7305,13610.9352,11618.2185,112.4978,92.48926,23.35089,1765.9845,6097.6674,7154.5391
0.05,1,65.6695,23.9834,43.0311,11480.3519,13609.6076,11763.8953,108.3972,89.00703,23.24719,2124.9995,6041.4888,7244.6883
0.06,1,63.2197,23.1938,41.5772,11545.7663,13608.3155,11897.4294,104.4497,85.66877,23.14413,2454.847,6005.9482,7320.4273
0.07,1,60.8758,22.4517,40.1838,11614.6625,13607.0582,12019.406,100.6682,82.48323,23.04169,2757.7746,5987.5262,7383.8152
0.08,1,58.6413,21.7565,38.8535,11685.2496,13605.8351,12130.5781,97.059,79.4539,22.9399,3036.0178,5983.0381,7436.667
0.09,1,56.5165,21.1066,37.5872,11756.1721,13604.6453,12231.7772,93.6238,76.5806,22.8387,3291.7323,5989.6917,7480.5621
0.1,1,54.5002,20.4999,36.3843,11826.4275,13603.4884,12323.8545,90.3608,73.8603,22.7382,3526.9521,6005.0979,7516.8618
0.11,1,52.5891,19.9342,35.2434,11895.2944,13602.3637,12407.6421,87.2655,71.2879,22.6382,3743.5668,6027.2523,7546.7317
0.12,1,50.7794,19.407,34.1623,11962.27,13601.2706,12483.93,84.3319,68.8575,22.5389,3943.3131,6054.4984,7571.1646
0.13,1,49.0665,18.9156,33.1385,12027.0198,13600.2083,12553.4534,81.5531,66.5622,22.4402,4127.7735,6085.485,7591.004
0.14,1,47.4454,18.4575,32.1692,12089.3367,13599.1764,12616.887,78.9213,64.3947,22.3422,4298.3824,6119.1215,7606.9644
0.15,1,45.9111,18.0303,31.2515,12149.1088,13598.1742,12674.8441,76.4287,62.3477,22.2447,4456.4343,6154.536,7619.6506
0.16,1,44.4586,17.6317,30.3824,12206.2946,13597.2011,12727.8781,74.0673,60.414,22.1479,4603.0944,6191.0372,7629.5742
0.17,1,43.083,17.2594,29.5591,12260.9035,13596.2566,12776.486,71.8295,58.5866,22.0517,4739.4096,6228.0823,7637.1679
0.18,1,41.7795,16.9114,28.7789,12312.9811,13595.34,12821.1128,69.7076,56.8586,21.9561,4866.3192,6265.2483,7642.7976
0.19,1,40.5436,16.5856,28.0389,12362.5981,13594.4509,12862.1557,67.6944,55.2236,21.8611,4984.6663,6302.2092,7646.773
0.2,1,39.371,16.2804,27.3367,12409.8418,13593.5886,12899.9692,65.7832,53.6756,21.7668,5095.2072,6338.7169,7649.3567
