n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,3,76.2936,38.1368,38.1568,11125.0223,13799.4481,11403.4943,114.4364,114.4297,0.006903069,493.77895,6700.0175,7101.5888
0.02,3,73.5528,36.767,36.7858,11144.8508,13799.4481,11584.1015,110.3242,110.3175,0.006903062,952.0689,6532.6811,7278.6114
0.03,3,70.8518,35.417,35.4348,11181.5598,13799.4481,11753.4855,106.2718,106.2653,0.006903054,1375.6456,6395.6304,7432.5635
0.04,3,68.2177,34.1004,34.1172,11230.9371,13799.4481,11910.7404,102.3199,102.3134,0.006903046,1765.9837,6286.3855,7565.8176
0.05,3,65.6695,32.8268,32.8427,11289.4,13799.4481,12055.6554,98.4968,98.4905,0.00690304,2124.9987,6202.0024,7680.7463
0.06,3,63.2197,31.6024,31.6173,11354.0062,13799.4481,12188.4921,94.8215,94.8153,0.00690303,2454.8463,6139.3586,7779.6079
0.07,3,60.8758,30.4309,30.4449,11422.4074,13799.4481,12309.8122,91.3051,91.2989,0.00690302,2757.7739,6095.365,7864.4817
0.08,3,58.6413,29.314,29.3272,11492.7753,13799.4481,12420.3503,87.9526,87.9466,0.00690302,3036.0172,6067.1096,7937.2394
0.09,3,56.5165,28.2521,28.2645,11563.7186,13799.4481,12520.9247,84.7651,84.7591,0.00690301,3291.7317,6051.9431,7999.5389
0.1,3,54.5002,27.2442,27.2559,11634.2021,13799.4481,12612.3768,81.74,81.7341,0.006903,3526.9515,6047.5192,8052.8314
0.11,3,52.5891,26.289,26.3001,11703.4745,13799.4481,12695.5317,78.873,78.8672,0.00690299,3743.5663,6051.8024,8098.3777
0.12,3,50.7794,25.3845,25.3949,11771.007,13799.4481,12771.1747,76.1581,76.1524,0.00690299,3943.3126,6063.0562,8137.2658
0.13,3,49.0665,24.5283,24.5381,11836.4423,13799.4481,12840.038,73.5883,73.5827,0.00690298,4127.773,6079.8181,8170.4318
0.14,3,47.4454,23.7181,23.7273,11899.5534,13799.4481,12902.7945,71.1563,71.1508,0.00690297,4298.3819,6100.869,8198.6785
0.15,3,45.9111,22.9512,22.9599,11960.2115,13799.4481,12960.0565,68.8546,68.8492,0.00690296,4456.4339,6125.2021,8222.6936
0.16,3,44.4586,22.2252,22.2334,12018.3605,13799.4481,13012.3771,66.6756,66.6702,0.00690296,4603.0941,6151.9913,8243.0655
0.17,3,43.083,21.5377,21.5454,12073.9971,13799.4481,13060.2536,64.612,64.6066,0.00690295,4739.4092,6180.5637,8260.2979
0.18,3,41.7795,20.8862,20.8934,12127.1564,13799.4481,13104.1314,62.6565,62.6512,0.00690294,4866.3189,6210.3735,8274.822
0.19,3,40.5436,20.2684,20.2752,12177.8997,13799.4481,13144.4085,60.8024,60.7972,0.00690293,4984.666,6240.9811,8287.0074
0.2,3,39.371,19.6823,19.6887,12226.3065,13799.4481,13181.4401,59.0433,59.0381,0.00690292,5095.2069,6272.0342,8297.1708
0.21,3,38.2577,19.1258,19.1318,12272.4678,13799.4481,13215.5429,57.373,57.3679,0.00690292,5198.6204,6303.2519,8305.5843
0.22,3,37.1997,18.597,18.6027,12316.4813,13799.4481,13246.9994,55.7859,55.7809,0.00690291,5295.5161,6334.4122,8312.4819
0.23,3,36.1937,18.0942,18.0995,12358.448,13799.4481,13276.0616,54.2767,54.2718,0.0069029,5386.4423,6365.3406,8318.0652
0.24,3,35.2363,17.6156,17.6206,12398.4692,13799.4481,13302.954,52.8404,52.8355,0.00690289,5471.8925,6395.9016,8322.5077
0.25,3,34.3243,17.1598,17.1645,12436.6455,13799.4481,13327.8773,51.4723,51.4675,0.00690289,5552.3111,6425.9912,8325.9597
0.26,3,33.455,16.7253,16.7297,12473.0746,13799.4481,13351.0111,50.1682,50.1634,0.00690288,5628.0994,6455.5308,8328.551
0.27,3,32.6257,16.3108,16.3149,12507.851,13799.4481,13372.5156,48.9241,48.9194,0.00690287,5699.62,6484.4626,8330.3942
0.28,3,31.8338,15.915,15.9189,12541.0655,13799.4481,13392.5349,47.7362,47.7315,0.00690286,5767.2008,6512.7454,8331.5868
0.29,3,31.0772,15.5368,15.5404,12572.8045,13799.4481,13411.1978,46.6012,46.5965,0.00690286,5831.1392,6540.3513,8332.2137
