n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,4,37.629,38.7657,76.2935,13907.0156,11428.6609,11166.1022,113.8877,4.108888,115.0122,6902.9928,7302.7375,493.81127
0.02,4,36.1637,37.4907,73.5527,13907.0115,11609.3841,11185.3366,109.6798,4.108912,110.9959,6736.5379,7478.7334,952.13439
0.03,4,34.7265,36.2274,70.8517,13907.0074,11778.8102,11221.4933,105.54,4.10894,107.0313,6600.2975,7631.5985,1375.7517
0.04,4,33.3304,34.9898,68.2177,13907.0034,11936.0527,11270.3634,101.5083,4.108972,103.1595,6491.7461,7763.7301,1766.1425
0.05,4,31.9842,33.788,65.6696,13906.9996,12080.9174,11328.3659,97.6128,4.10901,99.4095,6407.9137,7877.5219,2125.2268
0.06,4,30.6938,32.629,63.2201,13906.9958,12213.679,11392.5581,93.8716,4.10905,95.8009,6345.6683,7975.249,2455.163
0.07,4,29.4622,31.517,60.8764,13906.9922,12334.9098,11460.5907,90.2952,4.1091,92.3452,6301.9249,8059.0044,2758.2007
0.08,4,28.2905,30.4543,58.642,13906.9886,12445.3523,11530.6338,86.8881,4.10915,89.0481,6273.7843,8130.6698,3036.5765
0.09,4,27.1786,29.4417,56.5175,13906.9852,12545.8308,11601.2933,83.6508,4.1092,85.9111,6258.6152,8191.9102,3292.4466
0.1,4,26.1251,28.4789,54.5013,13906.9818,12637.1907,11671.5315,80.5802,4.10926,82.9322,6254.0911,8244.1822,3527.8448
0.11,4,25.1282,27.5649,52.5904,13906.9786,12720.2603,11740.5943,77.6716,4.10932,80.1073,6258.1966,8288.7495,3744.6602
0.12,4,24.1854,26.6981,50.7808,13906.9754,12795.827,11807.9501,74.9184,4.10939,77.431,6269.2135,8326.7023,3944.6284
0.13,4,23.2941,25.8764,49.0679,13906.9723,12864.624,11873.2386,72.3135,4.10946,74.8965,6285.6952,8358.9771,4129.3311
0.14,4,22.4515,25.0979,47.4468,13906.9693,12927.3251,11936.2305,69.8491,4.10953,72.497,6306.4367,8386.3767,4300.2016
0.15,4,21.6548,24.3602,45.9124,13906.9664,12984.5428,11996.7944,67.5174,4.10961,70.225,6330.4424,8409.5881,4458.533
0.16,4,20.9013,23.6611,44.4598,13906.9636,13036.8303,12054.8719,65.3105,4.1097,68.0734,6356.8953,8429.1986,4605.4894
0.17,4,20.1882,22.9984,43.0839,13906.9609,13084.6847,12110.4577,63.221,4.10979,66.035,6385.1296,8445.7105,4742.1163
0.18,4,19.513,22.3698,41.7801,13906.9583,13128.551,12163.5848,61.2414,4.10988,64.1027,6414.6051,8459.5535,4869.3522
0.19,4,18.8732,21.7734,40.5438,13906.9557,13168.8268,12214.313,59.3648,4.10997,62.2701,6444.8864,8471.0953,4988.039
0.2,4,18.2666,21.2071,39.3708,13906.9533,13205.867,12262.7201,57.5846,4.11007,60.5308,6475.624,8480.651,5098.9318
0.21,4,17.6909,20.6689,38.2569,13906.9509,13239.9877,12308.8957,55.8946,4.11018,58.879,6506.5392,8488.491,5202.7085
0.22,4,17.1442,20.1573,37.1984,13906.9486,13271.4709,12352.9362,54.2888,4.11028,57.3089,6537.4115,8494.8474,5299.978
0.23,4,16.6246,19.6704,36.1917,13906.9464,13300.568,12394.9413,52.762,4.11039,55.8155,6568.0671,8499.9201,5391.2877
0.24,4,16.1302,19.2067,35.2336,13906.9442,13327.5031,12435.0116,51.3091,4.11051,54.3938,6598.3711,8503.8812,5477.1302
0.25,4,15.6596,18.7649,34.3209,13906.9422,13352.4766,12473.2463,49.9252,4.11063,53.0393,6628.2194,8506.8792,5557.9494
0.26,4,15.2111,18.3435,33.4508,13906.9402,13375.6672,12509.7427,48.6061,4.11075,51.7479,6657.5335,8509.0424,5634.1459
0.27,4,14.7833,17.9412,32.6206,13906.9383,13397.2352,12544.5943,47.3478,4.11088,50.5156,6686.2553,8510.4819,5706.0816
0.28,4,14.3751,17.557,31.8279,13906.9364,13417.3239,12577.8912,46.1463,4.11101,49.3387,6714.3431,8511.2942,5774.0841
0.29,4,13.985,17.1896,31.0703,13906.9347,13436.0619,12609.7192,44.9983,4.11114,48.2139,6741.7684,8511.5627,5838.4501
0.3,4,13.6122,16.8382,30.3457,13906.933,13453.5648,12640.1598,43.9004,4.11128,47.138,6768.5135,8511.3601,5899.449
0.31,4,13.2554,16.5017,29.6523,13906.9314,13469.9365,12669.29,42.8497,4.11142,46.1081,6794.5691,8510.7498,5957.3258
0.32,4,12.9137,16.1794,28.988,13906.9299,13485.2707,12697.1828,41.8433,4.11157,45.1216,6819.9328,8509.7869,6012.3033
0.33,4,12.5864,15.8703,28.3512,13906.9284,13499.6518,12723.9066,40.8787,4.11172,44.1758,6844.6072,8508.5195,6064.5848
0.34,4,12.2724,15.5737,27.7404,13906.927,13513.1563,12749.526,39.9535,4.11187,43.2685,6868.5995,8506.9897,6114.3559
0.35,4,11.9711,15.2889,27.154,13906.9257,13525.8531,12774.1017,39.0654,4.11203,42.3974,6891.9197,8505.2344,6161.7862
0.36,4,11.6817,15.0153,26.5908,13906.9244,13537.8048,12797.6905,38.2123,4.11219,41.5606,6914.5805,8503.2856,6207.0312
0.37,4,11.4036,14.7522,26.0493,13906.9232,13549.0683,12820.3457,37.3923,4.11235,40.7561,6936.5964,8501.1718,6250.2334
