n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,5,18.5511,7499.2819,32.1286,1376.5991
0.02,5,18.135,7511.4125,31.4078,1438.4312
0.03,5,17.7355,7523.0226,30.7158,1500.0482
0.04,5,17.3517,7534.1388,30.0511,1561.0035
0.05,5,16.9829,7544.7869,29.4121,1620.9797
0.06,5,16.6282,7554.991,28.7977,1679.7559
0.07,5,16.2869,7564.7742,28.2066,1737.1832
0.08,5,15.9584,7574.1586,27.6375,1793.1655
0.09,5,15.642,7583.1648,27.0894,1847.6468
0.1,5,15.3371,7591.8125,26.5612,1900.5998
0.11,5,15.0431,7600.1201,26.052,1952.0191
0.12,5,14.7595,7608.1051,25.5608,2001.915
0.13,5,14.4858,7615.7839,25.0867,2050.3093
0.14,5,14.2216,7623.1721,24.629,2097.2321
0.15,5,13.9663,7630.2843,24.1868,2142.7192
0.16,5,13.7195,7637.1343,23.7594,2186.8103
0.17,5,13.4809,7643.7349,23.3461,2229.5477
0.18,5,13.2501,7650.0986,22.9463,2270.975
0.19,5,13.0267,7656.2367,22.5593,2311.1364
0.2,5,12.8104,7662.1601,22.1846,2350.0764
0.21,5,12.6009,7667.879,21.8217,2387.8389
0.22,5,12.3978,7673.4032,21.4699,2424.4669
0.23,5,12.2009,7678.7416,21.1289,2460.0026
0.24,5,12.01,7683.9029,20.7981,2494.4872
0.25,5,11.8247,7688.8951,20.4772,2527.9603
0.26,5,11.6448,7693.726,20.1657,2560.4603
0.27,5,11.4702,7698.4027,19.8631,2592.0244
0.28,5,11.3005,7702.932,19.5693,2622.6881
0.29,5,11.1357,7707.3205,19.2837,2652.4856
0.3,5,10.9754,7711.5742,19.0061,2681.4499
0.31,5,10.8196,7715.699,18.7361,2709.6125
0.32,5,10.6679,7719.7002,18.4735,2737.0035
0.33,5,10.5204,7723.583,18.2179,2763.6519
0.34,5,10.3767,7727.3525,17.9691,2789.5854
0.35,5,10.2369,7731.0132,17.7268,2814.8303
0.36,5,10.1006,7734.5695,17.4908,2839.4121
0.37,5,9.9679,7738.0257,17.2608,2863.355
0.38,5,9.8385,7741.3857,17.0367,2886.6822
0.39,5,9.7123,7744.6534,16.8182,2909.4158
0.4,5,9.5893,7747.8322,16.6051,2931.5771
0.41,5,9.4693,7750.9257,16.3972,2953.1863
0.42,5,9.3521,7753.937,16.1943,2974.2629
0.43,5,9.2378,7756.8694,15.9962,2994.8253
0.44,5,9.1262,7759.7256,15.8029,3014.8915
0.45,5,9.0172,7762.5087,15.6141,3034.4783
0.46,5,8.9107,7765.2211,15.4296,3053.6022
0.47,5,8.8066,7767.8655,15.2494,3072.2786
0.48,5,8.7049,7770.4443,15.0732,3090.5226
0.49,5,8.6055,7772.9599,14.901,3108.3484
0.5,5,8.5083,7775.4144,14.7326,3125.7698
0.51,5,8.4132,7777.8099,14.568,3142.7999
0.52,5,8.3202,7780.1486,14.4068,3159.4513
0.53,5,8.2292,7782.4323,14.2492,3175.7362
0.54,5,8.1401,7784.663,14.0949,3191.6662
0.55,5,8.0529,7786.8423,13.9439,3207.2523
0.56,5,7.9676,7788.9719,13.796,3222.5054
0.57,5,7.884,7791.0536,13.6512,3237.4356
0.58,5,7.8021,7793.0888,13.5093,3252.0529
0.59,5,7.7218,7795.079,13.3703,3266.3667
0.6,5,7.6432,7797.0257,13.2341,3280.3861
0.61,5,7.5661,7798.9303,13.1006,3294.12
0.62,5,7.4906,7800.7941,12.9697,3307.5768
0.63,5,7.4165,7802.6182,12.8414,3320.7645
0.64,5,7.3438,7804.404,12.7156,3333.691
0.65,5,7.2726,7806.1527,12.5922,3346.3637
0.66,5,7.2027,7807.8652,12.4711,3358.7901
0.67,5,7.1341,7809.5428,12.3523,3370.9769
0.68,5,7.0668,7811.1864,12.2357,3382.931
0.69,5,7.0007,7812.797,12.1212,3394.6587
0.7,5,6.9359,7814.3756,12.0089,3406.1664
0.71,5,6.8722,7815.9232,11.8986,3417.4601
0.72,5,6.8097,7817.4406,11.7903,3428.5455
0.73,5,6.7482,7818.9286,11.6839,3439.4284
0.74,5,6.6879,7820.3881,11.5794,3450.114
0.75,5,6.6286,7821.8199,11.4767,3460.6076
0.76,5,6.5704,7823.2247,11.3758,3470.9143
0.77,5,6.5132,7824.6033,11.2767,3481.0389
0.78,5,6.4569,7825.9565,11.1792,3490.9861
0.79,5,6.4016,7827.2848,11.0834,3500.7605
0.8,5,6.3472,7828.5889,10.9893,3510.3665
0.81,5,6.2937,7829.8695,10.8966,3519.8083
0.82,5,6.2412,7831.1272,10.8056,3529.0901
0.83,5,6.1894,7832.3627,10.716,3538.2158
0.84,5,6.1386,7833.5764,10.6279,3547.1892
0.85,5,6.0885,7834.7689,10.5411,3556.0141
0.86,5,6.0393,7835.9408,10.4558,3564.6941
0.87,5,5.9908,7837.0926,10.3719,3573.2327
0.88,5,5.9431,7838.2248,10.2893,3581.6333
0.89,5,5.8961,7839.3378,10.2079,3589.8991
0.9,5,5.8499,7840.4323,10.1279,3598.0334
0.91,5,5.8044,7841.5085,10.049,3606.0391
0.92,5,5.7596,7842.567,9.9714,3613.9194
0.93,5,5.7155,7843.6082,9.895,3621.677
0.94,5,5.672,7844.6324,9.8197,3629.3148
0.95,5,5.6292,7845.6402,9.7455,3636.8356
0.96,5,5.587,7846.6318,9.6724,3644.2418
0.97,5,5.5454,7847.6078,9.6005,3651.5363
0.98,5,5.5045,7848.5683,9.5295,3658.7213
0.99,5,5.4641,7849.5138,9.4596,3665.7993
