n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.47,1,65.6540967,66.0101617,65.1164304,10877.2303,10889.7917,10917.8579,112.876328,114.423069,113.497721,2235.13422,2145.1416,2200.98626
0.48,1,65.3832948,65.747391,64.8416995,10893.0585,10905.4191,10934.1267,112.39797,113.965437,113.033446,2273.27388,2182.07415,2238.33379
0.49,1,65.1135406,65.4856197,64.568226,10908.8333,10920.9832,10950.3262,111.921696,113.509445,112.571174,2311.05867,2218.67767,2275.33063
0.5,1,64.8448503,65.2248616,64.2960204,10924.5527,10936.4823,10966.4547,111.447529,113.055121,112.110922,2348.49143,2254.9547,2311.97987
0.51,1,64.577239,64.9651299,64.0250927,10940.2146,10951.9148,10982.5102,110.97549,112.602492,111.652709,2385.57506,2290.9078,2348.28463
0.52,1,64.3107211,64.706437,63.7554521,10955.8169,10967.2791,10998.491,110.5056,112.151585,111.19655,2422.31245,2326.53955,2384.24799
0.53,1,64.0453103,64.4487948,63.4871072,10971.3578,10982.5738,11014.3954,110.037877,111.702424,110.742463,2458.70652,2361.85253,2419.87308
0.54,1,63.7810197,64.1922145,63.2200659,10986.8354,10997.7974,11030.222,109.57234,111.255031,110.290461,2494.76018,2396.84933,2455.163
0.55,1,63.5178613,63.9367068,62.9543356,11002.2481,11012.9486,11045.9692,109.109005,110.809431,109.840558,2530.47637,2431.53255,2490.12085
0.56,1,63.2558469,63.6822816,62.6899231,11017.5943,11028.0263,11061.6358,108.647886,110.365642,109.392766,2565.85802,2465.90481,2524.74975
0.57,1,62.9949873,63.4289485,62.4268345,11032.8723,11043.0293,11077.2204,108.189,109.923686,108.947098,2600.90808,2499.96873,2559.05279
0.58,1,62.7352927,63.1767164,62.1650755,11048.0807,11057.9564,11092.7218,107.732358,109.483581,108.503564,2635.6295,2533.7269,2593.03306
0.59,1,62.4767728,62.9255937,61.9046511,11063.2182,11072.8066,11108.1389,107.277973,109.045345,108.062175,2670.02522,2567.18197,2626.69365
0.6,1,62.2194367,62.6755882,61.6455659,11078.2835,11087.5791,11123.4707,106.825856,108.608995,107.622938,2704.0982,2600.33655,2660.03764
0.61,1,61.9632926,62.4267072,61.387824,11093.2753,11102.2729,11138.7162,106.376017,108.174546,107.185863,2737.85138,2633.19326,2693.0681
0.62,1,61.7083485,62.1789576,61.1314289,11108.1925,11116.8871,11153.8746,105.928466,107.742015,106.750957,2771.28772,2665.75473,2725.7881
0.63,1,61.4546117,61.9323458,60.8763838,11123.0339,11131.4211,11168.9449,105.48321,107.311414,106.318226,2804.41016,2698.02357,2758.20068
0.64,1,61.2020888,61.6868777,60.6226913,11137.7987,11145.8741,11183.9265,105.040258,106.882756,105.887677,2837.22165,2730.0024,2790.30887
0.65,1,60.9507861,61.4425587,60.3703536,11152.4858,11160.2455,11198.8186,104.599616,106.456055,105.459315,2869.72511,2761.69383,2822.11571
0.66,1,60.7007093,61.1993939,60.1193725,11167.0943,11174.5346,11213.6206,104.16129,106.03132,105.033143,2901.92349,2793.10048,2853.62421
0.67,1,60.4518636,60.9573878,59.8697494,11181.6234,11188.7409,11228.332,103.725284,105.608563,104.609167,2933.81969,2824.22494,2884.83735
0.68,1,60.2042537,60.7165445,59.6214852,11196.0725,11202.864,11242.9522,103.291604,105.187794,104.18739,2965.41664,2855.06981,2915.75812
0.69,1,59.9578839,60.4768679,59.3745806,11210.4406,11216.9033,11257.4808,102.860252,104.769021,103.767813,2996.71723,2885.63767,2946.38949
0.7,1,59.7127581,60.2383613,59.1290358,11224.7272,11230.8585,11271.9173,102.431231,104.352252,103.350438,3027.72436,2915.93111,2976.7344
0.71,1,59.4688795,60.0010278,58.8848507,11238.9318,11244.7292,11286.2614,102.004543,103.937495,102.935268,3058.44091,2945.95269,3006.79578
0.72,1,59.2262511,59.7648698,58.6420248,11253.0536,11258.515,11300.5128,101.58019,103.524756,102.522303,3088.86975,2975.70497,3036.57654
0.73,1,58.9848756,59.5298899,58.4005574,11267.0924,11272.2158,11314.6713,101.158172,103.114042,102.111543,3119.01373,3005.19051,3066.07958
0.74,1,58.744755,59.2960898,58.1604473,11281.0475,11285.8313,11328.7365,100.73849,102.705358,101.702987,3148.8757,3034.41183,3095.30778
0.75,1,58.5058912,59.0634711,57.9216931,11294.9185,11299.3612,11342.7084,100.321143,102.298708,101.296636,3178.45848,3063.37148,3124.26398
0.76,1,58.2682855,58.8320353,57.6842931,11308.7052,11312.8055,11356.5867,99.9061303,101.894097,100.892487,3207.76488,3092.07196,3152.95102
0.77,1,58.031939,58.6017831,57.4482454,11322.4072,11326.164,11370.3715,99.4934498,101.491528,100.490539,3236.79771,3120.51577,3181.37172
0.78,1,57.7968525,58.3727154,57.2135477,11336.0243,11339.4366,11384.0626,99.0830997,101.091004,100.090789,3265.55974,3148.7054,3209.52887
0.79,1,57.5630263,58.1448325,56.9801975,11349.5561,11352.6232,11397.66,98.6750772,100.692527,99.6932353,3294.05373,3176.64333,3237.42524
0.8,1,57.3304605,57.9181345,56.7481921,11363.0025,11365.7238,11411.1638,98.2693792,100.2961,99.2978744,3322.28242,3204.33201,3265.06359
0.81,1,57.0991548,57.6926212,56.5175284,11376.3633,11378.7385,11424.5739,97.8660021,99.9017222,98.9047027,3350.24856,3231.77389,3292.44663
0.82,1,56.8691088,57.4682923,56.2882033,11389.6384,11391.6672,11437.8905,97.4649419,99.5093959,98.5137163,3377.95483,3258.9714,3319.57709
0.83,1,56.6403215,57.245147,56.0602132,11402.8276,11404.5099,11451.1137,97.0661941,99.1191209,98.1249109,3405.40395,3285.92695,3346.45763
0.84,1,56.412792,57.0231844,55.8335546,11415.9311,11417.2669,11464.2436,96.6697537,98.7308969,97.7382819,3432.59857,3312.64295,3373.09093
0.85,1,56.1865188,56.8024034,55.6082236,11428.9485,11429.9382,11477.2803,96.2756154,98.3447232,97.3538243,3459.54134,3339.12177,3399.47963
0.86,1,55.9615004,56.5828026,55.3842162,11441.8801,11442.5239,11490.2242,95.8837734,97.9605987,96.9715326,3486.2349,3365.36578,3425.62633
0.87,1,55.7377348,56.3643805,55.1615281,11454.7258,11455.0241,11503.0752,95.4942218,97.5785218,96.5914014,3512.68187,3391.37732,3451.53364
0.88,1,55.5152201,56.1471351,54.9401549,11467.4857,11467.4391,11515.8338,95.106954,97.1984905,96.2134245,3538.88482,3417.15873,3477.20412
0.89,1,55.2939538,55.9310645,54.7200921,11480.1598,11479.7691,11528.5002,94.7219634,96.8205024,95.8375957,3564.84633,3442.71233,3502.64032
0.9,1,55.0739334,55.7161665,54.501335,11492.7482,11492.0142,11541.0747,94.3392427,96.4445548,95.4639086,3590.56895,3468.04041,3527.84476
0.91,1,54.8551563,55.5024387,54.2838786,11505.2511,11504.1747,11553.5575,93.9587846,96.0706445,95.0923562,3616.05521,3493.14525,3552.81994
0.92,1,54.6376194,55.2898786,54.0677179,11517.6686,11516.2509,11565.949,93.5805814,95.6987681,94.7229315,3641.30762,3518.0291,3577.56834
0.93,1,54.4213196,55.0784833,53.8528478,11530.0009,11528.243,11578.2495,93.2046251,95.3289217,94.3556273,3666.32865,3542.69422,3602.09241
0.94,1,54.2062536,54.8682501,53.6392631,11542.2482,11540.1513,11590.4594,92.8309075,94.9611012,93.9904358,3691.12077,3567.14283,3626.39457
0.95,1,53.9924179,54.6591758,53.4269582,11554.4107,11551.9761,11602.5791,92.45942,94.595302,93.6273495,3715.68642,3591.37713,3650.47724
0.96,1,53.7798088,54.4512573,53.2159276,11566.4886,11563.7177,11614.6089,92.0901539,94.2315194,93.2663602,3740.02803,3615.39932,3674.34278
0.97,1,53.5684225,54.2444911,53.0061657,11578.4822,11575.3764,11626.5493,91.7231002,93.8697484,92.9074599,3764.14799,3639.21155,3697.99357
0.98,1,53.3582551,54.0388738,52.7976668,11590.3917,11586.9527,11638.4007,91.3582497,93.5099836,92.55064,3788.04867,3662.81598,3721.43192
0.99,1,53.1493024,53.8344017,52.590425,11602.2175,11598.4468,11650.1635,90.9955929,93.1522194,92.1958921,3811.73243,3686.21475,3744.66016
