n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,1,15.16754,7643.0251,26.267454,2632.7817
0.02,1,15.141839,7643.6183,26.222936,2634.4239
0.03,1,15.116225,7644.2093,26.178568,2636.0696
0.04,1,15.090696,7644.7982,26.134348,2637.7188
0.05,1,15.065253,7645.3851,26.090276,2639.3713
0.06,1,15.039895,7645.9698,26.046352,2641.0272
0.07,1,15.014621,7646.5524,26.002574,2642.6863
0.08,1,14.989432,7647.1329,25.958943,2644.3486
0.09,1,14.964327,7647.7114,25.915456,2646.0139
0.1,1,14.939305,7648.2878,25.872114,2647.6823
0.11,1,14.914366,7648.8622,25.828916,2649.3535
0.12,1,14.889509,7649.4345,25.78586,2651.0277
0.13,1,14.864735,7650.0049,25.742947,2652.7046
0.14,1,14.840042,7650.5732,25.700176,2654.3842
0.15,1,14.815431,7651.1395,25.657545,2656.0664
0.16,1,14.790901,7651.7038,25.615055,2657.7513
0.17,1,14.766451,7652.2661,25.572704,2659.4386
0.18,1,14.742082,7652.8264,25.530493,2661.1283
0.19,1,14.717792,7653.3848,25.488419,2662.8205
0.2,1,14.693582,7653.9413,25.446483,2664.5149
0.21,1,14.66945,7654.4958,25.404684,2666.2116
0.22,1,14.645398,7655.0484,25.363021,2667.9104
0.23,1,14.621423,7655.599,25.321493,2669.6113
0.24,1,14.597527,7656.1477,25.2801,2671.3143
0.25,1,14.573708,7656.6946,25.238842,2673.0193
0.26,1,14.549966,7657.2395,25.197717,2674.7262
0.27,1,14.526301,7657.7826,25.156725,2676.4349
0.28,1,14.502712,7658.3238,25.115866,2678.1454
0.29,1,14.479199,7658.8631,25.075138,2679.8577
0.3,1,14.455762,7659.4006,25.034541,2681.5717
0.31,1,14.4324,7659.9362,24.994074,2683.2873
0.32,1,14.409113,7660.47,24.953737,2685.0045
0.33,1,14.3859,7661.002,24.91353,2686.7232
0.34,1,14.362762,7661.5321,24.873451,2688.4433
0.35,1,14.339698,7662.0604,24.8335,2690.1648
0.36,1,14.316707,7662.587,24.793676,2691.8877
0.37,1,14.293789,7663.1117,24.753979,2693.6119
0.38,1,14.270944,7663.6347,24.714408,2695.3374
0.39,1,14.248172,7664.1559,24.674962,2697.064
0.4,1,14.225471,7664.6754,24.635642,2698.7918
0.41,1,14.202843,7665.1931,24.596445,2700.5207
0.42,1,14.180286,7665.709,24.557373,2702.2506
0.43,1,14.1578,7666.2232,24.518424,2703.9815
0.44,1,14.135385,7666.7357,24.479597,2705.7134
0.45,1,14.11304,7667.2465,24.440892,2707.4461
0.46,1,14.090765,7667.7555,24.402309,2709.1798
0.47,1,14.06856,7668.2629,24.363847,2710.9142
0.48,1,14.046425,7668.7685,24.325505,2712.6494
0.49,1,14.024359,7669.2725,24.287283,2714.3853
0.5,1,14.002361,7669.7748,24.24918,2716.1218
0.51,1,13.980432,7670.2754,24.211195,2717.859
0.52,1,13.958572,7670.7744,24.173329,2719.5968
0.53,1,13.936779,7671.2717,24.13558,2721.3352
0.54,1,13.915053,7671.7674,24.097948,2723.074
0.55,1,13.893395,7672.2615,24.060433,2724.8133
0.56,1,13.871804,7672.7539,24.023034,2726.553
0.57,1,13.85028,7673.2447,23.98575,2728.2931
0.58,1,13.828821,7673.7338,23.948581,2730.0335
0.59,1,13.807429,7674.2214,23.911526,2731.7742
0.6,1,13.786103,7674.7074,23.874585,2733.5152
0.61,1,13.764841,7675.1918,23.837758,2735.2564
0.62,1,13.743646,7675.6746,23.801043,2736.9977
0.63,1,13.722514,7676.1558,23.76444,2738.7393
0.64,1,13.701448,7676.6355,23.727949,2740.4809
0.65,1,13.680445,7677.1136,23.69157,2742.2226
0.66,1,13.659507,7677.5902,23.655301,2743.9643
0.67,1,13.638632,7678.0652,23.619143,2745.7061
0.68,1,13.61782,7678.5387,23.583094,2747.4478
0.69,1,13.597072,7679.0106,23.547154,2749.1895
0.7,1,13.576386,7679.4811,23.511323,2750.931
0.71,1,13.555763,7679.95,23.475601,2752.6724
0.72,1,13.535202,7680.4174,23.439986,2754.4137
0.73,1,13.514703,7680.8833,23.404479,2756.1547
0.74,1,13.494266,7681.3477,23.369078,2757.8955
0.75,1,13.47389,7681.8107,23.333784,2759.6361
0.76,1,13.453575,7682.2721,23.298595,2761.3763
0.77,1,13.433321,7682.7321,23.263512,2763.1163
0.78,1,13.413128,7683.1906,23.228534,2764.8559
0.79,1,13.392995,7683.6477,23.19366,2766.5951
0.8,1,13.372922,7684.1033,23.15889,2768.3338
0.81,1,13.352908,7684.5575,23.124224,2770.0722
0.82,1,13.332954,7685.0102,23.089661,2771.8101
0.83,1,13.31306,7685.4615,23.0552,2773.5474
0.84,1,13.293224,7685.9114,23.020842,2775.2843
0.85,1,13.273447,7686.3598,22.986585,2777.0206
0.86,1,13.253729,7686.8069,22.95243,2778.7563
0.87,1,13.234069,7687.2525,22.918375,2780.4914
0.88,1,13.214466,7687.6968,22.884421,2782.2259
0.89,1,13.194922,7688.1397,22.850566,2783.9597
0.9,1,13.175434,7688.5811,22.816811,2785.6928
0.91,1,13.156004,7689.0212,22.783155,2787.4252
0.92,1,13.136631,7689.46,22.749598,2789.1569
0.93,1,13.117315,7689.8973,22.716139,2790.8878
0.94,1,13.098055,7690.3333,22.682778,2792.618
0.95,1,13.078851,7690.768,22.649514,2794.3473
0.96,1,13.059703,7691.2013,22.616347,2796.0758
0.97,1,13.040611,7691.6332,22.583276,2797.8035
0.98,1,13.021575,7692.0639,22.550302,2799.5302
0.99,1,13.002593,7692.4932,22.517423,2801.2561
