n,tipoCurto,Ia_Trif_T2F,Ib_Trif_T2F,Ic_Trif_T2F,Vab_Trif_T2F,Vbc_Trif_T2F,Vca_Trif_T2F,Ia_T2F,Ib_T2F,Ic_T2F,Vab_T2F,Vbc_T2F,Vca_T2F
0.01,1,41.9359855,22.1229062,48.7038894,12717.2036,13435.7,12218.2346,88.1424874,46.0672086,62.9493462,4636.23513,7162.6564,6992.10755
0.02,1,41.7632647,22.1170012,48.5309808,12722.196,13435.0408,12224.9415,87.7885339,45.9300336,62.7927531,4651.78016,7164.11627,6988.48898
0.03,1,41.591904,22.1109428,48.3593559,12727.1483,13434.3836,12231.5875,87.4372661,45.7940662,62.6372188,4667.19745,7165.56035,6984.91274
0.04,1,41.4218882,22.1047337,48.1890009,12732.0611,13433.7284,12238.1736,87.0886546,45.6592907,62.4827319,4682.4884,7166.98883,6981.37834
0.05,1,41.2532025,22.0983765,48.0199018,12736.9347,13433.0754,12244.7006,86.7426707,45.5256919,62.3292807,4697.65445,7168.40186,6977.88532
0.06,1,41.0858319,22.0918737,47.8520452,12741.7695,13432.4245,12251.1691,86.3992858,45.393255,62.1768541,4712.69696,7169.79962,6974.43322
0.07,1,40.9197621,22.0852278,47.6854176,12746.5659,13431.7759,12257.58,86.0584717,45.261965,62.0254408,4727.61733,7171.18228,6971.02157
0.08,1,40.7549786,22.0784411,47.5200058,12751.3242,13431.1295,12263.934,85.7202007,45.1318075,61.8750299,4742.41689,7172.55,6967.64994
0.09,1,40.5914674,22.071516,47.3557968,12756.0449,13430.4854,12270.232,85.3844455,45.002768,61.7256106,4757.097,7173.90294,6964.31787
0.1,1,40.4292145,22.064455,47.1927777,12760.7284,13429.8437,12276.4745,85.0511791,44.8748326,61.5771721,4771.65896,7175.24127,6961.02492
0.11,1,40.2682062,22.0572604,47.0309358,12765.375,13429.2044,12282.6624,84.7203748,44.7479872,61.4297039,4786.10407,7176.56515,6957.77066
0.12,1,40.108429,22.0499342,46.8702586,12769.985,13428.5675,12288.7964,84.3920065,44.6222183,61.2831956,4800.43364,7177.87473,6954.55467
0.13,1,39.9498694,22.0424789,46.7107338,12774.5589,13427.9331,12294.8771,84.0660483,44.4975122,61.137637,4814.64891,7179.17018,6951.37651
0.14,1,39.7925143,22.0348966,46.5523491,12779.097,13427.3012,12300.9052,83.7424745,44.3738558,60.993018,4828.75115,7180.45165,6948.23578
0.15,1,39.6363507,22.0271895,46.3950926,12783.5996,13426.6718,12306.8814,83.42126,44.251236,60.8493286,4842.74158,7181.7193,6945.13206
0.16,1,39.4813657,22.0193595,46.2389524,12788.0672,13426.0451,12312.8064,83.10238,44.1296398,60.706559,4856.62143,7182.97329,6942.06495
0.17,1,39.3275468,22.0114089,46.0839168,12792.5001,13425.4209,12318.6808,82.7858099,44.0090546,60.5646994,4870.39189,7184.21375,6939.03403
0.18,1,39.1748814,22.0033397,45.9299742,12796.8985,13424.7994,12324.5053,82.4715256,43.8894679,60.4237404,4884.05416,7185.44085,6936.03892
0.19,1,39.0233572,21.9951538,45.7771134,12801.2629,13424.1806,12330.2805,82.1595031,43.7708673,60.2836724,4897.60941,7186.65474,6933.07923
0.2,1,38.8729622,21.9868533,45.625323,12805.5936,13423.5645,12336.007,81.8497189,43.6532407,60.1444863,4911.05879,7187.85556,6930.15456
0.21,1,38.7236842,21.9784401,45.474592,12809.891,13422.9511,12341.6854,81.5421497,43.5365762,60.0061727,4924.40345,7189.04345,6927.26453
0.22,1,38.5755115,21.969916,45.3249094,12814.1553,13422.3405,12347.3163,81.2367728,43.4208619,59.8687227,4937.64451,7190.21857,6924.40877
0.23,1,38.4284325,21.961283,45.1762645,12818.3869,13421.7326,12352.9004,80.9335653,43.3060864,59.7321274,4950.78307,7191.38106,6921.58691
0.24,1,38.2824356,21.9525429,45.0286466,12822.5861,13421.1276,12358.4381,80.6325051,43.192238,59.5963778,4963.82025,7192.53106,6918.79858
0.25,1,38.1375095,21.9436974,44.8820451,12826.7532,13420.5254,12363.9302,80.33357,43.0793056,59.4614654,4976.75711,7193.66871,6916.04341
0.26,1,37.993643,21.9347485,44.7364498,12830.8886,13419.926,12369.377,80.0367383,42.9672781,59.3273816,4989.59474,7194.79415,6913.32104
0.27,1,37.8508251,21.9256978,44.5918503,12834.9925,13419.3296,12374.7793,79.7419886,42.8561445,59.1941178,5002.33418,7195.90752,6910.63113
0.28,1,37.7090448,21.916547,44.4482367,12839.0653,13418.736,12380.1375,79.4492997,42.7458941,59.0616658,5014.97647,7197.00895,6907.97331
0.29,1,37.5682913,21.9072979,44.3055988,12843.1073,13418.1453,12385.4521,79.1586507,42.6365161,58.9300173,5027.52265,7198.09858,6905.34726
