n,tipoCurto,Ia_Entrada,Va_Entrada,Ia_Saida,Va_Saida
0.01,1,20.03357,7441.3207,34.69673,702.01968
0.02,1,19.995473,7442.4436,34.630737,708.8175
0.03,1,19.957492,7443.5633,34.564945,715.64602
0.04,1,19.919626,7444.6798,34.499352,722.5031
0.05,1,19.881875,7445.7932,34.433959,729.38669
0.06,1,19.844238,7446.9034,34.368763,736.29482
0.07,1,19.806716,7448.0104,34.303766,743.2256
0.08,1,19.769308,7449.1142,34.238966,750.17723
0.09,1,19.732013,7450.2149,34.174363,757.14799
0.1,1,19.694831,7451.3124,34.109956,764.13622
0.11,1,19.657763,7452.4067,34.045745,771.14034
0.12,1,19.620807,7453.4979,33.981728,778.15883
0.13,1,19.583963,7454.5859,33.917907,785.19025
0.14,1,19.547231,7455.6708,33.854279,792.23321
0.15,1,19.510611,7456.7525,33.790844,799.28638
0.16,1,19.474102,7457.8311,33.727602,806.34849
0.17,1,19.437703,7458.9065,33.664552,813.41833
0.18,1,19.401416,7459.9788,33.601694,820.49472
0.19,1,19.365239,7461.0479,33.539026,827.57656
0.2,1,19.329171,7462.114,33.476549,834.66278
0.21,1,19.293213,7463.1769,33.414262,841.75236
0.22,1,19.257365,7464.2367,33.352164,848.84432
0.23,1,19.221625,7465.2933,33.290255,855.93773
0.24,1,19.185994,7466.3469,33.228534,863.0317
0.25,1,19.150471,7467.3973,33.167,870.12536
0.26,1,19.115056,7468.4446,33.105653,877.2179
0.27,1,19.079748,7469.4889,33.044492,884.30854
0.28,1,19.044548,7470.53,32.983517,891.39652
0.29,1,19.009454,7471.5681,32.922728,898.48113
0.3,1,18.974467,7472.6031,32.862122,905.56168
0.31,1,18.939587,7473.6349,32.801701,912.63751
0.32,1,18.904812,7474.6638,32.741463,919.70799
0.33,1,18.870142,7475.6895,32.681408,926.77253
0.34,1,18.835578,7476.7122,32.621535,933.83055
0.35,1,18.801119,7477.7319,32.561844,940.88149
0.36,1,18.766764,7478.7484,32.502333,947.92483
0.37,1,18.732513,7479.762,32.443004,954.96007
0.38,1,18.698366,7480.7725,32.383853,961.98672
0.39,1,18.664323,7481.78,32.324883,969.00432
0.4,1,18.630383,7482.7844,32.266091,976.01243
0.41,1,18.596545,7483.7858,32.207477,983.01063
0.42,1,18.56281,7484.7842,32.14904,989.99852
0.43,1,18.529177,7485.7797,32.09078,996.9757
0.44,1,18.495646,7486.7721,32.032697,1003.9418
0.45,1,18.462217,7487.7615,31.97479,1010.8965
0.46,1,18.428888,7488.7479,31.917057,1017.8395
0.47,1,18.395661,7489.7313,31.8595,1024.7703
0.48,1,18.362533,7490.7118,31.802116,1031.6888
0.49,1,18.329506,7491.6893,31.744906,1038.5946
0.5,1,18.296579,7492.6638,31.687868,1045.4874
0.51,1,18.263751,7493.6354,31.631003,1052.367
0.52,1,18.231022,7494.604,31.57431,1059.2332
0.53,1,18.198392,7495.5697,31.517787,1066.0856
0.54,1,18.165861,7496.5325,31.461436,1072.924
0.55,1,18.133427,7497.4923,31.405254,1079.7483
0.56,1,18.101092,7498.4492,31.349241,1086.5582
0.57,1,18.068853,7499.4032,31.293398,1093.3535
0.58,1,18.036712,7500.3543,31.237722,1100.134
0.59,1,18.004668,7501.3024,31.182215,1106.8996
0.6,1,17.97272,7502.2477,31.126874,1113.65
0.61,1,17.940869,7503.1902,31.0717,1120.3852
0.62,1,17.909113,7504.1297,31.016692,1127.1049
0.63,1,17.877452,7505.0664,30.961849,1133.8089
0.64,1,17.845887,7506.0002,30.907171,1140.4973
0.65,1,17.814416,7506.9311,30.852657,1147.1698
0.66,1,17.783041,7507.8592,30.798307,1153.8262
0.67,1,17.751759,7508.7845,30.74412,1160.4666
0.68,1,17.720571,7509.7069,30.690096,1167.0907
0.69,1,17.689476,7510.6265,30.636233,1173.6984
0.7,1,17.658475,7511.5433,30.582532,1180.2898
0.71,1,17.627567,7512.4573,30.528992,1186.8645
0.72,1,17.596751,7513.3684,30.475612,1193.4227
0.73,1,17.566027,7514.2768,30.422392,1199.9642
0.74,1,17.535395,7515.1824,30.369332,1206.4888
0.75,1,17.504855,7516.0852,30.316429,1212.9966
0.76,1,17.474406,7516.9853,30.263685,1219.4875
0.77,1,17.444048,7517.8825,30.211099,1225.9614
0.78,1,17.413781,7518.7771,30.158669,1232.4182
0.79,1,17.383604,7519.6688,30.106396,1238.8579
0.8,1,17.353516,7520.5579,30.054278,1245.2804
0.81,1,17.323519,7521.4442,30.002316,1251.6858
0.82,1,17.293611,7522.3278,29.950509,1258.0738
0.83,1,17.263792,7523.2086,29.898856,1264.4446
0.84,1,17.234061,7524.0868,29.847356,1270.7981
0.85,1,17.20442,7524.9623,29.79601,1277.1342
0.86,1,17.174866,7525.835,29.744817,1283.4529
0.87,1,17.1454,7526.7051,29.693775,1289.7541
0.88,1,17.116021,7527.5725,29.642885,1296.0379
0.89,1,17.086729,7528.4372,29.592146,1302.3043
0.9,1,17.057525,7529.2993,29.541557,1308.5532
0.91,1,17.028407,7530.1587,29.491118,1314.7846
0.92,1,16.999375,7531.0155,29.440829,1320.9984
0.93,1,16.970429,7531.8697,29.390688,1327.1948
0.94,1,16.941569,7532.7212,29.340696,1333.3736
0.95,1,16.912794,7533.5701,29.290852,1339.5348
0.96,1,16.884104,7534.4164,29.241155,1345.6786
0.97,1,16.855498,7535.26,29.191604,1351.8048
0.98,1,16.826977,7536.1011,29.1422,1357.9135
0.99,1,16.798541,7536.9396,29.092941,1364.0046
