n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.56,1,17.3397266,34.3214983,16.9827632,13701.9281,12547.2934,13811.8116,0.461853757,51.6486351,51.2847972,8775.50865,6421.84503,6281.43602
0.57,1,17.2882482,34.2185013,16.9312444,13702.6273,12551.2838,13811.806,0.461643114,51.4941534,51.1302646,8773.36839,6425.73425,6286.38896
0.58,1,17.2370755,34.1161158,16.8800316,13703.3203,12555.2495,13811.8005,0.461434483,51.340589,50.9766495,8771.23986,6429.60728,6291.31405
0.59,1,17.1862059,34.0143366,16.8291219,13704.0072,12559.1907,13811.795,0.461227843,51.1879339,50.823944,8769.12296,6433.46418,6296.21153
0.6,1,17.1356366,33.9131582,16.7785128,13704.6882,12563.1076,13811.7896,0.461023174,51.0361801,50.67214,8767.01762,6437.30502,6301.08162
0.61,1,17.085365,33.8125755,16.7282016,13705.3632,12567.0005,13811.7843,0.460820457,50.8853197,50.5212296,8764.92373,6441.12988,6305.92454
0.62,1,17.0353885,33.7125832,16.6781857,13706.0324,12570.8695,13811.7789,0.460619671,50.7353449,50.371205,8762.84121,6444.93881,6310.7405
0.63,1,16.9857046,33.6131761,16.6284625,13706.6958,12574.7149,13811.7737,0.460420798,50.5862479,50.2220586,8760.76996,6448.73189,6315.52972
0.64,1,16.9363108,33.5143493,16.5790295,13707.3535,12578.5369,13811.7685,0.460223817,50.4380212,50.0737826,8758.70991,6452.5092,6320.29241
0.65,1,16.8872044,33.4160976,16.5298842,13708.0055,12582.3357,13811.7633,0.460028711,50.2906572,49.9263695,8756.66096,6456.27079,6325.02879
0.66,1,16.838383,33.3184161,16.481024,13708.652,12586.1116,13811.7582,0.45983546,50.1441484,49.7798119,8754.62302,6460.01675,6329.73907
0.67,1,16.7898442,33.2212999,16.4324466,13709.2929,12589.8646,13811.7531,0.459644046,49.9984876,49.6341024,8752.59602,6463.74714,6334.42345
0.68,1,16.7415855,33.1247441,16.3841495,13709.9284,12593.5951,13811.7481,0.45945445,49.8536673,49.4892337,8750.57986,6467.46203,6339.08213
0.69,1,16.6936046,33.0287439,16.3361303,13710.5585,12597.3032,13811.7432,0.459266655,49.7096804,49.3451986,8748.57447,6471.1615,6343.71532
0.7,1,16.645899,32.9332946,16.2883866,13711.1833,12600.9891,13811.7382,0.459080643,49.5665197,49.20199,8746.57976,6474.84561,6348.32323
0.71,1,16.5984664,32.8383915,16.2409161,13711.8028,12604.6531,13811.7333,0.458896397,49.4241784,49.0596009,8744.59564,6478.51443,6352.90604
