n,tipoCurto,Ia_Trif_Ent,Ib_Trif_Ent,Ic_Trif_Ent,Vab_Trif_Ent,Vbc_Trif_Ent,Vca_Trif_Ent,Ia_Trif_Saida,Ib_Trif_Saida,Ic_Trif_Saida,Vab_Trif_Saida,Vbc_Trif_Saida,Vca_Trif_Saida
0.01,1,78.7505798,42.3986721,78.9123212,11166.5917,11763.6235,9963.11258,151.846094,98.8411247,99.2213835,56.7309459,3994.0065,4007.23511
0.02,1,78.4625442,42.3713676,78.4916746,11169.2202,11775.9509,9989.24117,151.11764,98.6943033,98.7578837,113.044666,4000.76624,4027.05236
0.03,1,78.173813,42.3429232,78.0735304,11172.0914,11788.1446,10015.2878,150.391307,98.5431024,98.2985161,168.94193,4007.70767,4046.87521
0.04,1,77.8844541,42.313335,77.6578984,11175.1998,11800.2065,10041.2467,149.667173,98.3876443,97.8432287,224.421484,4014.82825,4066.69539
0.05,1,77.5945339,42.2826008,77.2447876,11178.5397,11812.1386,10067.112,148.945315,98.2280498,97.3919704,279.482267,4022.12532,4086.50503
0.06,1,77.3041175,42.2507199,76.8342063,11182.1054,11823.943,10092.8785,148.225805,98.0644382,96.9446907,334.123398,4029.59608,4106.29666
0.07,1,77.0132685,42.2176932,76.4261619,11185.8915,11835.6215,10118.541,147.508715,97.8969272,96.5013399,388.344173,4037.23756,4126.06319
0.08,1,76.7220489,42.1835228,76.0206609,11189.8922,11847.1761,10144.0945,146.794113,97.725633,96.0618689,442.144062,4045.04672,4145.7979
0.09,1,76.4305196,42.1482125,75.6177092,11194.102,11858.6085,10169.5344,146.082066,97.5506701,95.6262292,495.522703,4053.02039,4165.4944
0.1,1,76.1387398,42.111767,75.2173116,11198.5153,11869.9207,10194.8563,145.372637,97.3721515,95.1943732,548.479894,4061.15529,4185.14667
0.11,1,75.8467672,42.0741922,74.8194726,11203.1266,11881.1145,10220.056,144.665888,97.1901885,94.7662539,601.015594,4069.44806,4204.74898
0.12,1,75.5546584,42.0354953,74.4241955,11207.9304,11892.1915,10245.1294,143.961878,97.0048905,94.341825,653.129909,4077.89526,4224.29596
0.13,1,75.2624683,41.9956844,74.031483,11212.9212,11903.1535,10270.0727,143.260665,96.8163653,93.9210406,704.823098,4086.49338,4243.78249
0.14,1,74.9702506,41.9547685,73.6413373,11218.0935,11914.0023,10294.8825,142.562302,96.6247192,93.5038559,756.095559,4095.23884,4263.20377
0.15,1,74.6780573,41.9127576,73.2537595,11223.442,11924.7394,10319.5553,141.866842,96.4300563,93.0902264,806.947827,4104.12801,4282.55528
